shannon,fisher,site
0.494,0.497,PITT
0.652,0.369,PITT
0.401,0.558,PITT
0.687,0.314,PITT
0.514,0.473,PITT
0.605,0.419,PITT
0.354,0.605,PITT
0.403,0.583,PITT
0.587,0.436,PITT
0.283,0.643,PITT
0.254,0.633,PITT
0.461,0.513,PITT
0.704,0.312,PITT
0.399,0.59,PITT
0.676,0.357,PITT
0.34,0.556,PITT
0.554,0.491,PITT
0.45,0.529,PITT
0.462,0.536,PITT
0.25,0.642,PITT
0.538,0.516,PITT
0.531,0.498,PITT
0.426,0.525,PITT
0.361,0.611,PITT
0.628,0.374,PITT
0.416,0.541,PITT
0.377,0.552,PITT
0.5,0.503,PITT
0.385,0.527,PITT
0.658,0.35,PITT
0.821,0.22,PITT
0.679,0.335,PITT
0.552,0.445,PITT
0.661,0.362,PITT
0.558,0.503,PITT
0.514,0.507,PITT
0.758,0.263,PITT
0.387,0.535,PITT
0.703,0.255,PITT
0.362,0.601,PITT
0.579,0.43,PITT
0.392,0.548,PITT
0.585,0.463,PITT
0.534,0.415,PITT
0.33,0.61,PITT
0.42,0.551,OLIN
0.371,0.565,OLIN
0.294,0.613,OLIN
0.424,0.454,OLIN
0.463,0.511,OLIN
0.464,0.534,OLIN
0.244,0.588,OLIN
0.678,0.38,OLIN
0.586,0.422,OLIN
0.712,0.315,OLIN
0.399,0.594,OLIN
0.455,0.475,OLIN
0.711,0.372,OLIN
0.805,0.183,OLIN
0.489,0.498,OLIN
0.324,0.614,OLIN
0.816,0.217,OLIN
0.511,0.521,OLIN
0.341,0.537,OLIN
0.26,0.666,OLIN
0.251,0.566,OLIN
0.218,0.598,OLIN
0.543,0.517,OLIN
0.527,0.486,OLIN
0.659,0.355,OLIN
0.485,0.428,OHSU
0.481,0.435,OHSU
0.757,0.219,OHSU
0.662,0.295,OHSU
0.676,0.266,OHSU
0.509,0.397,OHSU
0.485,0.424,OHSU
0.411,0.512,OHSU
0.383,0.492,OHSU
0.587,0.376,OHSU
0.635,0.377,OHSU
0.418,0.51,OHSU
0.465,0.48,OHSU
0.417,0.503,OHSU
0.61,0.357,OHSU
0.545,0.423,OHSU
0.681,0.28,OHSU
0.478,0.476,OHSU
0.513,0.409,OHSU
0.341,0.533,OHSU
0.582,0.381,OHSU
0.567,0.373,OHSU
0.434,0.488,OHSU
0.656,0.403,SDSU
0.425,0.548,SDSU
0.439,0.498,SDSU
0.42,0.545,SDSU
0.527,0.463,SDSU
0.559,0.466,SDSU
0.628,0.422,SDSU
0.506,0.518,SDSU
0.94,0.067,SDSU
0.472,0.536,SDSU
0.519,0.459,SDSU
0.566,0.423,SDSU
0.422,0.533,SDSU
0.347,0.589,SDSU
0.688,0.347,SDSU
0.371,0.552,SDSU
0.582,0.425,SDSU
0.692,0.325,SDSU
0.515,0.482,SDSU
0.424,0.547,SDSU
0.511,0.498,SDSU
0.482,0.54,SDSU
0.546,0.401,SDSU
0.412,0.574,SDSU
0.467,0.487,SDSU
0.339,0.577,SDSU
0.601,0.417,SDSU
0.413,0.525,SDSU
0.443,0.545,SDSU
0.72,0.337,SDSU
0.473,0.506,SDSU
0.447,0.547,SDSU
0.453,0.547,SDSU
0.547,0.458,TRINITY
0.358,0.614,TRINITY
0.624,0.396,TRINITY
0.519,0.479,TRINITY
0.458,0.501,TRINITY
0.419,0.565,TRINITY
0.406,0.557,TRINITY
0.469,0.509,TRINITY
0.477,0.528,TRINITY
0.593,0.458,TRINITY
0.389,0.529,TRINITY
0.534,0.481,TRINITY
0.682,0.354,TRINITY
0.411,0.558,TRINITY
0.479,0.49,TRINITY
0.627,0.378,TRINITY
0.498,0.472,TRINITY
0.59,0.431,TRINITY
0.463,0.481,TRINITY
0.584,0.442,TRINITY
0.714,0.295,TRINITY
0.536,0.465,TRINITY
0.47,0.543,TRINITY
0.501,0.492,TRINITY
0.557,0.417,TRINITY
0.89,0.124,TRINITY
0.382,0.602,TRINITY
0.482,0.535,TRINITY
0.567,0.431,TRINITY
0.516,0.429,TRINITY
0.455,0.501,TRINITY
0.617,0.426,TRINITY
0.675,0.307,TRINITY
0.471,0.481,TRINITY
0.377,0.58,UM_1
0.262,0.576,UM_1
0.204,0.579,UM_1
0.52,0.448,UM_1
0.333,0.553,UM_1
0.467,0.541,UM_1
0.525,0.487,UM_1
0.482,0.463,UM_1
0.464,0.592,UM_1
0.657,0.385,UM_1
0.787,0.255,UM_1
0.702,0.333,UM_1
0.535,0.488,UM_1
0.662,0.384,UM_1
0.694,0.358,UM_1
0.481,0.508,UM_1
