shannon,fisher,site
0.479,0.541,PITT
0.641,0.377,PITT
0.411,0.543,PITT
0.671,0.32,PITT
0.517,0.486,PITT
0.605,0.445,PITT
0.365,0.633,PITT
0.408,0.572,PITT
0.578,0.448,PITT
0.319,0.622,PITT
0.28,0.635,PITT
0.461,0.533,PITT
0.693,0.316,PITT
0.412,0.564,PITT
0.67,0.384,PITT
0.351,0.557,PITT
0.55,0.514,PITT
0.474,0.52,PITT
0.461,0.552,PITT
0.285,0.625,PITT
0.539,0.525,PITT
0.53,0.512,PITT
0.433,0.525,PITT
0.385,0.628,PITT
0.622,0.382,PITT
0.416,0.543,PITT
0.394,0.556,PITT
0.517,0.521,PITT
0.41,0.529,PITT
0.647,0.381,PITT
0.801,0.246,PITT
0.666,0.377,PITT
0.55,0.452,PITT
0.651,0.366,PITT
0.556,0.505,PITT
0.512,0.504,PITT
0.741,0.285,PITT
0.397,0.555,PITT
0.688,0.3,PITT
0.386,0.614,PITT
0.571,0.452,PITT
0.41,0.545,PITT
0.579,0.495,PITT
0.536,0.439,PITT
0.343,0.605,PITT
0.453,0.546,OLIN
0.419,0.548,OLIN
0.39,0.548,OLIN
0.465,0.464,OLIN
0.494,0.543,OLIN
0.492,0.558,OLIN
0.33,0.59,OLIN
0.638,0.414,OLIN
0.583,0.433,OLIN
0.688,0.343,OLIN
0.449,0.533,OLIN
0.486,0.452,OLIN
0.68,0.416,OLIN
0.764,0.229,OLIN
0.517,0.501,OLIN
0.404,0.583,OLIN
0.768,0.27,OLIN
0.51,0.52,OLIN
0.389,0.518,OLIN
0.349,0.631,OLIN
0.35,0.599,OLIN
0.324,0.64,OLIN
0.553,0.508,OLIN
0.549,0.49,OLIN
0.637,0.396,OLIN
0.455,0.489,OHSU
0.466,0.464,OHSU
0.775,0.219,OHSU
0.684,0.288,OHSU
0.695,0.273,OHSU
0.497,0.441,OHSU
0.478,0.449,OHSU
0.366,0.558,OHSU
0.327,0.551,OHSU
0.597,0.41,OHSU
0.659,0.381,OHSU
0.376,0.555,OHSU
0.459,0.496,OHSU
0.411,0.527,OHSU
0.611,0.365,OHSU
0.55,0.456,OHSU
0.698,0.284,OHSU
0.468,0.49,OHSU
0.478,0.438,OHSU
0.308,0.553,OHSU
0.605,0.398,OHSU
0.58,0.394,OHSU
0.396,0.527,OHSU
0.641,0.412,SDSU
0.437,0.523,SDSU
0.433,0.517,SDSU
0.421,0.566,SDSU
0.52,0.455,SDSU
0.544,0.495,SDSU
0.621,0.435,SDSU
0.505,0.51,SDSU
0.934,0.078,SDSU
0.478,0.543,SDSU
0.506,0.491,SDSU
0.561,0.428,SDSU
0.404,0.559,SDSU
0.353,0.606,SDSU
0.679,0.353,SDSU
0.373,0.536,SDSU
0.575,0.44,SDSU
0.683,0.337,SDSU
0.52,0.48,SDSU
0.419,0.538,SDSU
0.503,0.491,SDSU
0.488,0.549,SDSU
0.557,0.385,SDSU
0.424,0.597,SDSU
0.475,0.485,SDSU
0.324,0.589,SDSU
0.594,0.443,SDSU
0.413,0.52,SDSU
0.436,0.559,SDSU
0.711,0.338,SDSU
0.471,0.512,SDSU
0.443,0.518,SDSU
0.447,0.536,SDSU
0.536,0.437,TRINITY
0.326,0.61,TRINITY
0.613,0.393,TRINITY
0.497,0.505,TRINITY
0.433,0.507,TRINITY
0.37,0.581,TRINITY
0.377,0.519,TRINITY
0.447,0.533,TRINITY
0.43,0.538,TRINITY
0.594,0.458,TRINITY
0.35,0.556,TRINITY
0.519,0.482,TRINITY
0.7,0.343,TRINITY
0.371,0.583,TRINITY
0.45,0.518,TRINITY
0.627,0.376,TRINITY
0.487,0.498,TRINITY
0.59,0.432,TRINITY
0.417,0.505,TRINITY
0.572,0.458,TRINITY
0.732,0.29,TRINITY
0.508,0.48,TRINITY
0.454,0.565,TRINITY
0.479,0.494,TRINITY
0.543,0.427,TRINITY
0.904,0.103,TRINITY
0.336,0.592,TRINITY
0.48,0.484,TRINITY
0.553,0.443,TRINITY
0.491,0.43,TRINITY
0.426,0.523,TRINITY
0.619,0.422,TRINITY
0.68,0.288,TRINITY
0.458,0.505,TRINITY
0.386,0.598,UM_1
0.278,0.591,UM_1
0.21,0.566,UM_1
0.525,0.461,UM_1
0.342,0.55,UM_1
0.464,0.536,UM_1
0.54,0.492,UM_1
0.49,0.459,UM_1
0.469,0.583,UM_1
0.649,0.399,UM_1
0.784,0.267,UM_1
0.697,0.337,UM_1
0.536,0.491,UM_1
0.661,0.406,UM_1
0.691,0.363,UM_1
0.483,0.514,UM_1
0.629,0.471,UM_1
0.319,0.608,UM_1
0.586,0.454,UM_1
0.51,0.494,UM_1
0.686,0.364,UM_1
0.5,0.509,UM_1
0.791,0.269,UM_1
0.582,0.443,UM_1
0.622,0.436,UM_1
0.438,0.568,UM_1
0.473,0.513,UM_1
0.322,0.62,UM_1
0.323,0.632,UM_1
0.6,0.444,UM_1
0.488,0.547,UM_1
0.466,0.543,UM_1
0.499,0.529,UM_1
0.477,0.539,UM_1
0.627,0.41,UM_1
0.459,0.582,UM_1
0.53,0.476,UM_1
0.468,0.537,UM_1
0.532,0.447,UM_1
0.567,0.423,UM_1
0.792,0.229,UM_1
0.391,0.566,UM_1
0.477,0.528,UM_1
0.325,0.603,UM_1
0.335,0.618,UM_1
0.508,0.533,UM_1
0.43,0.526,UM_1
0.424,0.561,UM_1
0.332,0.56,UM_1
0.745,0.305,UM_1
0.381,0.55,UM_1
0.385,0.591,UM_1
0.528,0.493,UM_1
0.402,0.591,UM_1
0.597,0.419,UM_1
0.816,0.204,UM_1
0.492,0.569,UM_1
0.411,0.6,UM_1
0.522,0.472,UM_1
0.636,0.426,UM_1
0.739,0.324,UM_1
0.361,0.632,UM_1
0.314,0.617,UM_1
0.538,0.498,UM_1
0.506,0.536,UM_1
0.52,0.524,UM_1
0.444,0.58,UM_1
0.559,0.486,UM_1
0.609,0.434,UM_1
0.694,0.323,UM_1
0.422,0.511,UM_1
0.7,0.334,UM_1
0.284,0.625,UM_1
0.669,0.399,UM_1
0.484,0.537,UM_1
0.775,0.278,UM_1
0.448,0.518,UM_1
0.68,0.355,UM_1
0.611,0.425,UM_1
0.264,0.681,UM_1
0.412,0.575,UM_1
0.423,0.564,UM_1
0.422,0.567,UM_2
0.432,0.563,UM_2
0.368,0.56,UM_2
0.281,0.635,UM_2
0.504,0.482,UM_2
0.477,0.534,UM_2
0.65,0.416,UM_2
0.577,0.494,UM_2
0.348,0.532,UM_2
0.402,0.635,UM_2
0.609,0.427,UM_2
0.428,0.545,UM_2
0.393,0.599,UM_2
0.589,0.447,UM_2
0.739,0.357,UM_2
0.402,0.553,UM_2
0.721,0.337,UM_2
0.319,0.653,UM_2
0.369,0.627,UM_2
0.458,0.539,UM_2
0.599,0.429,UM_2
0.622,0.443,UM_2
0.468,0.502,UM_2
0.742,0.332,UM_2
0.425,0.582,UM_2
0.712,0.368,UM_2
0.493,0.497,UM_2
0.794,0.284,UM_2
0.374,0.516,UM_2
0.439,0.534,UM_2
0.478,0.508,UM_2
0.338,0.555,USM
0.542,0.47,USM
0.647,0.39,USM
0.734,0.287,USM
0.453,0.499,USM
0.64,0.408,USM
0.52,0.518,USM
0.472,0.554,USM
0.607,0.41,USM
0.386,0.623,USM
0.495,0.518,USM
0.71,0.292,USM
0.509,0.459,USM
0.555,0.432,USM
0.685,0.372,USM
0.703,0.305,USM
0.707,0.298,USM
0.676,0.332,USM
0.572,0.421,USM
0.388,0.582,USM
0.411,0.531,USM
0.367,0.588,USM
0.434,0.586,USM
0.746,0.287,USM
0.754,0.285,USM
0.444,0.532,USM
0.519,0.551,USM
0.463,0.537,USM
0.49,0.549,USM
0.67,0.402,USM
0.6,0.43,USM
0.507,0.465,USM
0.367,0.593,USM
0.478,0.526,USM
0.229,0.61,USM
0.575,0.481,USM
0.732,0.327,USM
0.464,0.56,USM
0.293,0.607,USM
0.487,0.507,USM
0.409,0.552,USM
0.574,0.434,USM
0.603,0.42,USM
0.411,0.534,USM
0.322,0.596,USM
0.618,0.445,USM
0.397,0.612,USM
0.45,0.548,USM
0.371,0.613,USM
0.288,0.636,USM
0.361,0.608,USM
0.496,0.533,USM
0.72,0.304,USM
0.297,0.645,USM
0.463,0.581,USM
0.431,0.555,USM
0.381,0.57,USM
0.46,0.568,USM
0.67,0.403,USM
0.293,0.669,USM
0.338,0.54,USM
0.463,0.482,YALE
0.523,0.465,YALE
0.649,0.324,YALE
0.446,0.514,YALE
0.449,0.556,YALE
0.699,0.303,YALE
0.703,0.3,YALE
0.738,0.272,YALE
0.692,0.358,YALE
0.635,0.416,YALE
0.55,0.414,YALE
0.374,0.571,YALE
0.573,0.422,YALE
0.33,0.566,YALE
0.511,0.51,YALE
0.465,0.532,YALE
0.462,0.534,YALE
0.433,0.509,YALE
0.39,0.537,YALE
0.675,0.361,YALE
0.416,0.539,YALE
0.538,0.456,YALE
0.382,0.611,YALE
0.435,0.491,YALE
0.555,0.436,YALE
0.461,0.519,YALE
0.789,0.265,YALE
0.634,0.372,YALE
0.625,0.388,YALE
0.656,0.381,YALE
0.63,0.384,YALE
0.419,0.506,YALE
0.422,0.571,YALE
0.415,0.525,YALE
0.531,0.463,YALE
0.426,0.493,YALE
0.417,0.526,YALE
0.638,0.43,YALE
0.318,0.61,YALE
0.419,0.54,YALE
0.463,0.492,YALE
0.674,0.333,YALE
0.433,0.566,YALE
0.842,0.161,YALE
0.356,0.577,YALE
0.555,0.427,YALE
0.414,0.523,YALE
0.413,0.511,YALE
0.335,0.597,CMU
0.468,0.523,CMU
0.706,0.399,CMU
0.331,0.557,CMU
0.535,0.546,CMU
0.581,0.428,LEUVEN_1
0.528,0.524,LEUVEN_1
0.745,0.293,LEUVEN_1
0.511,0.487,LEUVEN_1
0.457,0.54,LEUVEN_1
0.437,0.48,LEUVEN_1
0.299,0.655,LEUVEN_1
0.515,0.467,LEUVEN_1
0.416,0.515,LEUVEN_1
0.279,0.638,LEUVEN_1
0.353,0.531,LEUVEN_1
0.494,0.533,LEUVEN_1
0.357,0.519,LEUVEN_1
0.527,0.5,LEUVEN_1
0.657,0.401,LEUVEN_1
0.424,0.54,LEUVEN_1
0.414,0.55,LEUVEN_1
0.451,0.527,LEUVEN_1
0.685,0.378,LEUVEN_1
0.414,0.525,LEUVEN_1
0.347,0.595,LEUVEN_1
0.642,0.424,LEUVEN_1
0.69,0.33,LEUVEN_1
0.384,0.573,LEUVEN_1
0.654,0.363,LEUVEN_1
0.374,0.55,LEUVEN_1
0.799,0.286,LEUVEN_1
0.539,0.431,LEUVEN_1
0.579,0.426,LEUVEN_1
0.459,0.555,LEUVEN_2
0.42,0.549,LEUVEN_2
0.383,0.604,LEUVEN_2
0.524,0.487,LEUVEN_2
0.617,0.474,LEUVEN_2
0.595,0.405,LEUVEN_2
0.6,0.438,LEUVEN_2
0.683,0.326,LEUVEN_2
0.528,0.466,LEUVEN_2
0.678,0.358,LEUVEN_2
0.429,0.516,LEUVEN_2
0.522,0.514,LEUVEN_2
0.613,0.408,LEUVEN_2
0.588,0.486,LEUVEN_2
0.361,0.561,LEUVEN_2
0.531,0.477,LEUVEN_2
0.415,0.587,LEUVEN_2
0.388,0.569,LEUVEN_2
0.852,0.172,LEUVEN_2
0.611,0.425,LEUVEN_2
0.384,0.553,LEUVEN_2
0.436,0.593,LEUVEN_2
0.81,0.223,LEUVEN_2
0.482,0.554,LEUVEN_2
0.396,0.575,LEUVEN_2
0.409,0.603,LEUVEN_2
0.331,0.628,LEUVEN_2
0.39,0.569,LEUVEN_2
0.342,0.569,LEUVEN_2
0.485,0.563,LEUVEN_2
0.495,0.516,LEUVEN_2
0.527,0.512,LEUVEN_2
0.691,0.354,KKI
0.523,0.475,KKI
0.28,0.591,KKI
0.767,0.231,KKI
0.54,0.43,KKI
0.553,0.471,KKI
0.504,0.505,KKI
0.49,0.477,KKI
0.684,0.327,KKI
