shannon,fisher,site
0.543,0.45,PITT
0.699,0.322,PITT
0.423,0.51,PITT
0.722,0.255,PITT
0.583,0.443,PITT
0.657,0.366,PITT
0.419,0.6,PITT
0.463,0.52,PITT
0.651,0.385,PITT
0.35,0.62,PITT
0.301,0.63,PITT
0.528,0.441,PITT
0.746,0.27,PITT
0.47,0.494,PITT
0.716,0.321,PITT
0.397,0.528,PITT
0.607,0.432,PITT
0.514,0.466,PITT
0.515,0.483,PITT
0.31,0.603,PITT
0.604,0.453,PITT
0.604,0.44,PITT
0.486,0.504,PITT
0.435,0.573,PITT
0.678,0.318,PITT
0.485,0.544,PITT
0.456,0.457,PITT
0.562,0.455,PITT
0.445,0.487,PITT
0.695,0.314,PITT
0.849,0.162,PITT
0.718,0.282,PITT
0.611,0.371,PITT
0.704,0.269,PITT
0.626,0.468,PITT
0.565,0.443,PITT
0.786,0.226,PITT
0.439,0.509,PITT
0.735,0.236,PITT
0.432,0.598,PITT
0.627,0.388,PITT
0.44,0.485,PITT
0.642,0.41,PITT
0.585,0.378,PITT
0.392,0.565,PITT
0.5,0.496,OLIN
0.443,0.523,OLIN
0.357,0.556,OLIN
0.473,0.456,OLIN
0.518,0.491,OLIN
0.536,0.474,OLIN
0.301,0.571,OLIN
0.735,0.31,OLIN
0.646,0.384,OLIN
0.754,0.276,OLIN
0.474,0.543,OLIN
0.516,0.5,OLIN
0.767,0.328,OLIN
0.828,0.158,OLIN
0.561,0.451,OLIN
0.388,0.587,OLIN
0.849,0.176,OLIN
0.581,0.466,OLIN
0.404,0.5,OLIN
0.324,0.642,OLIN
0.302,0.582,OLIN
0.271,0.634,OLIN
0.609,0.424,OLIN
0.589,0.46,OLIN
0.699,0.298,OLIN
0.688,0.309,OHSU
0.695,0.323,OHSU
0.88,0.124,OHSU
0.785,0.199,OHSU
0.816,0.174,OHSU
0.695,0.31,OHSU
0.673,0.341,OHSU
0.645,0.385,OHSU
0.627,0.414,OHSU
0.751,0.255,OHSU
0.797,0.238,OHSU
0.639,0.386,OHSU
0.654,0.342,OHSU
0.636,0.373,OHSU
0.77,0.222,OHSU
0.733,0.285,OHSU
0.803,0.191,OHSU
0.664,0.346,OHSU
0.696,0.293,OHSU
0.593,0.405,OHSU
0.744,0.266,OHSU
0.729,0.252,OHSU
0.671,0.339,OHSU
0.628,0.439,SDSU
0.429,0.57,SDSU
0.421,0.526,SDSU
0.393,0.576,SDSU
0.503,0.491,SDSU
0.541,0.493,SDSU
0.601,0.442,SDSU
0.468,0.544,SDSU
0.933,0.074,SDSU
0.447,0.548,SDSU
0.513,0.471,SDSU
0.554,0.441,SDSU
0.391,0.567,SDSU
0.34,0.598,SDSU
0.668,0.364,SDSU
0.352,0.572,SDSU
0.571,0.448,SDSU
0.669,0.356,SDSU
0.492,0.468,SDSU
0.396,0.591,SDSU
0.494,0.528,SDSU
0.446,0.572,SDSU
0.521,0.41,SDSU
0.382,0.578,SDSU
0.439,0.538,SDSU
0.323,0.578,SDSU
0.577,0.434,SDSU
0.384,0.539,SDSU
0.413,0.6,SDSU
0.698,0.356,SDSU
0.45,0.518,SDSU
0.436,0.543,SDSU
0.436,0.552,SDSU
0.592,0.409,TRINITY
0.42,0.58,TRINITY
0.647,0.388,TRINITY
0.538,0.501,TRINITY
0.508,0.489,TRINITY
0.476,0.542,TRINITY
0.443,0.523,TRINITY
0.498,0.533,TRINITY
0.533,0.465,TRINITY
0.624,0.42,TRINITY
0.444,0.573,TRINITY
0.562,0.474,TRINITY
0.704,0.351,TRINITY
0.477,0.577,TRINITY
0.536,0.459,TRINITY
0.659,0.342,TRINITY
0.538,0.488,TRINITY
0.631,0.391,TRINITY
0.523,0.434,TRINITY
0.606,0.419,TRINITY
0.732,0.277,TRINITY
0.576,0.428,TRINITY
0.494,0.532,TRINITY
0.532,0.472,TRINITY
0.592,0.431,TRINITY
0.895,0.112,TRINITY
0.437,0.566,TRINITY
0.526,0.513,TRINITY
0.603,0.414,TRINITY
0.556,0.392,TRINITY
0.502,0.473,TRINITY
0.666,0.373,TRINITY
0.691,0.303,TRINITY
0.508,0.507,TRINITY
0.298,0.581,UM_1
0.188,0.506,UM_1
0.143,0.455,UM_1
0.451,0.434,UM_1
0.262,0.548,UM_1
0.371,0.551,UM_1
0.45,0.498,UM_1
0.407,0.496,UM_1
0.361,0.589,UM_1
0.582,0.411,UM_1
0.717,0.301,UM_1
0.632,0.391,UM_1
0.455,0.522,UM_1
0.58,0.424,UM_1
0.622,0.401,UM_1
0.391,0.515,UM_1
0.535,0.51,UM_1
0.241,0.581,UM_1
0.524,0.47,UM_1
0.421,0.472,UM_1
0.599,0.414,UM_1
0.408,0.533,UM_1
0.727,0.303,UM_1
0.497,0.425,UM_1
0.538,0.488,UM_1
0.353,0.62,UM_1
0.393,0.556,UM_1
0.251,0.607,UM_1
0.22,0.593,UM_1
0.525,0.468,UM_1
0.409,0.561,UM_1
0.383,0.519,UM_1
0.403,0.492,UM_1
0.402,0.548,UM_1
0.563,0.429,UM_1
0.382,0.585,UM_1
0.451,0.492,UM_1
0.383,0.552,UM_1
0.453,0.482,UM_1
0.505,0.443,UM_1
0.742,0.255,UM_1
0.314,0.569,UM_1
0.401,0.547,UM_1
0.241,0.61,UM_1
0.275,0.536,UM_1
0.424,0.538,UM_1
0.362,0.517,UM_1
0.331,0.532,UM_1
0.241,0.59,UM_1
0.679,0.348,UM_1
0.332,0.545,UM_1
0.301,0.573,UM_1
0.453,0.507,UM_1
0.337,0.541,UM_1
0.521,0.426,UM_1
0.761,0.236,UM_1
0.393,0.634,UM_1
0.334,0.57,UM_1
0.439,0.494,UM_1
0.56,0.456,UM_1
0.665,0.368,UM_1
0.269,0.556,UM_1
0.23,0.553,UM_1
0.466,0.525,UM_1
0.42,0.576,UM_1
0.438,0.523,UM_1
0.357,0.583,UM_1
0.476,0.526,UM_1
0.52,0.488,UM_1
0.629,0.358,UM_1
0.337,0.498,UM_1
0.636,0.373,UM_1
0.188,0.585,UM_1
0.594,0.406,UM_1
0.393,0.583,UM_1
0.715,0.319,UM_1
0.353,0.506,UM_1
0.594,0.431,UM_1
0.529,0.462,UM_1
0.19,0.618,UM_1
0.325,0.608,UM_1
0.323,0.601,UM_1
0.342,0.552,UM_2
