shannon,fisher,site
0.457,0.571,PITT
0.627,0.431,PITT
0.41,0.583,PITT
0.731,0.33,PITT
0.509,0.557,PITT
0.589,0.466,PITT
0.32,0.655,PITT
0.403,0.62,PITT
0.575,0.502,PITT
0.312,0.651,PITT
0.293,0.655,PITT
0.447,0.553,PITT
0.688,0.387,PITT
0.454,0.588,PITT
0.699,0.368,PITT
0.336,0.675,PITT
0.522,0.544,PITT
0.436,0.572,PITT
0.467,0.545,PITT
0.312,0.682,PITT
0.498,0.535,PITT
0.505,0.545,PITT
0.437,0.561,PITT
0.369,0.635,PITT
0.668,0.394,PITT
0.426,0.6,PITT
0.384,0.603,PITT
0.453,0.589,PITT
0.397,0.607,PITT
0.674,0.388,PITT
0.816,0.239,PITT
0.712,0.364,PITT
0.508,0.539,PITT
0.658,0.396,PITT
0.523,0.548,PITT
0.524,0.501,PITT
0.732,0.291,PITT
0.379,0.613,PITT
0.755,0.291,PITT
0.361,0.645,PITT
0.524,0.516,PITT
0.406,0.57,PITT
0.574,0.462,PITT
0.522,0.508,PITT
0.378,0.596,PITT
0.367,0.642,OLIN
0.315,0.613,OLIN
0.32,0.583,OLIN
0.427,0.534,OLIN
0.451,0.572,OLIN
0.506,0.552,OLIN
0.289,0.639,OLIN
0.651,0.456,OLIN
0.562,0.452,OLIN
0.685,0.349,OLIN
0.417,0.599,OLIN
0.461,0.576,OLIN
0.656,0.429,OLIN
0.845,0.187,OLIN
0.515,0.532,OLIN
0.335,0.621,OLIN
0.817,0.256,OLIN
0.472,0.582,OLIN
0.345,0.605,OLIN
0.307,0.644,OLIN
0.24,0.673,OLIN
0.254,0.642,OLIN
0.44,0.599,OLIN
0.507,0.538,OLIN
0.743,0.324,OLIN
0.462,0.466,OHSU
0.452,0.459,OHSU
0.741,0.247,OHSU
0.669,0.315,OHSU
0.744,0.25,OHSU
0.536,0.404,OHSU
0.498,0.441,OHSU
0.452,0.499,OHSU
0.378,0.54,OHSU
0.573,0.402,OHSU
0.585,0.412,OHSU
0.418,0.573,OHSU
0.454,0.515,OHSU
0.459,0.457,OHSU
0.592,0.352,OHSU
0.504,0.442,OHSU
0.669,0.301,OHSU
0.479,0.472,OHSU
0.499,0.427,OHSU
0.378,0.549,OHSU
0.575,0.346,OHSU
0.589,0.387,OHSU
0.472,0.451,OHSU
0.625,0.431,SDSU
0.462,0.551,SDSU
0.451,0.506,SDSU
0.469,0.533,SDSU
0.531,0.494,SDSU
0.549,0.51,SDSU
0.573,0.47,SDSU
0.498,0.57,SDSU
0.94,0.086,SDSU
0.477,0.532,SDSU
0.503,0.505,SDSU
0.591,0.44,SDSU
0.478,0.548,SDSU
0.416,0.593,SDSU
0.696,0.351,SDSU
0.413,0.591,SDSU
0.557,0.477,SDSU
0.629,0.421,SDSU
0.544,0.462,SDSU
0.475,0.55,SDSU
0.543,0.455,SDSU
0.473,0.522,SDSU
0.57,0.422,SDSU
0.436,0.533,SDSU
0.506,0.552,SDSU
0.369,0.585,SDSU
0.586,0.457,SDSU
0.422,0.57,SDSU
0.473,0.535,SDSU
0.717,0.372,SDSU
0.513,0.488,SDSU
0.469,0.525,SDSU
0.509,0.508,SDSU
0.522,0.499,TRINITY
0.381,0.636,TRINITY
0.598,0.431,TRINITY
0.481,0.511,TRINITY
0.464,0.58,TRINITY
0.447,0.572,TRINITY
0.472,0.516,TRINITY
0.472,0.532,TRINITY
0.486,0.517,TRINITY
0.603,0.432,TRINITY
0.458,0.555,TRINITY
0.541,0.505,TRINITY
0.676,0.387,TRINITY
0.436,0.578,TRINITY
0.464,0.559,TRINITY
0.621,0.39,TRINITY
0.527,0.5,TRINITY
0.607,0.446,TRINITY
0.487,0.506,TRINITY
0.536,0.482,TRINITY
0.734,0.308,TRINITY
0.517,0.46,TRINITY
0.471,0.552,TRINITY
0.472,0.54,TRINITY
0.578,0.429,TRINITY
0.924,0.118,TRINITY
0.43,0.585,TRINITY
0.489,0.568,TRINITY
0.565,0.453,TRINITY
0.539,0.435,TRINITY
0.507,0.486,TRINITY
0.589,0.452,TRINITY
0.671,0.361,TRINITY
0.463,0.537,TRINITY
0.428,0.602,UM_1
0.319,0.667,UM_1
0.262,0.651,UM_1
0.552,0.46,UM_1
0.336,0.576,UM_1
0.431,0.587,UM_1
0.528,0.509,UM_1
0.484,0.511,UM_1
0.481,0.583,UM_1
0.614,0.429,UM_1
0.772,0.327,UM_1
0.692,0.367,UM_1
0.507,0.57,UM_1
0.624,0.461,UM_1
0.651,0.417,UM_1
0.457,0.575,UM_1
0.612,0.515,UM_1
0.367,0.635,UM_1
0.568,0.521,UM_1
0.523,0.499,UM_1
0.681,0.392,UM_1
0.509,0.55,UM_1
0.818,0.263,UM_1
0.61,0.472,UM_1
0.613,0.488,UM_1
0.456,0.568,UM_1
0.483,0.586,UM_1
0.362,0.648,UM_1
0.333,0.661,UM_1
0.623,0.441,UM_1
0.469,0.6,UM_1
0.462,0.588,UM_1
0.493,0.568,UM_1
0.471,0.572,UM_1
0.656,0.41,UM_1
0.457,0.589,UM_1
0.494,0.503,UM_1
0.442,0.587,UM_1
0.517,0.576,UM_1
0.607,0.418,UM_1
0.738,0.296,UM_1
0.411,0.612,UM_1
0.49,0.528,UM_1
0.322,0.636,UM_1
0.415,0.619,UM_1
0.502,0.542,UM_1
0.455,0.575,UM_1
0.413,0.597,UM_1
0.348,0.64,UM_1
0.811,0.277,UM_1
0.404,0.609,UM_1
0.406,0.6,UM_1
0.503,0.569,UM_1
0.403,0.613,UM_1
0.644,0.414,UM_1
0.83,0.221,UM_1
0.527,0.506,UM_1
0.45,0.556,UM_1
0.496,0.519,UM_1
0.626,0.444,UM_1
0.722,0.337,UM_1
0.376,0.624,UM_1
0.357,0.625,UM_1
0.523,0.553,UM_1
0.502,0.542,UM_1
0.475,0.582,UM_1
0.455,0.546,UM_1
0.534,0.524,UM_1
0.637,0.432,UM_1
0.768,0.312,UM_1
0.447,0.557,UM_1
0.698,0.385,UM_1
0.341,0.634,UM_1
0.633,0.462,UM_1
0.473,0.554,UM_1
0.77,0.318,UM_1
0.457,0.525,UM_1
0.657,0.416,UM_1
0.585,0.482,UM_1
0.311,0.696,UM_1
0.38,0.619,UM_1
0.399,0.617,UM_1
0.479,0.539,UM_2
0.495,0.58,UM_2
0.408,0.603,UM_2
0.393,0.636,UM_2
0.562,0.471,UM_2
0.502,0.58,UM_2
0.66,0.425,UM_2
0.591,0.504,UM_2
0.429,0.63,UM_2
0.443,0.626,UM_2
0.563,0.494,UM_2
