shannon,fisher,site
0.473,0.574,PITT
0.618,0.445,PITT
0.456,0.558,PITT
0.704,0.376,PITT
0.51,0.56,PITT
0.591,0.472,PITT
0.368,0.674,PITT
0.448,0.621,PITT
0.558,0.515,PITT
0.352,0.62,PITT
0.34,0.637,PITT
0.465,0.548,PITT
0.67,0.409,PITT
0.476,0.583,PITT
0.671,0.396,PITT
0.381,0.651,PITT
0.529,0.548,PITT
0.46,0.553,PITT
0.489,0.552,PITT
0.35,0.664,PITT
0.519,0.543,PITT
0.513,0.534,PITT
0.457,0.56,PITT
0.412,0.628,PITT
0.653,0.412,PITT
0.443,0.598,PITT
0.407,0.595,PITT
0.479,0.573,PITT
0.443,0.585,PITT
0.657,0.414,PITT
0.784,0.284,PITT
0.688,0.391,PITT
0.513,0.544,PITT
0.646,0.407,PITT
0.528,0.556,PITT
0.544,0.5,PITT
0.715,0.324,PITT
0.42,0.596,PITT
0.728,0.33,PITT
0.401,0.639,PITT
0.535,0.52,PITT
0.459,0.558,PITT
0.575,0.479,PITT
0.539,0.516,PITT
0.434,0.597,PITT
0.442,0.622,OLIN
0.412,0.624,OLIN
0.408,0.581,OLIN
0.5,0.516,OLIN
0.499,0.567,OLIN
0.529,0.543,OLIN
0.401,0.619,OLIN
0.615,0.48,OLIN
0.565,0.467,OLIN
0.667,0.373,OLIN
0.471,0.575,OLIN
0.491,0.574,OLIN
0.62,0.475,OLIN
0.772,0.278,OLIN
0.541,0.528,OLIN
0.426,0.602,OLIN
0.743,0.334,OLIN
0.506,0.572,OLIN
0.437,0.578,OLIN
0.422,0.625,OLIN
0.371,0.66,OLIN
0.365,0.633,OLIN
0.488,0.578,OLIN
0.527,0.536,OLIN
0.698,0.37,OLIN
0.463,0.496,OHSU
0.431,0.509,OHSU
0.765,0.237,OHSU
0.69,0.33,OHSU
0.768,0.25,OHSU
0.525,0.448,OHSU
0.473,0.458,OHSU
0.405,0.58,OHSU
0.353,0.581,OHSU
0.588,0.428,OHSU
0.596,0.419,OHSU
0.403,0.582,OHSU
0.46,0.524,OHSU
0.453,0.499,OHSU
0.59,0.394,OHSU
0.491,0.474,OHSU
0.688,0.301,OHSU
0.481,0.498,OHSU
0.453,0.475,OHSU
0.357,0.602,OHSU
0.592,0.374,OHSU
0.609,0.392,OHSU
0.433,0.513,OHSU
0.621,0.444,SDSU
0.442,0.57,SDSU
0.433,0.529,SDSU
0.456,0.557,SDSU
0.524,0.506,SDSU
0.54,0.528,SDSU
0.579,0.472,SDSU
0.492,0.57,SDSU
0.939,0.091,SDSU
0.472,0.553,SDSU
0.489,0.537,SDSU
0.584,0.456,SDSU
0.462,0.55,SDSU
0.395,0.599,SDSU
0.696,0.363,SDSU
0.397,0.586,SDSU
0.545,0.504,SDSU
0.624,0.436,SDSU
0.529,0.474,SDSU
0.474,0.556,SDSU
0.535,0.481,SDSU
0.463,0.539,SDSU
0.554,0.455,SDSU
0.428,0.52,SDSU
0.496,0.561,SDSU
0.342,0.595,SDSU
0.574,0.472,SDSU
0.404,0.57,SDSU
0.469,0.558,SDSU
0.719,0.386,SDSU
0.503,0.508,SDSU
0.462,0.539,SDSU
0.496,0.514,SDSU
0.496,0.512,TRINITY
0.348,0.66,TRINITY
0.595,0.447,TRINITY
0.457,0.518,TRINITY
0.439,0.591,TRINITY
0.408,0.601,TRINITY
0.451,0.528,TRINITY
0.446,0.549,TRINITY
0.457,0.543,TRINITY
0.607,0.432,TRINITY
0.414,0.581,TRINITY
0.526,0.517,TRINITY
0.687,0.378,TRINITY
0.396,0.615,TRINITY
0.439,0.573,TRINITY
0.618,0.405,TRINITY
0.516,0.506,TRINITY
0.6,0.444,TRINITY
0.452,0.538,TRINITY
0.528,0.491,TRINITY
0.748,0.305,TRINITY
0.491,0.495,TRINITY
0.454,0.551,TRINITY
0.45,0.56,TRINITY
0.563,0.439,TRINITY
0.94,0.098,TRINITY
0.374,0.61,TRINITY
0.48,0.589,TRINITY
0.565,0.471,TRINITY
0.527,0.457,TRINITY
0.481,0.52,TRINITY
0.587,0.47,TRINITY
0.678,0.35,TRINITY
0.441,0.541,TRINITY
0.434,0.612,UM_1
0.352,0.668,UM_1
0.284,0.654,UM_1
0.546,0.475,UM_1
0.352,0.561,UM_1
0.446,0.599,UM_1
0.529,0.514,UM_1
0.491,0.527,UM_1
0.489,0.581,UM_1
0.613,0.431,UM_1
0.759,0.345,UM_1
0.686,0.377,UM_1
0.512,0.575,UM_1
0.621,0.46,UM_1
0.645,0.424,UM_1
0.461,0.584,UM_1
0.605,0.523,UM_1
0.38,0.626,UM_1
0.568,0.513,UM_1
0.529,0.506,UM_1
0.673,0.4,UM_1
0.507,0.549,UM_1
0.803,0.284,UM_1
0.608,0.481,UM_1
0.605,0.499,UM_1
0.469,0.578,UM_1
0.486,0.58,UM_1
0.371,0.646,UM_1
0.357,0.663,UM_1
0.619,0.448,UM_1
0.477,0.597,UM_1
0.469,0.603,UM_1
0.499,0.574,UM_1
0.482,0.552,UM_1
0.651,0.417,UM_1
0.458,0.588,UM_1
0.507,0.508,UM_1
0.455,0.584,UM_1
0.516,0.573,UM_1
0.608,0.427,UM_1
0.73,0.309,UM_1
0.417,0.614,UM_1
0.498,0.523,UM_1
0.335,0.631,UM_1
0.427,0.632,UM_1
0.505,0.532,UM_1
0.465,0.576,UM_1
0.425,0.594,UM_1
0.367,0.627,UM_1
0.797,0.294,UM_1
0.409,0.627,UM_1
0.429,0.593,UM_1
0.514,0.566,UM_1
0.408,0.61,UM_1
0.64,0.417,UM_1
0.821,0.238,UM_1
0.534,0.503,UM_1
0.46,0.545,UM_1
0.506,0.528,UM_1
0.625,0.448,UM_1
0.715,0.352,UM_1
0.396,0.615,UM_1
0.38,0.609,UM_1
0.526,0.559,UM_1
0.505,0.534,UM_1
0.488,0.579,UM_1
0.462,0.533,UM_1
0.538,0.511,UM_1
0.628,0.446,UM_1
0.758,0.326,UM_1
0.459,0.542,UM_1
0.686,0.396,UM_1
0.361,0.637,UM_1
0.629,0.464,UM_1
0.481,0.559,UM_1
0.758,0.333,UM_1
0.472,0.515,UM_1
0.651,0.423,UM_1
0.585,0.485,UM_1
0.337,0.687,UM_1
0.391,0.622,UM_1
0.407,0.619,UM_1
0.453,0.552,UM_2
0.463,0.601,UM_2
0.365,0.641,UM_2
0.331,0.67,UM_2
0.559,0.483,UM_2
0.486,0.577,UM_2
0.674,0.415,UM_2
0.576,0.52,UM_2
0.372,0.642,UM_2
0.361,0.659,UM_2
0.543,0.511,UM_2
0.401,0.629,UM_2
0.346,0.682,UM_2
0.604,0.442,UM_2
0.747,0.37,UM_2
0.424,0.584,UM_2
0.699,0.422,UM_2
0.396,0.644,UM_2
0.367,0.642,UM_2
0.513,0.526,UM_2
0.578,0.51,UM_2
0.632,0.501,UM_2
0.493,0.593,UM_2
0.708,0.435,UM_2
0.444,0.645,UM_2
0.741,0.35,UM_2
0.481,0.581,UM_2
0.811,0.31,UM_2
0.413,0.618,UM_2
0.429,0.598,UM_2
0.424,0.64,UM_2
0.419,0.599,USM
0.546,0.484,USM
0.61,0.44,USM
0.715,0.336,USM
0.455,0.572,USM
0.663,0.411,USM
0.511,0.546,USM
0.467,0.566,USM
0.583,0.485,USM
0.37,0.633,USM
0.519,0.541,USM
0.728,0.336,USM
0.551,0.474,USM
0.559,0.492,USM
0.653,0.432,USM
0.704,0.344,USM
0.685,0.368,USM
0.65,0.419,USM
0.577,0.511,USM
0.398,0.619,USM
0.418,0.553,USM
0.354,0.668,USM
0.418,0.622,USM
0.753,0.318,USM
0.787,0.318,USM
0.434,0.59,USM
0.479,0.601,USM
0.494,0.52,USM
0.449,0.575,USM
0.65,0.435,USM
0.625,0.44,USM
0.548,0.469,USM
0.409,0.615,USM
0.503,0.538,USM
0.288,0.715,USM
0.565,0.53,USM
0.756,0.33,USM
0.475,0.588,USM
0.361,0.68,USM
0.513,0.513,USM
0.421,0.599,USM
0.567,0.486,USM
0.572,0.543,USM
0.422,0.598,USM
0.425,0.649,USM
0.606,0.481,USM
0.45,0.626,USM
0.495,0.536,USM
0.417,0.635,USM
0.304,0.69,USM
0.363,0.647,USM
0.489,0.545,USM
0.703,0.393,USM
0.336,0.688,USM
0.435,0.636,USM
0.426,0.592,USM
0.412,0.633,USM
0.464,0.608,USM
0.678,0.411,USM
0.338,0.671,USM
0.374,0.645,USM
0.46,0.521,YALE
0.546,0.424,YALE
0.622,0.406,YALE
0.449,0.547,YALE
0.456,0.567,YALE
0.711,0.354,YALE
0.699,0.341,YALE
0.73,0.311,YALE
0.692,0.371,YALE
0.605,0.448,YALE
0.504,0.538,YALE
0.376,0.605,YALE
0.573,0.418,YALE
0.394,0.591,YALE
