shannon,fisher,site
0.536,0.528,PITT
0.69,0.38,PITT
0.468,0.556,PITT
0.781,0.269,PITT
0.594,0.5,PITT
0.656,0.407,PITT
0.409,0.615,PITT
0.474,0.581,PITT
0.655,0.431,PITT
0.362,0.59,PITT
0.337,0.572,PITT
0.53,0.507,PITT
0.744,0.327,PITT
0.54,0.507,PITT
0.759,0.304,PITT
0.415,0.623,PITT
0.594,0.474,PITT
0.513,0.503,PITT
0.532,0.499,PITT
0.363,0.599,PITT
0.576,0.472,PITT
0.589,0.467,PITT
0.515,0.516,PITT
0.445,0.596,PITT
0.727,0.331,PITT
0.504,0.539,PITT
0.471,0.559,PITT
0.525,0.52,PITT
0.448,0.545,PITT
0.732,0.328,PITT
0.853,0.188,PITT
0.772,0.298,PITT
0.584,0.495,PITT
0.722,0.321,PITT
0.602,0.501,PITT
0.591,0.428,PITT
0.781,0.249,PITT
0.45,0.554,PITT
0.807,0.231,PITT
0.43,0.606,PITT
0.59,0.466,PITT
0.46,0.529,PITT
0.645,0.427,PITT
0.592,0.447,PITT
0.444,0.578,PITT
0.439,0.599,OLIN
0.385,0.624,OLIN
0.372,0.586,OLIN
0.481,0.509,OLIN
0.514,0.536,OLIN
0.577,0.496,OLIN
0.339,0.619,OLIN
0.707,0.398,OLIN
0.614,0.408,OLIN
0.731,0.306,OLIN
0.491,0.551,OLIN
0.529,0.537,OLIN
0.715,0.385,OLIN
0.872,0.16,OLIN
0.581,0.472,OLIN
0.384,0.623,OLIN
0.853,0.208,OLIN
0.539,0.534,OLIN
0.404,0.575,OLIN
0.345,0.633,OLIN
0.298,0.679,OLIN
0.307,0.628,OLIN
0.519,0.542,OLIN
0.577,0.486,OLIN
0.793,0.275,OLIN
0.69,0.306,OHSU
0.689,0.329,OHSU
0.869,0.127,OHSU
0.823,0.182,OHSU
0.865,0.128,OHSU
0.721,0.271,OHSU
0.69,0.32,OHSU
0.7,0.302,OHSU
0.639,0.408,OHSU
0.759,0.249,OHSU
0.767,0.26,OHSU
0.655,0.379,OHSU
0.68,0.337,OHSU
0.677,0.342,OHSU
0.768,0.229,OHSU
0.724,0.289,OHSU
0.807,0.185,OHSU
0.692,0.31,OHSU
0.709,0.292,OHSU
0.636,0.394,OHSU
0.749,0.257,OHSU
0.757,0.246,OHSU
0.702,0.315,OHSU
0.593,0.464,SDSU
0.472,0.55,SDSU
0.446,0.525,SDSU
0.45,0.565,SDSU
0.511,0.519,SDSU
0.518,0.546,SDSU
0.543,0.484,SDSU
0.478,0.591,SDSU
0.925,0.095,SDSU
0.455,0.548,SDSU
0.49,0.529,SDSU
0.575,0.472,SDSU
0.471,0.554,SDSU
0.39,0.613,SDSU
0.662,0.377,SDSU
0.406,0.599,SDSU
0.542,0.508,SDSU
0.6,0.437,SDSU
0.525,0.485,SDSU
0.45,0.566,SDSU
0.531,0.481,SDSU
0.462,0.547,SDSU
0.544,0.435,SDSU
0.42,0.549,SDSU
0.476,0.581,SDSU
0.368,0.596,SDSU
0.557,0.46,SDSU
0.405,0.603,SDSU
0.459,0.557,SDSU
0.68,0.396,SDSU
0.492,0.503,SDSU
0.456,0.549,SDSU
0.49,0.527,SDSU
0.566,0.461,TRINITY
0.431,0.613,TRINITY
0.631,0.411,TRINITY
0.52,0.487,TRINITY
0.524,0.544,TRINITY
0.51,0.534,TRINITY
0.512,0.49,TRINITY
0.523,0.51,TRINITY
0.537,0.48,TRINITY
0.636,0.396,TRINITY
0.523,0.499,TRINITY
0.581,0.474,TRINITY
0.703,0.338,TRINITY
0.49,0.569,TRINITY
0.521,0.516,TRINITY
0.656,0.361,TRINITY
0.574,0.461,TRINITY
0.646,0.408,TRINITY
0.542,0.47,TRINITY
0.572,0.45,TRINITY
0.757,0.273,TRINITY
0.564,0.461,TRINITY
0.527,0.515,TRINITY
0.521,0.518,TRINITY
0.618,0.422,TRINITY
0.931,0.096,TRINITY
0.5,0.538,TRINITY
0.54,0.536,TRINITY
0.605,0.422,TRINITY
0.575,0.406,TRINITY
0.547,0.46,TRINITY
0.627,0.41,TRINITY
0.698,0.327,TRINITY
0.508,0.519,TRINITY
0.338,0.599,UM_1
0.219,0.584,UM_1
0.164,0.494,UM_1
0.48,0.479,UM_1
0.26,0.497,UM_1
0.333,0.602,UM_1
0.433,0.541,UM_1
0.403,0.54,UM_1
0.382,0.631,UM_1
0.534,0.442,UM_1
0.691,0.386,UM_1
0.612,0.421,UM_1
0.409,0.587,UM_1
0.533,0.516,UM_1
0.578,0.45,UM_1
0.369,0.566,UM_1
0.522,0.548,UM_1
0.289,0.632,UM_1
0.488,0.56,UM_1
0.434,0.496,UM_1
0.603,0.434,UM_1
0.425,0.576,UM_1
0.751,0.321,UM_1
0.52,0.532,UM_1
0.519,0.541,UM_1
0.377,0.589,UM_1
0.398,0.598,UM_1
0.277,0.642,UM_1
0.24,0.652,UM_1
0.543,0.466,UM_1
0.374,0.619,UM_1
0.374,0.61,UM_1
0.394,0.565,UM_1
0.394,0.576,UM_1
0.586,0.436,UM_1
0.37,0.585,UM_1
0.402,0.511,UM_1
0.353,0.571,UM_1
0.433,0.583,UM_1
0.542,0.461,UM_1
0.675,0.319,UM_1
0.329,0.606,UM_1
0.411,0.531,UM_1
0.237,0.549,UM_1
0.336,0.614,UM_1
0.432,0.55,UM_1
0.374,0.588,UM_1
0.318,0.604,UM_1
0.257,0.612,UM_1
0.738,0.338,UM_1
0.332,0.599,UM_1
0.319,0.573,UM_1
0.408,0.594,UM_1
0.328,0.626,UM_1
0.57,0.455,UM_1
0.768,0.284,UM_1
0.445,0.535,UM_1
0.357,0.578,UM_1
0.411,0.514,UM_1
0.541,0.486,UM_1
0.65,0.385,UM_1
0.315,0.597,UM_1
0.279,0.544,UM_1
0.446,0.572,UM_1
0.429,0.543,UM_1
0.391,0.601,UM_1
0.384,0.551,UM_1
0.448,0.553,UM_1
0.554,0.478,UM_1
0.688,0.372,UM_1
0.349,0.519,UM_1
0.627,0.426,UM_1
0.252,0.631,UM_1
0.552,0.509,UM_1
0.384,0.584,UM_1
0.695,0.376,UM_1
0.39,0.556,UM_1
0.575,0.453,UM_1
0.495,0.535,UM_1
0.219,0.686,UM_1
0.312,0.642,UM_1
0.324,0.631,UM_1
0.362,0.577,UM_2
0.348,0.616,UM_2
0.287,0.574,UM_2
0.273,0.651,UM_2
0.447,0.498,UM_2
0.374,0.581,UM_2
0.541,0.5,UM_2
0.448,0.564,UM_2
0.29,0.608,UM_2
0.301,0.631,UM_2
0.44,0.519,UM_2
0.311,0.608,UM_2
0.259,0.636,UM_2
0.487,0.48,UM_2
0.605,0.463,UM_2
0.319,0.58,UM_2
0.56,0.518,UM_2
0.312,0.622,UM_2
0.311,0.606,UM_2
0.429,0.523,UM_2
0.452,0.53,UM_2
0.496,0.555,UM_2
