shannon,fisher,site
0.212,0.679,PITT
0.412,0.604,PITT
0.271,0.661,PITT
0.51,0.554,PITT
0.26,0.689,PITT
0.239,0.668,PITT
0.128,0.661,PITT
0.206,0.653,PITT
0.34,0.632,PITT
0.187,0.693,PITT
0.204,0.702,PITT
0.204,0.658,PITT
0.434,0.624,PITT
0.25,0.663,PITT
0.413,0.586,PITT
0.175,0.683,PITT
0.265,0.683,PITT
0.223,0.679,PITT
0.339,0.636,PITT
0.159,0.646,PITT
0.334,0.661,PITT
0.278,0.707,PITT
0.31,0.632,PITT
0.243,0.687,PITT
0.46,0.558,PITT
0.265,0.711,PITT
0.179,0.705,PITT
0.253,0.644,PITT
0.25,0.717,PITT
0.352,0.645,PITT
0.553,0.493,PITT
0.374,0.685,PITT
0.289,0.62,PITT
0.374,0.647,PITT
0.313,0.698,PITT
0.364,0.68,PITT
0.511,0.578,PITT
0.253,0.675,PITT
0.413,0.538,PITT
0.208,0.678,PITT
0.356,0.672,PITT
0.281,0.672,PITT
0.259,0.662,PITT
0.311,0.639,PITT
0.225,0.666,PITT
0.194,0.693,OLIN
0.151,0.689,OLIN
0.15,0.692,OLIN
0.203,0.665,OLIN
0.236,0.716,OLIN
0.259,0.703,OLIN
0.219,0.716,OLIN
0.374,0.617,OLIN
0.276,0.631,OLIN
0.379,0.629,OLIN
0.189,0.625,OLIN
0.289,0.715,OLIN
0.394,0.644,OLIN
0.595,0.438,OLIN
0.286,0.675,OLIN
0.145,0.68,OLIN
0.564,0.543,OLIN
0.238,0.663,OLIN
0.223,0.664,OLIN
0.151,0.665,OLIN
0.123,0.648,OLIN
0.144,0.657,OLIN
0.283,0.732,OLIN
0.222,0.676,OLIN
0.49,0.581,OLIN
0.244,0.51,OHSU
0.206,0.543,OHSU
0.54,0.382,OHSU
0.32,0.552,OHSU
0.428,0.485,OHSU
0.211,0.587,OHSU
0.239,0.599,OHSU
0.232,0.58,OHSU
0.201,0.599,OHSU
0.27,0.489,OHSU
0.252,0.587,OHSU
0.177,0.581,OHSU
0.221,0.602,OHSU
0.202,0.54,OHSU
0.337,0.48,OHSU
0.238,0.531,OHSU
0.428,0.469,OHSU
0.219,0.598,OHSU
0.233,0.525,OHSU
0.142,0.546,OHSU
0.283,0.444,OHSU
