shannon,fisher,site
0.228,0.704,PITT
0.39,0.591,PITT
0.281,0.668,PITT
0.483,0.586,PITT
0.241,0.693,PITT
0.254,0.636,PITT
0.146,0.681,PITT
0.221,0.683,PITT
0.318,0.64,PITT
0.219,0.707,PITT
0.233,0.701,PITT
0.214,0.681,PITT
0.408,0.662,PITT
0.269,0.685,PITT
0.384,0.62,PITT
0.198,0.696,PITT
0.26,0.67,PITT
0.242,0.699,PITT
0.346,0.629,PITT
0.184,0.674,PITT
0.34,0.664,PITT
0.29,0.69,PITT
0.325,0.651,PITT
0.26,0.687,PITT
0.447,0.591,PITT
0.273,0.693,PITT
0.192,0.69,PITT
0.231,0.619,PITT
0.254,0.697,PITT
0.321,0.667,PITT
0.505,0.518,PITT
0.352,0.711,PITT
0.294,0.643,PITT
0.344,0.652,PITT
0.306,0.685,PITT
0.351,0.688,PITT
0.484,0.587,PITT
0.264,0.66,PITT
0.391,0.573,PITT
0.218,0.674,PITT
0.355,0.677,PITT
0.302,0.658,PITT
0.271,0.658,PITT
0.323,0.629,PITT
0.24,0.673,PITT
0.218,0.683,OLIN
0.183,0.706,OLIN
0.19,0.717,OLIN
0.233,0.679,OLIN
0.265,0.694,OLIN
0.264,0.704,OLIN
0.249,0.685,OLIN
0.343,0.651,OLIN
0.302,0.644,OLIN
0.412,0.639,OLIN
0.23,0.684,OLIN
0.293,0.708,OLIN
0.373,0.65,OLIN
0.539,0.489,OLIN
0.274,0.68,OLIN
0.179,0.633,OLIN
0.496,0.582,OLIN
0.257,0.672,OLIN
0.28,0.687,OLIN
0.187,0.658,OLIN
0.142,0.642,OLIN
0.184,0.684,OLIN
0.311,0.717,OLIN
0.242,0.675,OLIN
0.443,0.597,OLIN
0.236,0.576,OHSU
0.232,0.632,OHSU
0.527,0.449,OHSU
0.356,0.567,OHSU
0.435,0.526,OHSU
0.253,0.656,OHSU
0.244,0.574,OHSU
0.204,0.601,OHSU
0.232,0.55,OHSU
0.292,0.584,OHSU
0.287,0.594,OHSU
0.179,0.63,OHSU
0.251,0.621,OHSU
0.223,0.617,OHSU
0.364,0.527,OHSU
0.255,0.56,OHSU
0.461,0.473,OHSU
0.238,0.615,OHSU
0.236,0.583,OHSU
0.196,0.63,OHSU
0.291,0.524,OHSU
0.325,0.587,OHSU
0.221,0.599,OHSU
0.298,0.67,SDSU
0.311,0.594,SDSU
0.26,0.667,SDSU
0.255,0.644,SDSU
0.289,0.627,SDSU
0.33,0.64,SDSU
0.283,0.671,SDSU
0.229,0.651,SDSU
0.725,0.339,SDSU
0.239,0.638,SDSU
0.321,0.618,SDSU
0.433,0.576,SDSU
0.297,0.648,SDSU
0.214,0.665,SDSU
0.417,0.595,SDSU
0.263,0.647,SDSU
0.305,0.651,SDSU
0.374,0.576,SDSU
0.325,0.655,SDSU
0.264,0.626,SDSU
0.319,0.62,SDSU
0.313,0.598,SDSU
0.372,0.576,SDSU
0.23,0.589,SDSU
