shannon,fisher,site
0.215,0.627,PITT
0.421,0.595,PITT
0.249,0.665,PITT
0.512,0.533,PITT
0.254,0.67,PITT
0.239,0.601,PITT
0.112,0.598,PITT
0.194,0.581,PITT
0.348,0.606,PITT
0.157,0.667,PITT
0.188,0.693,PITT
0.197,0.648,PITT
0.439,0.595,PITT
0.25,0.619,PITT
0.414,0.578,PITT
0.161,0.624,PITT
0.256,0.591,PITT
0.21,0.669,PITT
0.326,0.614,PITT
0.145,0.639,PITT
0.329,0.662,PITT
0.275,0.663,PITT
0.3,0.618,PITT
0.228,0.648,PITT
0.464,0.552,PITT
0.243,0.682,PITT
0.162,0.624,PITT
0.248,0.618,PITT
0.218,0.692,PITT
0.357,0.622,PITT
0.553,0.475,PITT
0.382,0.665,PITT
0.285,0.581,PITT
0.376,0.6,PITT
0.313,0.682,PITT
0.359,0.648,PITT
0.511,0.565,PITT
0.235,0.656,PITT
0.411,0.543,PITT
0.177,0.605,PITT
0.35,0.656,PITT
0.246,0.644,PITT
0.256,0.663,PITT
0.312,0.603,PITT
0.195,0.61,PITT
0.147,0.601,OLIN
0.121,0.603,OLIN
0.114,0.593,OLIN
0.158,0.63,OLIN
0.178,0.636,OLIN
0.203,0.618,OLIN
0.165,0.641,OLIN
0.33,0.574,OLIN
0.226,0.596,OLIN
0.329,0.579,OLIN
0.139,0.6,OLIN
0.237,0.654,OLIN
0.346,0.613,OLIN
0.554,0.45,OLIN
0.229,0.648,OLIN
0.096,0.595,OLIN
0.507,0.563,OLIN
0.195,0.606,OLIN
0.178,0.642,OLIN
0.097,0.594,OLIN
0.074,0.568,OLIN
0.106,0.622,OLIN
0.225,0.706,OLIN
0.174,0.654,OLIN
0.441,0.596,OLIN
0.641,0.396,OHSU
0.638,0.41,OHSU
0.815,0.194,OHSU
0.705,0.328,OHSU
0.752,0.254,OHSU
0.64,0.391,OHSU
0.643,0.396,OHSU
0.652,0.366,OHSU
0.633,0.418,OHSU
0.672,0.364,OHSU
0.663,0.375,OHSU
0.62,0.417,OHSU
0.643,0.385,OHSU
0.646,0.397,OHSU
0.71,0.291,OHSU
0.654,0.374,OHSU
0.753,0.254,OHSU
0.643,0.383,OHSU
0.644,0.376,OHSU
0.608,0.432,OHSU
0.67,0.363,OHSU
0.675,0.343,OHSU
0.651,0.397,OHSU
0.356,0.674,SDSU
0.392,0.59,SDSU
0.307,0.63,SDSU
0.318,0.644,SDSU
0.363,0.612,SDSU
0.375,0.61,SDSU
0.354,0.638,SDSU
0.278,0.669,SDSU
0.772,0.27,SDSU
0.292,0.632,SDSU
0.366,0.644,SDSU
0.484,0.535,SDSU
0.336,0.631,SDSU
0.243,0.659,SDSU
0.472,0.562,SDSU
0.319,0.628,SDSU
0.381,0.638,SDSU
0.432,0.561,SDSU
0.375,0.631,SDSU
0.329,0.621,SDSU
0.389,0.601,SDSU
0.393,0.566,SDSU
0.429,0.524,SDSU
0.292,0.645,SDSU
0.293,0.619,SDSU
0.228,0.665,SDSU
0.333,0.633,SDSU
0.219,0.626,SDSU
0.378,0.612,SDSU
0.498,0.538,SDSU
0.355,0.615,SDSU
0.29,0.615,SDSU
0.404,0.608,SDSU
0.368,0.653,TRINITY
0.305,0.688,TRINITY
0.444,0.607,TRINITY
0.399,0.639,TRINITY
0.411,0.63,TRINITY
0.407,0.62,TRINITY
0.377,0.615,TRINITY
0.404,0.618,TRINITY
0.414,0.599,TRINITY
0.49,0.562,TRINITY
0.421,0.586,TRINITY
0.419,0.598,TRINITY
0.479,0.558,TRINITY
0.363,0.681,TRINITY
0.34,0.674,TRINITY
0.514,0.545,TRINITY
0.396,0.648,TRINITY
0.458,0.602,TRINITY
0.396,0.645,TRINITY
0.421,0.605,TRINITY
0.6,0.412,TRINITY
0.397,0.628,TRINITY
0.376,0.608,TRINITY
0.341,0.684,TRINITY
0.449,0.6,TRINITY
0.784,0.25,TRINITY
0.394,0.657,TRINITY
0.401,0.614,TRINITY
0.465,0.572,TRINITY
0.411,0.582,TRINITY
0.416,0.597,TRINITY
0.437,0.574,TRINITY
0.486,0.546,TRINITY
0.371,0.655,TRINITY
0.063,0.372,UM_1
0.064,0.393,UM_1
0.046,0.37,UM_1
0.221,0.498,UM_1
0.027,0.316,UM_1
0.091,0.472,UM_1
0.229,0.636,UM_1
0.08,0.48,UM_1
0.089,0.471,UM_1
0.215,0.572,UM_1
0.373,0.518,UM_1
0.269,0.59,UM_1
0.088,0.441,UM_1
0.201,0.603,UM_1
0.288,0.604,UM_1
0.074,0.413,UM_1
0.179,0.599,UM_1
0.085,0.432,UM_1
0.135,0.456,UM_1
0.163,0.542,UM_1
0.223,0.601,UM_1
0.177,0.619,UM_1
0.434,0.528,UM_1
0.135,0.549,UM_1
0.199,0.612,UM_1
0.13,0.567,UM_1
0.166,0.582,UM_1
0.09,0.477,UM_1
0.041,0.404,UM_1
0.321,0.558,UM_1
0.14,0.51,UM_1
0.07,0.509,UM_1
0.139,0.509,UM_1
0.134,0.473,UM_1
0.308,0.584,UM_1
0.104,0.462,UM_1
0.116,0.509,UM_1
0.077,0.417,UM_1
0.094,0.467,UM_1
0.219,0.61,UM_1
0.375,0.558,UM_1
0.08,0.459,UM_1
0.12,0.486,UM_1
0.043,0.348,UM_1
0.095,0.491,UM_1
0.181,0.58,UM_1
0.075,0.392,UM_1
0.101,0.504,UM_1
0.048,0.383,UM_1
0.378,0.581,UM_1
0.119,0.537,UM_1
0.045,0.414,UM_1
0.168,0.556,UM_1
0.055,0.453,UM_1
0.225,0.613,UM_1
0.465,0.543,UM_1
0.16,0.594,UM_1
0.121,0.464,UM_1
0.131,0.454,UM_1
0.199,0.633,UM_1
0.36,0.594,UM_1
0.094,0.544,UM_1
0.053,0.39,UM_1
0.162,0.605,UM_1
0.148,0.594,UM_1
0.086,0.457,UM_1
0.165,0.57,UM_1
0.187,0.61,UM_1
0.231,0.574,UM_1
0.432,0.522,UM_1
