shannon,fisher,site
0.491,0.516,PITT
0.647,0.386,PITT
0.42,0.542,PITT
0.712,0.297,PITT
0.553,0.464,PITT
0.605,0.413,PITT
0.346,0.615,PITT
0.366,0.591,PITT
0.583,0.438,PITT
0.284,0.621,PITT
0.236,0.606,PITT
0.461,0.485,PITT
0.715,0.349,PITT
0.425,0.544,PITT
0.703,0.329,PITT
0.351,0.55,PITT
0.568,0.488,PITT
0.443,0.535,PITT
0.486,0.516,PITT
0.259,0.575,PITT
0.542,0.435,PITT
0.507,0.512,PITT
0.431,0.558,PITT
0.323,0.663,PITT
0.658,0.34,PITT
0.417,0.569,PITT
0.341,0.575,PITT
0.471,0.528,PITT
0.368,0.589,PITT
0.653,0.333,PITT
0.835,0.201,PITT
0.696,0.313,PITT
0.551,0.461,PITT
0.676,0.356,PITT
0.536,0.522,PITT
0.504,0.5,PITT
0.757,0.26,PITT
0.381,0.546,PITT
0.732,0.257,PITT
0.347,0.602,PITT
0.58,0.446,PITT
0.359,0.536,PITT
0.59,0.446,PITT
0.532,0.426,PITT
0.337,0.604,PITT
0.41,0.567,OLIN
0.388,0.566,OLIN
0.283,0.479,OLIN
0.456,0.483,OLIN
0.467,0.501,OLIN
0.472,0.548,OLIN
0.258,0.621,OLIN
0.686,0.363,OLIN
0.595,0.434,OLIN
0.712,0.307,OLIN
0.404,0.568,OLIN
0.453,0.532,OLIN
0.731,0.338,OLIN
0.814,0.2,OLIN
0.504,0.495,OLIN
0.305,0.6,OLIN
0.824,0.187,OLIN
0.513,0.478,OLIN
0.327,0.527,OLIN
0.239,0.624,OLIN
0.257,0.533,OLIN
0.192,0.598,OLIN
0.543,0.504,OLIN
0.505,0.49,OLIN
0.663,0.328,OLIN
0.485,0.421,OHSU
0.475,0.419,OHSU
0.781,0.217,OHSU
0.664,0.291,OHSU
0.697,0.262,OHSU
0.511,0.402,OHSU
0.469,0.433,OHSU
0.419,0.511,OHSU
0.393,0.555,OHSU
0.597,0.333,OHSU
0.641,0.366,OHSU
0.42,0.523,OHSU
0.474,0.454,OHSU
0.429,0.508,OHSU
0.607,0.349,OHSU
0.519,0.427,OHSU
0.677,0.303,OHSU
0.471,0.48,OHSU
0.498,0.437,OHSU
0.35,0.526,OHSU
0.601,0.367,OHSU
0.583,0.368,OHSU
0.439,0.488,OHSU
0.641,0.406,SDSU
0.418,0.5,SDSU
0.424,0.534,SDSU
0.394,0.59,SDSU
0.526,0.466,SDSU
0.585,0.456,SDSU
0.643,0.404,SDSU
0.504,0.528,SDSU
0.956,0.054,SDSU
0.469,0.528,SDSU
0.503,0.486,SDSU
0.587,0.402,SDSU
0.399,0.552,SDSU
0.389,0.539,SDSU
0.697,0.338,SDSU
0.391,0.531,SDSU
0.589,0.415,SDSU
0.7,0.33,SDSU
0.516,0.492,SDSU
0.431,0.546,SDSU
0.506,0.501,SDSU
0.471,0.545,SDSU
0.553,0.388,SDSU
0.421,0.583,SDSU
0.483,0.506,SDSU
0.31,0.575,SDSU
0.595,0.435,SDSU
0.408,0.568,SDSU
0.45,0.547,SDSU
0.716,0.335,SDSU
0.46,0.511,SDSU
0.456,0.523,SDSU
0.481,0.5,SDSU
0.565,0.44,TRINITY
0.371,0.578,TRINITY
0.637,0.369,TRINITY
0.504,0.494,TRINITY
0.447,0.533,TRINITY
0.431,0.56,TRINITY
0.41,0.521,TRINITY
0.463,0.553,TRINITY
0.486,0.475,TRINITY
0.584,0.453,TRINITY
0.402,0.564,TRINITY
0.543,0.466,TRINITY
0.684,0.346,TRINITY
0.425,0.548,TRINITY
0.445,0.546,TRINITY
0.624,0.341,TRINITY
0.532,0.453,TRINITY
0.606,0.397,TRINITY
0.476,0.492,TRINITY
0.589,0.433,TRINITY
0.721,0.281,TRINITY
0.551,0.461,TRINITY
0.486,0.509,TRINITY
0.504,0.525,TRINITY
0.557,0.414,TRINITY
0.907,0.111,TRINITY
0.412,0.587,TRINITY
0.492,0.581,TRINITY
0.557,0.454,TRINITY
0.508,0.449,TRINITY
0.479,0.483,TRINITY
0.616,0.439,TRINITY
0.675,0.317,TRINITY
0.497,0.521,TRINITY
0.403,0.563,UM_1
0.262,0.638,UM_1
0.226,0.56,UM_1
0.532,0.476,UM_1
0.326,0.528,UM_1
0.479,0.529,UM_1
0.556,0.442,UM_1
0.515,0.469,UM_1
0.454,0.582,UM_1
0.64,0.364,UM_1
0.778,0.266,UM_1
0.701,0.296,UM_1
0.542,0.491,UM_1
0.656,0.404,UM_1
0.689,0.349,UM_1
0.491,0.499,UM_1
0.639,0.449,UM_1
0.293,0.584,UM_1
0.585,0.462,UM_1
0.524,0.465,UM_1
0.674,0.389,UM_1
0.506,0.524,UM_1
0.814,0.251,UM_1
0.598,0.435,UM_1
0.615,0.445,UM_1
0.425,0.575,UM_1
0.473,0.533,UM_1
0.329,0.636,UM_1
0.35,0.647,UM_1
0.609,0.443,UM_1
0.467,0.565,UM_1
0.451,0.532,UM_1
0.496,0.536,UM_1
0.473,0.545,UM_1
0.654,0.397,UM_1
0.464,0.567,UM_1
0.525,0.482,UM_1
0.444,0.547,UM_1
0.54,0.481,UM_1
0.577,0.442,UM_1
0.802,0.231,UM_1
0.384,0.601,UM_1
0.489,0.521,UM_1
0.294,0.612,UM_1
0.349,0.566,UM_1
0.52,0.523,UM_1
0.449,0.529,UM_1
0.403,0.584,UM_1
0.307,0.61,UM_1
0.758,0.303,UM_1
0.409,0.53,UM_1
0.361,0.563,UM_1
