shannon,fisher,site
0.497,0.544,PITT
0.64,0.408,PITT
0.428,0.52,PITT
0.7,0.308,PITT
0.549,0.485,PITT
0.591,0.437,PITT
0.374,0.622,PITT
0.401,0.592,PITT
0.575,0.435,PITT
0.334,0.638,PITT
0.283,0.615,PITT
0.475,0.467,PITT
0.693,0.362,PITT
0.439,0.556,PITT
0.696,0.338,PITT
0.363,0.568,PITT
0.563,0.513,PITT
0.453,0.549,PITT
0.498,0.51,PITT
0.307,0.62,PITT
0.539,0.459,PITT
0.509,0.513,PITT
0.445,0.539,PITT
0.37,0.647,PITT
0.645,0.358,PITT
0.427,0.532,PITT
0.363,0.584,PITT
0.483,0.522,PITT
0.399,0.549,PITT
0.64,0.367,PITT
0.815,0.257,PITT
0.689,0.335,PITT
0.549,0.461,PITT
0.661,0.382,PITT
0.542,0.533,PITT
0.52,0.49,PITT
0.736,0.292,PITT
0.402,0.537,PITT
0.715,0.281,PITT
0.374,0.614,PITT
0.587,0.449,PITT
0.387,0.531,PITT
0.585,0.45,PITT
0.539,0.481,PITT
0.364,0.589,PITT
0.47,0.528,OLIN
0.446,0.546,OLIN
0.376,0.527,OLIN
0.492,0.483,OLIN
0.504,0.491,OLIN
0.504,0.539,OLIN
0.356,0.587,OLIN
0.657,0.387,OLIN
0.591,0.437,OLIN
0.687,0.334,OLIN
0.456,0.555,OLIN
0.479,0.525,OLIN
0.692,0.398,OLIN
0.763,0.254,OLIN
0.541,0.467,OLIN
0.392,0.574,OLIN
0.769,0.274,OLIN
0.525,0.506,OLIN
0.412,0.532,OLIN
0.34,0.619,OLIN
0.36,0.569,OLIN
0.299,0.625,OLIN
0.565,0.52,OLIN
0.527,0.509,OLIN
0.641,0.378,OLIN
0.469,0.462,OHSU
0.444,0.479,OHSU
0.8,0.22,OHSU
0.681,0.29,OHSU
0.723,0.262,OHSU
0.498,0.414,OHSU
0.475,0.444,OHSU
0.376,0.546,OHSU
0.368,0.548,OHSU
0.606,0.346,OHSU
0.665,0.379,OHSU
0.406,0.526,OHSU
0.451,0.487,OHSU
0.413,0.52,OHSU
0.596,0.372,OHSU
0.521,0.427,OHSU
0.691,0.298,OHSU
0.47,0.516,OHSU
0.466,0.476,OHSU
0.311,0.554,OHSU
0.616,0.395,OHSU
0.594,0.389,OHSU
0.404,0.547,OHSU
0.629,0.417,SDSU
0.418,0.481,SDSU
0.419,0.519,SDSU
0.404,0.587,SDSU
0.524,0.473,SDSU
0.571,0.466,SDSU
0.637,0.403,SDSU
0.501,0.519,SDSU
0.95,0.065,SDSU
0.468,0.539,SDSU
0.491,0.481,SDSU
0.592,0.395,SDSU
0.406,0.51,SDSU
0.39,0.565,SDSU
0.689,0.331,SDSU
0.391,0.526,SDSU
0.584,0.422,SDSU
0.684,0.348,SDSU
0.516,0.498,SDSU
0.447,0.564,SDSU
0.506,0.47,SDSU
0.466,0.535,SDSU
0.551,0.406,SDSU
0.421,0.591,SDSU
