shannon,fisher,site
0.558,0.435,PITT
0.696,0.312,PITT
0.46,0.479,PITT
0.76,0.243,PITT
0.618,0.397,PITT
0.654,0.367,PITT
0.439,0.603,PITT
0.451,0.495,PITT
0.652,0.388,PITT
0.359,0.628,PITT
0.318,0.613,PITT
0.535,0.47,PITT
0.767,0.286,PITT
0.518,0.529,PITT
0.752,0.27,PITT
0.416,0.518,PITT
0.627,0.433,PITT
0.521,0.471,PITT
0.548,0.466,PITT
0.317,0.594,PITT
0.616,0.392,PITT
0.601,0.428,PITT
0.498,0.51,PITT
0.422,0.561,PITT
0.71,0.297,PITT
0.499,0.501,PITT
0.441,0.545,PITT
0.543,0.482,PITT
0.444,0.545,PITT
0.704,0.292,PITT
0.864,0.159,PITT
0.741,0.241,PITT
0.613,0.404,PITT
0.732,0.302,PITT
0.612,0.48,PITT
0.565,0.409,PITT
0.792,0.213,PITT
0.446,0.496,PITT
0.763,0.216,PITT
0.426,0.591,PITT
0.637,0.406,PITT
0.415,0.444,PITT
0.655,0.385,PITT
0.6,0.426,PITT
0.408,0.552,PITT
0.506,0.539,OLIN
0.461,0.532,OLIN
0.351,0.507,OLIN
0.51,0.442,OLIN
0.534,0.444,OLIN
0.566,0.486,OLIN
0.324,0.599,OLIN
0.744,0.297,OLIN
0.663,0.371,OLIN
0.763,0.266,OLIN
0.488,0.535,OLIN
0.53,0.492,OLIN
0.79,0.296,OLIN
0.84,0.165,OLIN
0.582,0.443,OLIN
0.384,0.579,OLIN
0.866,0.171,OLIN
0.588,0.467,OLIN
0.4,0.497,OLIN
0.319,0.606,OLIN
0.323,0.535,OLIN
0.268,0.675,OLIN
0.613,0.443,OLIN
0.583,0.43,OLIN
0.717,0.285,OLIN
0.683,0.314,OHSU
0.679,0.331,OHSU
0.894,0.119,OHSU
0.794,0.193,OHSU
0.824,0.157,OHSU
0.692,0.305,OHSU
0.656,0.356,OHSU
0.648,0.384,OHSU
0.637,0.397,OHSU
0.754,0.254,OHSU
0.803,0.224,OHSU
0.642,0.387,OHSU
0.663,0.33,OHSU
0.641,0.369,OHSU
0.767,0.209,OHSU
0.699,0.325,OHSU
0.799,0.206,OHSU
0.663,0.361,OHSU
0.7,0.295,OHSU
0.593,0.408,OHSU
0.753,0.25,OHSU
0.739,0.247,OHSU
