shannon,fisher,site
0.39,0.529,PITT
0.596,0.441,PITT
0.383,0.569,PITT
0.761,0.262,PITT
0.561,0.456,PITT
0.616,0.413,PITT
0.291,0.63,PITT
0.404,0.489,PITT
0.542,0.489,PITT
0.229,0.586,PITT
0.223,0.597,PITT
0.442,0.533,PITT
0.68,0.365,PITT
0.37,0.587,PITT
0.662,0.386,PITT
0.285,0.575,PITT
0.502,0.523,PITT
0.437,0.534,PITT
0.426,0.537,PITT
0.219,0.595,PITT
0.422,0.549,PITT
0.503,0.524,PITT
0.439,0.517,PITT
0.343,0.573,PITT
0.623,0.377,PITT
0.371,0.63,PITT
0.391,0.528,PITT
0.459,0.506,PITT
0.353,0.542,PITT
0.688,0.353,PITT
0.848,0.194,PITT
0.695,0.346,PITT
0.489,0.474,PITT
0.69,0.341,PITT
0.534,0.506,PITT
0.522,0.447,PITT
0.761,0.304,PITT
0.349,0.533,PITT
0.784,0.223,PITT
0.302,0.648,PITT
0.593,0.421,PITT
0.394,0.521,PITT
0.613,0.425,PITT
0.485,0.485,PITT
0.326,0.541,PITT
0.341,0.606,OLIN
0.325,0.603,OLIN
0.322,0.559,OLIN
0.411,0.458,OLIN
0.472,0.504,OLIN
0.487,0.544,OLIN
0.259,0.57,OLIN
0.675,0.383,OLIN
0.605,0.433,OLIN
0.684,0.334,OLIN
0.393,0.531,OLIN
0.497,0.526,OLIN
0.698,0.344,OLIN
0.808,0.193,OLIN
0.514,0.508,OLIN
0.289,0.634,OLIN
0.793,0.261,OLIN
0.422,0.52,OLIN
0.373,0.544,OLIN
0.289,0.616,OLIN
0.178,0.487,OLIN
0.2,0.602,OLIN
0.494,0.504,OLIN
0.479,0.498,OLIN
0.763,0.288,OLIN
0.471,0.425,OHSU
0.465,0.446,OHSU
0.761,0.225,OHSU
0.65,0.349,OHSU
0.724,0.209,OHSU
0.539,0.392,OHSU
0.435,0.476,OHSU
0.406,0.511,OHSU
0.349,0.545,OHSU
