shannon,fisher,site
0.412,0.54,PITT
0.593,0.448,PITT
0.418,0.546,PITT
0.733,0.301,PITT
0.545,0.474,PITT
0.611,0.439,PITT
0.329,0.66,PITT
0.413,0.5,PITT
0.54,0.497,PITT
0.273,0.625,PITT
0.258,0.592,PITT
0.462,0.532,PITT
0.662,0.389,PITT
0.405,0.578,PITT
0.645,0.401,PITT
0.312,0.566,PITT
0.523,0.512,PITT
0.455,0.542,PITT
0.452,0.517,PITT
0.277,0.618,PITT
0.45,0.539,PITT
0.511,0.526,PITT
0.46,0.512,PITT
0.384,0.583,PITT
0.617,0.399,PITT
0.409,0.608,PITT
0.42,0.516,PITT
0.462,0.508,PITT
0.378,0.563,PITT
0.668,0.37,PITT
0.823,0.246,PITT
0.671,0.398,PITT
0.491,0.498,PITT
0.67,0.373,PITT
0.533,0.548,PITT
0.532,0.444,PITT
0.737,0.343,PITT
0.377,0.504,PITT
0.756,0.26,PITT
0.332,0.619,PITT
0.585,0.435,PITT
0.418,0.501,PITT
0.602,0.444,PITT
0.507,0.494,PITT
0.356,0.55,PITT
0.402,0.626,OLIN
0.363,0.625,OLIN
0.397,0.577,OLIN
0.466,0.464,OLIN
0.479,0.531,OLIN
0.51,0.509,OLIN
0.346,0.562,OLIN
0.64,0.437,OLIN
0.597,0.414,OLIN
0.67,0.358,OLIN
0.431,0.57,OLIN
0.514,0.551,OLIN
0.657,0.376,OLIN
0.763,0.248,OLIN
0.538,0.514,OLIN
0.371,0.596,OLIN
0.742,0.306,OLIN
0.447,0.534,OLIN
0.41,0.524,OLIN
0.356,0.583,OLIN
0.255,0.598,OLIN
0.29,0.595,OLIN
0.51,0.508,OLIN
0.5,0.505,OLIN
0.722,0.345,OLIN
0.469,0.466,OHSU
0.402,0.49,OHSU
0.797,0.199,OHSU
0.686,0.323,OHSU
0.741,0.242,OHSU
0.515,0.414,OHSU
0.401,0.479,OHSU
0.34,0.568,OHSU
0.304,0.593,OHSU
0.601,0.397,OHSU
0.618,0.413,OHSU
0.372,0.546,OHSU
0.488,0.493,OHSU
0.421,0.503,OHSU
0.577,0.376,OHSU
0.516,0.491,OHSU
0.717,0.248,OHSU
0.428,0.493,OHSU
0.411,0.477,OHSU
0.31,0.527,OHSU
0.59,0.401,OHSU
0.613,0.373,OHSU
0.498,0.504,OHSU
0.653,0.385,SDSU
0.441,0.448,SDSU
0.423,0.496,SDSU
0.399,0.558,SDSU
0.514,0.491,SDSU
0.526,0.521,SDSU
0.581,0.451,SDSU
0.464,0.528,SDSU
0.954,0.066,SDSU
0.435,0.563,SDSU
0.478,0.518,SDSU
0.636,0.337,SDSU
0.401,0.588,SDSU
0.37,0.583,SDSU
0.696,0.334,SDSU
0.32,0.587,SDSU
0.561,0.453,SDSU
0.708,0.344,SDSU
0.526,0.445,SDSU
0.406,0.562,SDSU
0.526,0.442,SDSU
0.46,0.529,SDSU
0.53,0.415,SDSU
0.356,0.55,SDSU
0.493,0.541,SDSU
0.309,0.532,SDSU
0.572,0.469,SDSU
