shannon,fisher,site
0.48,0.52,PITT
0.669,0.382,PITT
0.435,0.474,PITT
0.812,0.222,PITT
0.639,0.398,PITT
0.692,0.355,PITT
0.393,0.591,PITT
0.476,0.472,PITT
0.627,0.45,PITT
0.289,0.605,PITT
0.281,0.579,PITT
0.529,0.479,PITT
0.741,0.31,PITT
0.458,0.511,PITT
0.725,0.319,PITT
0.365,0.531,PITT
0.564,0.467,PITT
0.525,0.477,PITT
0.509,0.496,PITT
0.29,0.572,PITT
0.508,0.498,PITT
0.601,0.437,PITT
0.527,0.481,PITT
0.426,0.547,PITT
0.689,0.297,PITT
0.46,0.572,PITT
0.484,0.488,PITT
0.542,0.463,PITT
0.423,0.537,PITT
0.739,0.285,PITT
0.882,0.154,PITT
0.755,0.28,PITT
0.56,0.445,PITT
0.755,0.289,PITT
0.624,0.446,PITT
0.588,0.374,PITT
0.813,0.245,PITT
0.424,0.491,PITT
0.824,0.16,PITT
0.385,0.577,PITT
0.658,0.353,PITT
0.46,0.491,PITT
0.684,0.356,PITT
0.569,0.438,PITT
0.393,0.521,PITT
0.408,0.566,OLIN
0.381,0.577,OLIN
0.376,0.577,OLIN
0.454,0.436,OLIN
0.532,0.476,OLIN
0.544,0.467,OLIN
0.305,0.552,OLIN
0.721,0.351,OLIN
0.651,0.396,OLIN
0.725,0.281,OLIN
0.458,0.528,OLIN
0.559,0.51,OLIN
0.738,0.303,OLIN
0.831,0.161,OLIN
0.57,0.479,OLIN
0.353,0.59,OLIN
0.824,0.214,OLIN
0.491,0.506,OLIN
0.429,0.515,OLIN
0.325,0.582,OLIN
0.221,0.532,OLIN
0.238,0.586,OLIN
0.556,0.444,OLIN
0.537,0.431,OLIN
0.795,0.244,OLIN
0.686,0.302,OHSU
0.687,0.329,OHSU
0.882,0.119,OHSU
0.806,0.203,OHSU
0.844,0.127,OHSU
0.715,0.259,OHSU
0.668,0.357,OHSU
0.657,0.377,OHSU
0.613,0.423,OHSU
0.747,0.255,OHSU
0.774,0.267,OHSU
0.606,0.394,OHSU
0.688,0.341,OHSU
0.653,0.361,OHSU
0.757,0.236,OHSU
0.725,0.295,OHSU
0.825,0.149,OHSU
0.638,0.361,OHSU
0.691,0.303,OHSU
0.57,0.459,OHSU
0.745,0.271,OHSU
0.758,0.221,OHSU
0.706,0.301,OHSU
0.616,0.409,SDSU
0.468,0.526,SDSU
0.423,0.527,SDSU
0.403,0.593,SDSU
0.493,0.515,SDSU
