shannon,fisher,site
0.515,0.524,PITT
0.636,0.354,PITT
0.36,0.547,PITT
0.696,0.296,PITT
0.51,0.416,PITT
0.572,0.398,PITT
0.335,0.599,PITT
0.425,0.524,PITT
0.566,0.431,PITT
0.232,0.569,PITT
0.242,0.598,PITT
0.444,0.555,PITT
0.717,0.314,PITT
0.425,0.511,PITT
0.679,0.326,PITT
0.328,0.542,PITT
0.521,0.489,PITT
0.424,0.536,PITT
0.488,0.523,PITT
0.254,0.614,PITT
0.501,0.483,PITT
0.478,0.482,PITT
0.408,0.545,PITT
0.297,0.605,PITT
0.658,0.352,PITT
0.435,0.507,PITT
0.352,0.593,PITT
0.423,0.546,PITT
0.383,0.519,PITT
0.683,0.321,PITT
0.811,0.222,PITT
0.668,0.316,PITT
0.518,0.491,PITT
0.609,0.357,PITT
0.509,0.428,PITT
0.517,0.467,PITT
0.734,0.282,PITT
0.384,0.571,PITT
0.732,0.25,PITT
0.332,0.613,PITT
0.582,0.419,PITT
0.377,0.518,PITT
0.554,0.454,PITT
0.487,0.467,PITT
0.328,0.596,PITT
0.395,0.563,OLIN
0.348,0.561,OLIN
0.297,0.539,OLIN
0.406,0.434,OLIN
0.469,0.492,OLIN
0.511,0.502,OLIN
0.246,0.528,OLIN
0.649,0.377,OLIN
0.634,0.387,OLIN
0.675,0.292,OLIN
0.393,0.531,OLIN
0.443,0.555,OLIN
0.658,0.368,OLIN
0.796,0.191,OLIN
0.532,0.481,OLIN
0.282,0.61,OLIN
0.813,0.215,OLIN
0.513,0.494,OLIN
0.326,0.521,OLIN
0.204,0.621,OLIN
0.214,0.549,OLIN
0.215,0.611,OLIN
0.488,0.502,OLIN
0.537,0.434,OLIN
0.676,0.313,OLIN
0.494,0.429,OHSU
0.459,0.42,OHSU
0.774,0.238,OHSU
0.659,0.301,OHSU
0.656,0.273,OHSU
0.515,0.431,OHSU
0.483,0.447,OHSU
0.377,0.528,OHSU
0.366,0.492,OHSU
0.567,0.406,OHSU
0.61,0.347,OHSU
0.359,0.547,OHSU
0.437,0.5,OHSU
0.41,0.411,OHSU
0.625,0.325,OHSU
0.541,0.398,OHSU
0.622,0.286,OHSU
0.472,0.461,OHSU
0.447,0.479,OHSU
0.298,0.541,OHSU
0.544,0.431,OHSU
0.548,0.364,OHSU
0.411,0.483,OHSU
0.585,0.447,SDSU
0.414,0.534,SDSU
0.416,0.518,SDSU
0.373,0.586,SDSU
0.526,0.437,SDSU
0.562,0.473,SDSU
0.62,0.409,SDSU
0.5,0.488,SDSU
0.927,0.076,SDSU
0.48,0.491,SDSU
0.5,0.502,SDSU
0.591,0.389,SDSU
0.403,0.508,SDSU
0.335,0.523,SDSU
0.647,0.337,SDSU
0.366,0.622,SDSU
0.564,0.416,SDSU
0.667,0.373,SDSU
0.501,0.449,SDSU
0.386,0.546,SDSU
0.497,0.444,SDSU
0.421,0.534,SDSU
0.51,0.438,SDSU
0.389,0.531,SDSU
0.521,0.492,SDSU
0.298,0.554,SDSU
0.58,0.426,SDSU
0.379,0.534,SDSU
0.472,0.528,SDSU
0.715,0.345,SDSU
0.489,0.473,SDSU
0.457,0.511,SDSU
0.477,0.514,SDSU
0.481,0.485,TRINITY
0.308,0.61,TRINITY
0.61,0.362,TRINITY
0.476,0.505,TRINITY
0.483,0.5,TRINITY
0.369,0.547,TRINITY
0.425,0.539,TRINITY
0.431,0.485,TRINITY
0.44,0.559,TRINITY
0.574,0.399,TRINITY
0.326,0.548,TRINITY
0.524,0.479,TRINITY
0.664,0.334,TRINITY
0.403,0.54,TRINITY
0.399,0.557,TRINITY
0.618,0.367,TRINITY
0.504,0.522,TRINITY
0.572,0.431,TRINITY
0.429,0.565,TRINITY
0.558,0.489,TRINITY
0.747,0.254,TRINITY
0.516,0.445,TRINITY
0.438,0.553,TRINITY
0.452,0.509,TRINITY
0.575,0.415,TRINITY
0.866,0.119,TRINITY
0.401,0.533,TRINITY
0.494,0.505,TRINITY
0.531,0.407,TRINITY
0.514,0.392,TRINITY
0.456,0.482,TRINITY
0.605,0.381,TRINITY
0.66,0.31,TRINITY
0.475,0.533,TRINITY
0.408,0.484,UM_1
0.241,0.618,UM_1
0.191,0.554,UM_1
0.511,0.453,UM_1
0.311,0.549,UM_1
0.48,0.492,UM_1
0.523,0.459,UM_1
0.436,0.511,UM_1
0.44,0.523,UM_1
0.607,0.405,UM_1
0.763,0.266,UM_1
0.699,0.354,UM_1
0.573,0.401,UM_1
0.665,0.388,UM_1
0.702,0.323,UM_1
0.455,0.524,UM_1
0.616,0.436,UM_1
0.303,0.627,UM_1
0.557,0.429,UM_1
0.505,0.412,UM_1
0.63,0.354,UM_1
0.475,0.515,UM_1
0.757,0.279,UM_1
0.585,0.405,UM_1
0.623,0.407,UM_1
0.415,0.54,UM_1
0.48,0.502,UM_1
0.321,0.524,UM_1
0.287,0.588,UM_1
0.594,0.383,UM_1
0.486,0.524,UM_1
0.423,0.531,UM_1
0.477,0.492,UM_1
0.476,0.487,UM_1
0.619,0.397,UM_1
0.453,0.487,UM_1
0.523,0.452,UM_1
0.411,0.533,UM_1
0.489,0.487,UM_1
0.575,0.418,UM_1
0.761,0.236,UM_1
0.35,0.535,UM_1
0.435,0.543,UM_1
0.28,0.601,UM_1
0.331,0.596,UM_1
0.47,0.526,UM_1
0.415,0.563,UM_1
0.4,0.569,UM_1
0.31,0.61,UM_1
