shannon,fisher,site
0.514,0.529,PITT
0.629,0.367,PITT
0.377,0.549,PITT
0.688,0.309,PITT
0.506,0.438,PITT
0.554,0.426,PITT
0.348,0.631,PITT
0.434,0.513,PITT
0.56,0.427,PITT
0.243,0.606,PITT
0.265,0.573,PITT
0.454,0.566,PITT
0.704,0.352,PITT
0.433,0.52,PITT
0.669,0.334,PITT
0.337,0.574,PITT
0.52,0.472,PITT
0.434,0.517,PITT
0.497,0.523,PITT
0.283,0.583,PITT
0.499,0.48,PITT
0.478,0.493,PITT
0.413,0.532,PITT
0.324,0.582,PITT
0.651,0.371,PITT
0.44,0.534,PITT
0.362,0.556,PITT
0.428,0.557,PITT
0.403,0.513,PITT
0.671,0.351,PITT
0.795,0.262,PITT
0.654,0.345,PITT
0.515,0.497,PITT
0.6,0.422,PITT
0.511,0.466,PITT
0.53,0.495,PITT
0.726,0.322,PITT
0.415,0.556,PITT
0.721,0.277,PITT
0.351,0.606,PITT
0.569,0.43,PITT
0.407,0.523,PITT
0.556,0.45,PITT
0.495,0.46,PITT
0.362,0.558,PITT
0.439,0.565,OLIN
0.394,0.565,OLIN
0.371,0.558,OLIN
0.441,0.478,OLIN
0.496,0.512,OLIN
0.517,0.501,OLIN
0.343,0.562,OLIN
0.614,0.381,OLIN
0.629,0.391,OLIN
0.658,0.305,OLIN
0.426,0.529,OLIN
0.455,0.552,OLIN
0.628,0.409,OLIN
0.754,0.262,OLIN
0.552,0.485,OLIN
0.332,0.594,OLIN
0.757,0.3,OLIN
0.515,0.482,OLIN
0.386,0.527,OLIN
0.303,0.626,OLIN
0.311,0.605,OLIN
0.293,0.607,OLIN
0.514,0.496,OLIN
0.544,0.479,OLIN
0.647,0.349,OLIN
0.491,0.462,OHSU
0.428,0.454,OHSU
0.803,0.237,OHSU
0.678,0.301,OHSU
0.68,0.266,OHSU
0.498,0.46,OHSU
0.484,0.425,OHSU
0.33,0.524,OHSU
0.341,0.476,OHSU
0.581,0.4,OHSU
0.635,0.341,OHSU
0.328,0.588,OHSU
0.424,0.512,OHSU
0.416,0.436,OHSU
0.626,0.365,OHSU
0.544,0.397,OHSU
0.643,0.307,OHSU
0.46,0.466,OHSU
0.414,0.539,OHSU
0.264,0.582,OHSU
0.557,0.454,OHSU
0.565,0.37,OHSU
0.409,0.491,OHSU
0.582,0.435,SDSU
0.397,0.545,SDSU
0.401,0.558,SDSU
0.375,0.594,SDSU
0.529,0.406,SDSU
