shannon,fisher,site
0.572,0.467,PITT
0.696,0.316,PITT
0.424,0.451,PITT
0.734,0.236,PITT
0.581,0.382,PITT
0.63,0.34,PITT
0.422,0.579,PITT
0.49,0.442,PITT
0.635,0.375,PITT
0.283,0.606,PITT
0.314,0.523,PITT
0.522,0.502,PITT
0.764,0.258,PITT
0.498,0.437,PITT
0.726,0.27,PITT
0.402,0.515,PITT
0.598,0.414,PITT
0.512,0.458,PITT
0.556,0.465,PITT
0.321,0.577,PITT
0.576,0.463,PITT
0.566,0.43,PITT
0.478,0.465,PITT
0.373,0.594,PITT
0.717,0.283,PITT
0.511,0.455,PITT
0.434,0.53,PITT
0.511,0.495,PITT
0.472,0.459,PITT
0.73,0.271,PITT
0.839,0.179,PITT
0.707,0.283,PITT
0.602,0.436,PITT
0.663,0.301,PITT
0.586,0.415,PITT
0.591,0.414,PITT
0.777,0.223,PITT
0.465,0.524,PITT
0.766,0.192,PITT
0.413,0.561,PITT
0.628,0.377,PITT
0.426,0.463,PITT
0.616,0.372,PITT
0.56,0.42,PITT
0.416,0.461,PITT
0.465,0.532,OLIN
0.416,0.55,OLIN
0.35,0.499,OLIN
0.452,0.39,OLIN
0.533,0.463,OLIN
0.563,0.43,OLIN
0.298,0.604,OLIN
0.688,0.333,OLIN
0.664,0.331,OLIN
0.701,0.268,OLIN
0.45,0.502,OLIN
0.51,0.495,OLIN
0.692,0.319,OLIN
0.813,0.167,OLIN
0.569,0.402,OLIN
0.347,0.597,OLIN
0.825,0.2,OLIN
0.567,0.441,OLIN
0.369,0.516,OLIN
0.268,0.586,OLIN
0.276,0.578,OLIN
0.267,0.601,OLIN
0.542,0.447,OLIN
0.59,0.368,OLIN
0.71,0.28,OLIN
0.71,0.304,OHSU
0.682,0.324,OHSU
0.902,0.112,OHSU
0.814,0.193,OHSU
0.821,0.183,OHSU
0.705,0.284,OHSU
0.683,0.333,OHSU
0.623,0.415,OHSU
0.614,0.417,OHSU
0.742,0.265,OHSU
0.79,0.234,OHSU
0.598,0.439,OHSU
0.651,0.35,OHSU
0.64,0.394,OHSU
0.796,0.186,OHSU
0.728,0.283,OHSU
0.778,0.211,OHSU
0.672,0.335,OHSU
0.684,0.295,OHSU
0.575,0.436,OHSU
0.722,0.306,OHSU
0.733,0.263,OHSU
0.665,0.332,OHSU
0.553,0.45,SDSU
0.404,0.545,SDSU
0.394,0.535,SDSU
0.34,0.622,SDSU
0.505,0.499,SDSU
0.518,0.519,SDSU
0.588,0.438,SDSU
0.473,0.516,SDSU
0.917,0.07,SDSU
0.442,0.533,SDSU
0.464,0.513,SDSU
0.567,0.426,SDSU
0.388,0.575,SDSU
0.31,0.572,SDSU
0.626,0.356,SDSU
0.346,0.584,SDSU
0.537,0.413,SDSU
0.633,0.379,SDSU
0.467,0.506,SDSU
0.356,0.631,SDSU
0.476,0.42,SDSU
0.399,0.558,SDSU
0.482,0.448,SDSU
0.345,0.546,SDSU
0.486,0.518,SDSU
0.283,0.626,SDSU
0.555,0.445,SDSU
0.345,0.544,SDSU
0.438,0.581,SDSU
0.686,0.35,SDSU
0.457,0.504,SDSU
0.41,0.548,SDSU
0.449,0.543,SDSU
0.538,0.467,TRINITY
0.347,0.598,TRINITY
0.634,0.363,TRINITY
0.515,0.481,TRINITY
0.524,0.468,TRINITY
0.437,0.543,TRINITY
0.468,0.526,TRINITY
0.464,0.487,TRINITY
0.512,0.489,TRINITY
0.608,0.391,TRINITY
0.389,0.57,TRINITY
0.561,0.435,TRINITY
0.691,0.311,TRINITY
0.449,0.525,TRINITY
0.466,0.544,TRINITY
0.654,0.341,TRINITY
0.545,0.487,TRINITY
0.611,0.424,TRINITY
0.487,0.508,TRINITY
0.579,0.478,TRINITY
0.762,0.227,TRINITY
0.552,0.419,TRINITY
0.485,0.554,TRINITY
0.494,0.5,TRINITY
0.612,0.389,TRINITY
0.887,0.105,TRINITY
0.462,0.482,TRINITY
0.521,0.523,TRINITY
0.572,0.436,TRINITY
0.567,0.372,TRINITY
0.494,0.479,TRINITY
0.646,0.368,TRINITY
0.686,0.3,TRINITY
0.501,0.511,TRINITY
0.358,0.365,UM_1
0.163,0.496,UM_1
0.137,0.487,UM_1
0.423,0.447,UM_1
0.253,0.462,UM_1
0.388,0.513,UM_1
0.451,0.454,UM_1
0.375,0.469,UM_1
0.37,0.51,UM_1
0.536,0.44,UM_1
0.697,0.325,UM_1
0.617,0.383,UM_1
0.503,0.417,UM_1
0.588,0.417,UM_1
0.627,0.375,UM_1
0.389,0.481,UM_1
0.538,0.466,UM_1
0.248,0.567,UM_1
0.491,0.397,UM_1
0.415,0.422,UM_1
0.574,0.341,UM_1
0.392,0.533,UM_1
0.683,0.314,UM_1
0.507,0.414,UM_1
0.533,0.459,UM_1
0.359,0.537,UM_1
0.414,0.464,UM_1
0.254,0.5,UM_1
0.197,0.557,UM_1
0.509,0.396,UM_1
0.397,0.548,UM_1
0.357,0.495,UM_1
0.409,0.495,UM_1
0.397,0.508,UM_1
0.549,0.425,UM_1
0.39,0.501,UM_1
0.448,0.468,UM_1
0.349,0.438,UM_1
0.411,0.455,UM_1
0.503,0.452,UM_1
0.704,0.284,UM_1
0.289,0.553,UM_1
0.366,0.464,UM_1
0.236,0.497,UM_1
0.277,0.528,UM_1
0.401,0.504,UM_1
0.352,0.578,UM_1
0.306,0.58,UM_1
0.234,0.632,UM_1
0.67,0.297,UM_1
0.326,0.537,UM_1
0.266,0.477,UM_1
0.413,0.569,UM_1
0.304,0.572,UM_1
0.505,0.458,UM_1
0.735,0.204,UM_1
0.349,0.533,UM_1
0.319,0.467,UM_1
0.402,0.548,UM_1
0.507,0.409,UM_1
0.646,0.355,UM_1
0.286,0.572,UM_1
0.261,0.549,UM_1
0.508,0.515,UM_1
0.419,0.492,UM_1
0.44,0.519,UM_1
0.377,0.489,UM_1
0.451,0.477,UM_1
0.551,0.387,UM_1
0.637,0.344,UM_1
0.332,0.434,UM_1
0.655,0.321,UM_1
0.17,0.531,UM_1
0.604,0.381,UM_1
0.359,0.523,UM_1
0.723,0.31,UM_1
0.369,0.528,UM_1
0.577,0.4,UM_1
0.512,0.433,UM_1
0.16,0.554,UM_1
0.349,0.461,UM_1
0.293,0.546,UM_1
0.329,0.491,UM_2
0.364,0.54,UM_2
0.291,0.52,UM_2
0.252,0.574,UM_2
0.427,0.459,UM_2
0.369,0.498,UM_2
0.496,0.442,UM_2
0.455,0.522,UM_2
0.329,0.477,UM_2
0.308,0.647,UM_2
0.467,0.427,UM_2
0.299,0.482,UM_2
0.298,0.506,UM_2
0.47,0.432,UM_2
0.595,0.386,UM_2
0.29,0.496,UM_2
0.573,0.369,UM_2
0.263,0.554,UM_2
0.29,0.543,UM_2
0.385,0.444,UM_2
0.47,0.433,UM_2
0.506,0.479,UM_2
0.351,0.518,UM_2
0.561,0.413,UM_2
0.317,0.518,UM_2
0.61,0.423,UM_2
0.386,0.48,UM_2
0.634,0.387,UM_2
0.323,0.455,UM_2
0.366,0.479,UM_2
0.406,0.523,UM_2
0.291,0.566,USM
0.485,0.427,USM
0.64,0.38,USM
0.733,0.238,USM
0.437,0.451,USM
0.607,0.367,USM
0.51,0.397,USM
0.408,0.474,USM
0.596,0.393,USM
0.396,0.494,USM
0.477,0.463,USM
0.693,0.253,USM
0.509,0.44,USM
0.515,0.404,USM
0.698,0.244,USM
0.735,0.207,USM
0.679,0.261,USM
