shannon,fisher,site
0.379,0.58,3.0
0.436,0.572,3.0
0.351,0.636,3.0
0.464,0.562,3.0
0.427,0.574,3.0
0.35,0.646,3.0
0.538,0.47,3.0
0.438,0.54,3.0
0.437,0.549,3.0
0.438,0.576,3.0
0.458,0.554,3.0
0.435,0.571,3.0
0.388,0.617,3.0
0.42,0.561,3.0
0.351,0.586,3.0
0.434,0.568,3.0
0.364,0.589,3.0
0.466,0.555,3.0
0.446,0.567,3.0
0.387,0.556,3.0
0.29,0.559,3.0
0.39,0.578,3.0
0.371,0.631,3.0
0.513,0.469,3.0
0.411,0.575,3.0
0.381,0.56,3.0
0.405,0.574,3.0
0.388,0.606,3.0
0.325,0.652,3.0
0.305,0.667,3.0
0.386,0.547,3.0
0.428,0.586,3.0
0.348,0.6,3.0
0.373,0.613,3.0
0.422,0.566,3.0
0.42,0.547,3.0
0.399,0.568,3.0
0.403,0.611,3.0
0.311,0.648,3.0
0.46,0.542,3.0
0.399,0.552,3.0
0.378,0.613,3.0
0.421,0.613,3.0
0.365,0.574,3.0
0.324,0.652,3.0
0.39,0.591,3.0
0.352,0.57,3.0
0.269,0.695,3.0
0.401,0.565,3.0
0.355,0.549,3.0
0.371,0.635,3.0
0.451,0.505,3.0
0.348,0.624,3.0
0.499,0.495,3.0
0.418,0.534,3.0
0.444,0.589,3.0
0.375,0.598,3.0
0.375,0.596,3.0
0.42,0.564,3.0
0.402,0.603,3.0
0.275,0.634,3.0
0.429,0.559,3.0
0.362,0.639,3.0
0.377,0.593,3.0
0.494,0.517,3.0
0.406,0.553,3.0
0.345,0.652,3.0
0.43,0.528,3.0
0.474,0.555,3.0
0.378,0.571,3.0
0.383,0.586,3.0
0.459,0.499,3.0
0.408,0.534,3.0
0.502,0.491,3.0
0.369,0.622,3.0
0.27,0.661,3.0
0.364,0.62,3.0
0.416,0.604,3.0
0.349,0.626,3.0
0.481,0.491,3.0
0.315,0.655,3.0
0.387,0.624,3.0
0.271,0.664,3.0
0.29,0.683,4.0
0.299,0.647,4.0
0.342,0.592,4.0
0.305,0.661,4.0
0.406,0.578,4.0
0.324,0.657,4.0
0.259,0.643,4.0
0.293,0.65,4.0
0.312,0.667,4.0
0.462,0.516,4.0
0.358,0.596,4.0
0.326,0.621,4.0
0.334,0.667,4.0
0.286,0.689,4.0
0.302,0.649,4.0
0.399,0.588,4.0
0.28,0.572,4.0
0.383,0.642,4.0
0.325,0.57,4.0
0.254,0.698,4.0
0.293,0.689,4.0
0.326,0.666,4.0
0.262,0.703,4.0
0.347,0.591,4.0
0.446,0.581,4.0
0.343,0.598,4.0
0.387,0.618,4.0
0.291,0.667,4.0
0.886,0.072,4.0
0.392,0.561,4.0
0.26,0.679,4.0
0.307,0.634,4.0
0.384,0.574,4.0
0.287,0.694,4.0
0.255,0.675,4.0
0.321,0.632,4.0
0.305,0.626,4.0
0.249,0.637,4.0
0.473,0.535,4.0
0.423,0.6,4.0
0.295,0.662,4.0
0.247,0.654,4.0
0.465,0.566,4.0
0.238,0.642,4.0
0.345,0.602,4.0
0.412,0.58,4.0
0.292,0.693,4.0
0.381,0.61,4.0
0.37,0.573,5.0
0.438,0.572,5.0
0.329,0.637,5.0
0.354,0.589,5.0
0.355,0.644,5.0
0.38,0.604,5.0
0.356,0.636,5.0
0.424,0.588,5.0
0.308,0.668,5.0
0.322,0.645,5.0
0.41,0.584,5.0
0.368,0.625,5.0
0.369,0.618,5.0
0.332,0.69,5.0
0.439,0.607,5.0
0.377,0.59,5.0
0.347,0.623,5.0
0.333,0.683,5.0
0.42,0.593,5.0
0.332,0.677,5.0
0.446,0.55,5.0
0.384,0.566,5.0
0.253,0.7,5.0
0.344,0.651,5.0
0.381,0.613,5.0
0.424,0.597,5.0
0.344,0.629,5.0
0.399,0.558,5.0
0.441,0.565,5.0
0.485,0.548,5.0
0.391,0.603,5.0
0.449,0.546,5.0
0.371,0.663,5.0
0.404,0.607,5.0
0.37,0.603,5.0
0.393,0.588,5.0
0.428,0.6,5.0
0.472,0.513,5.0
0.396,0.58,5.0
0.397,0.607,5.0
0.36,0.585,5.0
0.466,0.534,5.0
0.428,0.538,5.0
0.426,0.543,5.0
0.557,0.423,5.0
0.468,0.555,5.0
0.465,0.533,5.0
0.356,0.655,5.0
0.379,0.624,5.0
0.319,0.648,5.0
0.405,0.592,5.0
0.315,0.628,5.0
0.416,0.593,5.0
0.338,0.609,5.0
0.48,0.529,5.0
0.387,0.619,5.0
0.392,0.57,5.0
0.425,0.61,5.0
0.456,0.566,5.0
0.417,0.594,5.0
0.398,0.569,5.0
0.458,0.535,5.0
0.426,0.591,5.0
0.366,0.644,5.0
0.391,0.64,5.0
0.315,0.688,5.0
0.31,0.653,5.0
0.402,0.586,5.0
0.404,0.597,5.0
0.396,0.607,5.0
0.315,0.652,5.0
0.385,0.632,5.0
0.453,0.561,5.0
0.436,0.589,5.0
0.428,0.56,5.0
0.23,0.695,5.0
0.309,0.651,5.0
0.377,0.61,5.0
0.276,0.645,5.0
0.41,0.622,5.0
0.297,0.639,5.0
0.365,0.64,5.0
0.424,0.555,5.0
0.394,0.603,5.0
0.354,0.652,5.0
0.31,0.666,5.0
0.408,0.607,5.0
0.567,0.386,5.0
0.503,0.504,5.0
0.315,0.672,5.0
0.354,0.658,5.0
0.355,0.643,5.0
0.35,0.632,5.0
0.401,0.61,5.0
0.429,0.568,5.0
0.341,0.587,5.0
0.507,0.48,5.0
0.46,0.534,5.0
0.448,0.521,5.0
0.404,0.556,5.0
0.425,0.582,5.0
0.418,0.572,5.0
0.305,0.64,5.0
0.359,0.608,5.0
0.387,0.579,5.0
0.421,0.575,5.0
0.596,0.426,5.0
0.482,0.51,5.0
0.343,0.662,5.0
0.516,0.505,5.0
0.362,0.642,5.0
0.448,0.571,5.0
0.493,0.53,5.0
0.475,0.529,5.0
0.327,0.664,5.0
0.461,0.502,5.0
0.352,0.592,5.0
0.329,0.692,5.0
0.408,0.569,5.0
0.374,0.625,5.0
0.386,0.616,5.0
0.421,0.596,5.0
0.464,0.528,5.0
0.323,0.649,5.0
0.43,0.592,5.0
0.398,0.578,5.0
0.319,0.628,5.0
0.462,0.546,5.0
0.489,0.524,5.0
0.377,0.621,5.0
0.33,0.654,5.0
0.413,0.579,5.0
0.392,0.609,5.0
0.481,0.525,5.0
0.534,0.453,5.0
0.373,0.607,5.0
0.416,0.576,5.0
0.465,0.528,5.0
0.441,0.494,5.0
0.444,0.546,5.0
0.45,0.526,5.0
0.511,0.528,5.0
0.345,0.645,5.0
0.331,0.701,5.0
0.402,0.6,5.0
0.476,0.485,5.0
0.332,0.646,5.0
0.478,0.547,5.0
0.354,0.636,5.0
0.429,0.567,5.0
0.496,0.474,5.0
0.377,0.606,5.0
0.442,0.565,5.0
0.54,0.438,5.0
0.361,0.627,5.0
0.397,0.605,5.0
0.396,0.565,5.0
0.39,0.538,5.0
0.415,0.579,5.0
0.44,0.56,5.0
0.379,0.625,5.0
0.44,0.522,5.0
0.388,0.596,5.0
0.432,0.596,5.0
0.392,0.616,5.0
0.471,0.496,5.0
0.381,0.617,5.0
0.451,0.507,5.0
0.371,0.613,5.0
0.38,0.627,5.0
0.376,0.555,5.0
0.425,0.558,5.0
0.364,0.62,5.0
0.62,0.419,5.0
0.357,0.645,5.0
0.383,0.605,5.0
0.398,0.585,5.0
0.302,0.621,5.0
0.457,0.563,5.0
0.431,0.566,5.0
0.449,0.52,5.0
0.372,0.635,5.0
0.403,0.602,5.0
0.381,0.576,5.0
0.456,0.563,5.0
0.379,0.622,5.0
0.428,0.55,5.0
0.49,0.52,5.0
0.338,0.625,5.0
0.422,0.595,5.0
0.453,0.533,5.0
0.371,0.623,5.0
0.371,0.632,5.0
0.487,0.534,5.0
0.352,0.579,5.0
0.466,0.527,5.0
0.422,0.574,5.0
0.388,0.57,5.0
0.363,0.636,5.0
0.283,0.654,5.0
0.406,0.591,5.0
0.429,0.581,5.0
0.421,0.59,5.0
0.462,0.485,5.0
0.366,0.594,5.0
0.388,0.586,5.0
0.345,0.64,5.0
0.345,0.603,5.0
0.327,0.631,5.0
0.43,0.591,5.0
0.493,0.517,5.0
0.468,0.517,5.0
0.482,0.52,5.0
0.39,0.558,5.0
0.421,0.566,5.0
0.394,0.635,5.0
0.417,0.542,6.0
0.387,0.556,6.0
0.368,0.542,6.0
0.443,0.511,6.0
0.432,0.484,6.0
0.368,0.53,6.0
0.349,0.538,6.0
0.407,0.556,6.0
0.371,0.52,6.0
0.362,0.588,6.0
0.462,0.526,6.0
0.382,0.552,6.0
0.404,0.583,6.0
0.401,0.567,6.0
0.365,0.585,6.0
0.382,0.547,6.0
0.336,0.62,6.0
0.394,0.542,6.0
0.413,0.503,6.0
0.404,0.569,6.0
0.523,0.472,6.0
0.39,0.495,6.0
0.48,0.499,6.0
0.457,0.467,6.0
0.346,0.567,6.0
0.442,0.544,6.0
0.407,0.516,6.0
0.437,0.523,6.0
0.482,0.45,6.0
0.389,0.566,6.0
0.425,0.54,6.0
0.44,0.519,6.0
0.495,0.466,6.0
0.404,0.579,6.0
0.453,0.497,6.0
0.5,0.495,6.0
0.342,0.58,6.0
0.373,0.555,6.0
0.46,0.524,6.0
0.523,0.455,6.0
0.436,0.518,6.0
0.374,0.565,6.0
0.431,0.522,6.0
0.285,0.595,6.0
0.425,0.553,6.0
0.432,0.554,6.0
0.439,0.481,6.0
0.346,0.623,6.0
0.326,0.53,6.0
0.452,0.46,6.0
0.406,0.525,6.0
0.487,0.468,6.0
0.418,0.505,6.0
0.454,0.517,6.0
0.358,0.573,6.0
0.462,0.505,6.0
0.359,0.5,6.0
0.303,0.613,6.0
0.352,0.585,6.0
0.451,0.549,6.0
0.402,0.554,6.0
0.463,0.512,6.0
0.376,0.568,6.0
0.368,0.64,6.0
0.381,0.567,6.0
0.459,0.516,6.0
0.371,0.554,6.0
0.396,0.533,6.0
0.378,0.586,6.0
