shannon,fisher,site
0.392,0.579,3.0
0.448,0.53,3.0
0.344,0.637,3.0
0.445,0.562,3.0
0.46,0.521,3.0
0.313,0.632,3.0
0.545,0.456,3.0
0.407,0.55,3.0
0.403,0.532,3.0
0.438,0.579,3.0
0.441,0.532,3.0
0.39,0.595,3.0
0.385,0.625,3.0
0.391,0.582,3.0
0.354,0.613,3.0
0.408,0.591,3.0
0.346,0.601,3.0
0.495,0.53,3.0
0.459,0.546,3.0
0.359,0.583,3.0
0.27,0.583,3.0
0.359,0.616,3.0
0.373,0.612,3.0
0.518,0.488,3.0
0.36,0.612,3.0
0.359,0.593,3.0
0.4,0.598,3.0
0.343,0.611,3.0
0.299,0.703,3.0
0.225,0.574,3.0
0.408,0.57,3.0
0.397,0.611,3.0
0.342,0.588,3.0
0.379,0.612,3.0
0.417,0.551,3.0
0.429,0.517,3.0
0.346,0.618,3.0
0.385,0.606,3.0
0.33,0.634,3.0
0.458,0.54,3.0
0.372,0.563,3.0
0.34,0.619,3.0
0.395,0.616,3.0
0.362,0.576,3.0
0.334,0.657,3.0
0.384,0.585,3.0
0.343,0.589,3.0
0.24,0.679,3.0
0.375,0.594,3.0
0.367,0.534,3.0
0.338,0.63,3.0
0.453,0.524,3.0
0.346,0.619,3.0
0.52,0.513,3.0
0.388,0.525,3.0
0.47,0.565,3.0
0.344,0.6,3.0
0.393,0.597,3.0
0.395,0.563,3.0
0.355,0.607,3.0
0.256,0.639,3.0
0.387,0.606,3.0
0.315,0.656,3.0
0.318,0.624,3.0
0.523,0.494,3.0
0.401,0.532,3.0
0.332,0.637,3.0
0.412,0.523,3.0
0.533,0.498,3.0
0.356,0.586,3.0
0.391,0.609,3.0
0.462,0.489,3.0
0.373,0.566,3.0
0.495,0.514,3.0
0.318,0.644,3.0
0.223,0.673,3.0
0.301,0.613,3.0
0.391,0.616,3.0
0.313,0.673,3.0
0.453,0.517,3.0
0.319,0.649,3.0
0.34,0.615,3.0
0.24,0.664,3.0
0.32,0.694,4.0
0.314,0.668,4.0
0.386,0.555,4.0
0.325,0.649,4.0
0.406,0.606,4.0
0.353,0.626,4.0
0.299,0.666,4.0
0.328,0.596,4.0
0.335,0.661,4.0
0.485,0.473,4.0
0.378,0.583,4.0
0.347,0.618,4.0
0.376,0.644,4.0
0.308,0.694,4.0
0.329,0.606,4.0
0.416,0.56,4.0
0.319,0.641,4.0
0.433,0.602,4.0
0.38,0.591,4.0
0.3,0.688,4.0
0.334,0.661,4.0
0.365,0.634,4.0
0.294,0.702,4.0
0.386,0.606,4.0
0.466,0.538,4.0
0.346,0.617,4.0
0.417,0.643,4.0
0.316,0.652,4.0
0.847,0.143,4.0
0.431,0.585,4.0
0.269,0.686,4.0
0.348,0.63,4.0
0.402,0.561,4.0
0.314,0.713,4.0
0.273,0.666,4.0
0.347,0.612,4.0
0.302,0.629,4.0
0.273,0.658,4.0
0.504,0.514,4.0
0.472,0.574,4.0
0.325,0.647,4.0
0.274,0.647,4.0
0.483,0.566,4.0
0.245,0.645,4.0
0.375,0.624,4.0
0.444,0.608,4.0
0.316,0.648,4.0
0.395,0.614,4.0
0.366,0.597,5.0
0.433,0.558,5.0
0.315,0.669,5.0
0.338,0.615,5.0
0.339,0.66,5.0
0.376,0.61,5.0
0.338,0.627,5.0
0.415,0.576,5.0
0.29,0.652,5.0
0.309,0.634,5.0
0.389,0.597,5.0
0.354,0.627,5.0
0.352,0.632,5.0
0.316,0.679,5.0
0.423,0.609,5.0
0.366,0.592,5.0
0.345,0.617,5.0
0.322,0.674,5.0
0.399,0.61,5.0
0.319,0.66,5.0
0.44,0.565,5.0
0.375,0.545,5.0
0.239,0.697,5.0
0.337,0.637,5.0
0.372,0.619,5.0
0.412,0.589,5.0
0.325,0.616,5.0
0.392,0.553,5.0
0.426,0.577,5.0
0.482,0.539,5.0
0.391,0.613,5.0
0.437,0.567,5.0
0.358,0.662,5.0
0.401,0.603,5.0
0.351,0.629,5.0
0.384,0.607,5.0
0.426,0.585,5.0
0.467,0.518,5.0
0.393,0.582,5.0
0.383,0.599,5.0
0.355,0.597,5.0
0.468,0.516,5.0
0.417,0.555,5.0
0.413,0.558,5.0
0.561,0.417,5.0
0.459,0.559,5.0
0.458,0.542,5.0
0.341,0.667,5.0
0.359,0.644,5.0
0.31,0.672,5.0
0.407,0.6,5.0
0.308,0.638,5.0
0.413,0.595,5.0
0.334,0.584,5.0
0.482,0.515,5.0
0.381,0.611,5.0
0.375,0.569,5.0
0.413,0.607,5.0
0.455,0.573,5.0
0.407,0.563,5.0
0.385,0.564,5.0
0.458,0.544,5.0
0.423,0.597,5.0
0.351,0.658,5.0
0.392,0.648,5.0
0.3,0.707,5.0
0.299,0.656,5.0
0.399,0.557,5.0
0.394,0.598,5.0
0.395,0.599,5.0
0.303,0.645,5.0
0.368,0.633,5.0
0.459,0.567,5.0
0.43,0.587,5.0
0.421,0.565,5.0
0.206,0.687,5.0
0.306,0.653,5.0
0.363,0.623,5.0
0.264,0.636,5.0
0.403,0.628,5.0
0.292,0.639,5.0
0.353,0.65,5.0
0.418,0.562,5.0
0.387,0.624,5.0
0.348,0.648,5.0
0.303,0.669,5.0
0.397,0.609,5.0
0.57,0.383,5.0
0.497,0.496,5.0
0.308,0.672,5.0
0.344,0.631,5.0
0.341,0.641,5.0
0.328,0.628,5.0
0.386,0.594,5.0
0.421,0.567,5.0
0.324,0.598,5.0
0.514,0.468,5.0
0.455,0.542,5.0
0.453,0.504,5.0
0.389,0.57,5.0
0.423,0.596,5.0
0.406,0.545,5.0
0.29,0.639,5.0
0.348,0.593,5.0
0.386,0.581,5.0
0.404,0.551,5.0
0.595,0.434,5.0
0.478,0.5,5.0
0.327,0.646,5.0
0.517,0.515,5.0
0.353,0.647,5.0
0.433,0.572,5.0
0.482,0.554,5.0
0.469,0.525,5.0
0.316,0.663,5.0
0.494,0.486,5.0
0.349,0.588,5.0
0.315,0.686,5.0
0.394,0.582,5.0
0.357,0.621,5.0
0.38,0.623,5.0
0.399,0.585,5.0
0.452,0.545,5.0
0.299,0.673,5.0
0.422,0.604,5.0
0.389,0.607,5.0
0.306,0.648,5.0
0.456,0.546,5.0
0.485,0.542,5.0
0.371,0.597,5.0
0.313,0.638,5.0
0.396,0.596,5.0
0.382,0.608,5.0
0.48,0.553,5.0
0.537,0.455,5.0
0.362,0.619,5.0
0.411,0.571,5.0
0.459,0.547,5.0
0.436,0.522,5.0
0.449,0.566,5.0
0.443,0.528,5.0
0.508,0.525,5.0
0.326,0.642,5.0
0.325,0.689,5.0
0.4,0.615,5.0
0.468,0.506,5.0
0.322,0.668,5.0
0.475,0.55,5.0
0.346,0.632,5.0
0.411,0.574,5.0
0.49,0.463,5.0
0.359,0.599,5.0
0.429,0.556,5.0
0.54,0.417,5.0
0.357,0.621,5.0
0.39,0.606,5.0
0.381,0.604,5.0
0.386,0.538,5.0
0.418,0.56,5.0
0.43,0.578,5.0
0.37,0.626,5.0
0.44,0.518,5.0
0.383,0.613,5.0
0.426,0.604,5.0
0.382,0.619,5.0
0.469,0.481,5.0
0.368,0.64,5.0
0.443,0.492,5.0
0.364,0.624,5.0
0.375,0.622,5.0
0.364,0.574,5.0
0.414,0.591,5.0
0.343,0.641,5.0
0.62,0.399,5.0
0.35,0.64,5.0
0.373,0.6,5.0
0.389,0.579,5.0
0.282,0.637,5.0
0.453,0.575,5.0
0.413,0.574,5.0
0.443,0.541,5.0
0.361,0.632,5.0
0.402,0.612,5.0
0.373,0.593,5.0
0.449,0.554,5.0
0.36,0.659,5.0
0.422,0.528,5.0
0.493,0.52,5.0
0.322,0.629,5.0
0.415,0.604,5.0
0.451,0.52,5.0
0.358,0.634,5.0
0.354,0.619,5.0
0.479,0.543,5.0
0.344,0.57,5.0
0.452,0.551,5.0
0.415,0.566,5.0
0.368,0.582,5.0
0.346,0.641,5.0
0.272,0.65,5.0
0.395,0.593,5.0
0.421,0.568,5.0
0.413,0.585,5.0
0.451,0.51,5.0
0.351,0.574,5.0
0.378,0.584,5.0
0.338,0.624,5.0
0.328,0.621,5.0
0.318,0.636,5.0
0.421,0.574,5.0
0.495,0.501,5.0
0.471,0.503,5.0
0.474,0.538,5.0
0.384,0.57,5.0
0.412,0.575,5.0
0.384,0.644,5.0
0.423,0.525,6.0
0.406,0.559,6.0
0.383,0.553,6.0
0.447,0.53,6.0
0.432,0.484,6.0
0.355,0.536,6.0
0.355,0.543,6.0
0.422,0.581,6.0
0.379,0.563,6.0
0.411,0.546,6.0
0.46,0.535,6.0
0.396,0.548,6.0
0.452,0.549,6.0
0.431,0.552,6.0
0.378,0.596,6.0
0.378,0.562,6.0
0.397,0.569,6.0
0.391,0.544,6.0
0.399,0.522,6.0
0.415,0.565,6.0
0.525,0.485,6.0
0.375,0.526,6.0
0.504,0.468,6.0
0.464,0.451,6.0
0.363,0.598,6.0
0.443,0.548,6.0
0.398,0.527,6.0
0.448,0.521,6.0
0.465,0.472,6.0
0.414,0.591,6.0
0.433,0.533,6.0
0.449,0.524,6.0
0.496,0.457,6.0
0.41,0.581,6.0
0.443,0.503,6.0
0.481,0.531,6.0
0.348,0.588,6.0
0.38,0.555,6.0
0.452,0.538,6.0
0.514,0.472,6.0
0.435,0.508,6.0
0.376,0.569,6.0
0.463,0.492,6.0
0.303,0.605,6.0
0.433,0.536,6.0
0.479,0.546,6.0
0.437,0.492,6.0
0.373,0.637,6.0
0.335,0.574,6.0
0.427,0.486,6.0
0.427,0.513,6.0
0.482,0.475,6.0
0.412,0.518,6.0
0.45,0.527,6.0
0.387,0.579,6.0
0.458,0.497,6.0
0.355,0.495,6.0
0.319,0.632,6.0
