shannon,fisher,site
0.434,0.579,3.0
0.477,0.519,3.0
0.41,0.595,3.0
0.514,0.52,3.0
0.466,0.536,3.0
0.422,0.607,3.0
0.58,0.412,3.0
0.489,0.511,3.0
0.485,0.504,3.0
0.487,0.547,3.0
0.52,0.498,3.0
0.491,0.55,3.0
0.447,0.575,3.0
0.472,0.538,3.0
0.384,0.605,3.0
0.49,0.533,3.0
0.414,0.577,3.0
0.503,0.524,3.0
0.502,0.544,3.0
0.452,0.535,3.0
0.362,0.563,3.0
0.444,0.563,3.0
0.44,0.59,3.0
0.557,0.437,3.0
0.488,0.533,3.0
0.436,0.511,3.0
0.468,0.529,3.0
0.461,0.553,3.0
0.371,0.658,3.0
0.378,0.636,3.0
0.422,0.532,3.0
0.484,0.545,3.0
0.409,0.584,3.0
0.417,0.621,3.0
0.479,0.5,3.0
0.487,0.523,3.0
0.461,0.561,3.0
0.434,0.601,3.0
0.35,0.636,3.0
0.515,0.522,3.0
0.458,0.559,3.0
0.453,0.579,3.0
0.493,0.576,3.0
0.412,0.534,3.0
0.367,0.623,3.0
0.438,0.564,3.0
0.402,0.584,3.0
0.342,0.666,3.0
0.447,0.537,3.0
0.413,0.565,3.0
0.436,0.572,3.0
0.513,0.503,3.0
0.388,0.61,3.0
0.544,0.458,3.0
0.466,0.503,3.0
0.478,0.552,3.0
0.449,0.555,3.0
0.435,0.57,3.0
0.48,0.549,3.0
0.46,0.566,3.0
0.328,0.664,3.0
0.492,0.541,3.0
0.422,0.591,3.0
0.448,0.558,3.0
0.547,0.475,3.0
0.462,0.545,3.0
0.398,0.651,3.0
0.48,0.523,3.0
0.526,0.51,3.0
0.442,0.569,3.0
0.439,0.595,3.0
0.507,0.473,3.0
0.448,0.522,3.0
0.548,0.458,3.0
0.449,0.6,3.0
0.329,0.658,3.0
0.442,0.578,3.0
0.484,0.57,3.0
0.413,0.591,3.0
0.525,0.448,3.0
0.374,0.626,3.0
0.438,0.621,3.0
0.327,0.64,3.0
0.143,0.589,4.0
0.176,0.607,4.0
0.212,0.598,4.0
0.182,0.55,4.0
0.295,0.51,4.0
0.174,0.599,4.0
0.139,0.56,4.0
0.159,0.578,4.0
0.168,0.544,4.0
0.332,0.523,4.0
0.223,0.605,4.0
0.183,0.537,4.0
0.194,0.639,4.0
0.141,0.668,4.0
0.184,0.569,4.0
0.26,0.563,4.0
0.188,0.564,4.0
0.231,0.686,4.0
0.183,0.615,4.0
0.112,0.612,4.0
0.177,0.641,4.0
0.174,0.674,4.0
0.123,0.636,4.0
0.214,0.574,4.0
0.317,0.598,4.0
0.197,0.61,4.0
0.26,0.57,4.0
0.176,0.663,4.0
0.858,0.068,4.0
0.249,0.659,4.0
0.148,0.562,4.0
0.182,0.573,4.0
0.276,0.578,4.0
0.158,0.597,4.0
0.134,0.599,4.0
0.184,0.565,4.0
0.172,0.608,4.0
0.121,0.521,4.0
0.34,0.535,4.0
0.297,0.576,4.0
0.162,0.523,4.0
0.127,0.519,4.0
0.358,0.563,4.0
0.129,0.48,4.0
0.197,0.565,4.0
0.276,0.554,4.0
0.149,0.639,4.0
0.242,0.572,4.0
0.319,0.569,5.0
0.391,0.578,5.0
0.291,0.662,5.0
0.293,0.623,5.0
0.322,0.673,5.0
0.332,0.581,5.0
0.305,0.638,5.0
0.379,0.599,5.0
0.253,0.618,5.0
0.272,0.627,5.0
0.372,0.582,5.0
0.333,0.594,5.0
0.321,0.61,5.0
0.279,0.697,5.0
0.383,0.582,5.0
0.333,0.593,5.0
0.314,0.581,5.0
0.276,0.673,5.0
0.363,0.623,5.0
0.292,0.615,5.0
0.396,0.555,5.0
0.335,0.566,5.0
0.213,0.628,5.0
0.271,0.68,5.0
0.332,0.598,5.0
0.391,0.592,5.0
0.312,0.597,5.0
0.353,0.521,5.0
0.406,0.574,5.0
0.44,0.533,5.0
0.361,0.606,5.0
0.409,0.564,5.0
0.329,0.641,5.0
0.355,0.613,5.0
0.327,0.624,5.0
0.342,0.621,5.0
0.387,0.58,5.0
0.431,0.502,5.0
0.352,0.597,5.0
0.342,0.597,5.0
0.319,0.593,5.0
0.428,0.536,5.0
0.383,0.552,5.0
0.406,0.535,5.0
0.512,0.449,5.0
0.43,0.567,5.0
0.422,0.536,5.0
0.294,0.646,5.0
0.327,0.649,5.0
0.277,0.646,5.0
0.369,0.604,5.0
0.271,0.66,5.0
0.377,0.613,5.0
0.298,0.583,5.0
0.437,0.53,5.0
0.347,0.613,5.0
0.336,0.558,5.0
0.38,0.608,5.0
0.415,0.575,5.0
0.373,0.558,5.0
0.355,0.539,5.0
0.417,0.531,5.0
0.384,0.57,5.0
0.318,0.654,5.0
0.348,0.592,5.0
0.245,0.692,5.0
0.267,0.643,5.0
0.355,0.596,5.0
0.347,0.592,5.0
0.345,0.63,5.0
0.279,0.624,5.0
0.324,0.644,5.0
0.407,0.574,5.0
0.397,0.597,5.0
0.396,0.572,5.0
0.186,0.669,5.0
0.271,0.679,5.0
0.331,0.574,5.0
0.231,0.647,5.0
0.362,0.621,5.0
0.247,0.635,5.0
0.316,0.601,5.0
0.393,0.548,5.0
0.355,0.616,5.0
0.315,0.624,5.0
0.273,0.596,5.0
0.368,0.586,5.0
0.534,0.419,5.0
0.468,0.511,5.0
0.282,0.655,5.0
0.294,0.659,5.0
0.319,0.622,5.0
0.303,0.629,5.0
0.344,0.578,5.0
0.379,0.537,5.0
0.284,0.641,5.0
0.47,0.512,5.0
0.42,0.508,5.0
0.417,0.53,5.0
0.369,0.546,5.0
0.38,0.582,5.0
0.385,0.542,5.0
0.264,0.629,5.0
0.325,0.597,5.0
0.324,0.623,5.0
0.379,0.552,5.0
0.558,0.442,5.0
0.451,0.485,5.0
0.296,0.655,5.0
0.466,0.533,5.0
0.331,0.641,5.0
0.409,0.554,5.0
0.455,0.546,5.0
0.433,0.51,5.0
0.282,0.644,5.0
0.451,0.509,5.0
0.302,0.593,5.0
0.277,0.678,5.0
0.382,0.51,5.0
0.324,0.608,5.0
0.347,0.625,5.0
0.375,0.615,5.0
0.419,0.554,5.0
0.273,0.647,5.0
0.367,0.592,5.0
0.364,0.569,5.0
0.273,0.633,5.0
0.416,0.564,5.0
0.442,0.548,5.0
0.33,0.615,5.0
0.279,0.617,5.0
0.366,0.59,5.0
0.356,0.608,5.0
0.433,0.57,5.0
0.489,0.472,5.0
0.342,0.604,5.0
0.364,0.577,5.0
0.427,0.541,5.0
0.41,0.509,5.0
0.402,0.528,5.0
0.404,0.533,5.0
0.459,0.529,5.0
0.316,0.631,5.0
0.268,0.679,5.0
0.359,0.617,5.0
0.433,0.523,5.0
0.276,0.671,5.0
0.428,0.57,5.0
0.319,0.647,5.0
0.385,0.54,5.0
0.458,0.476,5.0
0.344,0.615,5.0
0.405,0.549,5.0
0.489,0.401,5.0
0.313,0.646,5.0
0.346,0.591,5.0
0.357,0.565,5.0
0.345,0.53,5.0
