shannon,fisher,site
0.442,0.544,3.0
0.44,0.594,3.0
0.348,0.64,3.0
0.49,0.547,3.0
0.487,0.547,3.0
0.346,0.655,3.0
0.562,0.48,3.0
0.439,0.592,3.0
0.463,0.554,3.0
0.444,0.605,3.0
0.455,0.549,3.0
0.393,0.606,3.0
0.415,0.609,3.0
0.442,0.581,3.0
0.392,0.612,3.0
0.449,0.58,3.0
0.359,0.64,3.0
0.51,0.515,3.0
0.487,0.578,3.0
0.361,0.621,3.0
0.324,0.691,3.0
0.416,0.579,3.0
0.425,0.581,3.0
0.515,0.537,3.0
0.449,0.593,3.0
0.404,0.6,3.0
0.427,0.625,3.0
0.432,0.587,3.0
0.336,0.667,3.0
0.332,0.678,3.0
0.412,0.59,3.0
0.452,0.608,3.0
0.375,0.64,3.0
0.371,0.649,3.0
0.442,0.551,3.0
0.425,0.616,3.0
0.363,0.649,3.0
0.415,0.634,3.0
0.368,0.64,3.0
0.443,0.59,3.0
0.381,0.635,3.0
0.385,0.627,3.0
0.415,0.609,3.0
0.406,0.595,3.0
0.355,0.65,3.0
0.367,0.615,3.0
0.346,0.643,3.0
0.329,0.685,3.0
0.452,0.581,3.0
0.37,0.64,3.0
0.357,0.693,3.0
0.455,0.573,3.0
0.386,0.608,3.0
0.5,0.549,3.0
0.399,0.597,3.0
0.504,0.54,3.0
0.399,0.632,3.0
0.409,0.612,3.0
0.441,0.595,3.0
0.43,0.611,3.0
0.321,0.663,3.0
0.424,0.591,3.0
0.348,0.636,3.0
0.394,0.614,3.0
0.568,0.465,3.0
0.406,0.619,3.0
0.369,0.635,3.0
0.463,0.567,3.0
0.462,0.601,3.0
0.399,0.626,3.0
0.426,0.606,3.0
0.508,0.51,3.0
0.428,0.602,3.0
0.434,0.584,3.0
0.36,0.631,3.0
0.291,0.685,3.0
0.357,0.661,3.0
0.421,0.594,3.0
0.336,0.67,3.0
0.473,0.54,3.0
0.337,0.647,3.0
0.375,0.643,3.0
0.257,0.679,3.0
0.375,0.715,4.0
0.382,0.698,4.0
0.389,0.653,4.0
0.406,0.666,4.0
0.421,0.633,4.0
0.391,0.617,4.0
0.337,0.709,4.0
0.333,0.709,4.0
0.384,0.678,4.0
0.496,0.601,4.0
0.405,0.638,4.0
0.402,0.646,4.0
0.356,0.701,4.0
0.393,0.673,4.0
0.37,0.672,4.0
0.46,0.609,4.0
0.341,0.666,4.0
0.425,0.651,4.0
0.335,0.657,4.0
0.281,0.727,4.0
0.368,0.673,4.0
0.402,0.65,4.0
0.316,0.715,4.0
0.424,0.631,4.0
0.45,0.623,4.0
0.418,0.65,4.0
0.461,0.609,4.0
0.359,0.649,4.0
0.777,0.279,4.0
0.407,0.631,4.0
0.322,0.681,4.0
0.399,0.662,4.0
0.43,0.605,4.0
0.347,0.677,4.0
0.307,0.676,4.0
0.409,0.655,4.0
0.348,0.688,4.0
0.299,0.719,4.0
0.585,0.493,4.0
0.595,0.534,4.0
0.428,0.652,4.0
0.308,0.692,4.0
0.512,0.566,4.0
0.324,0.706,4.0
0.423,0.632,4.0
0.479,0.587,4.0
0.346,0.707,4.0
0.416,0.657,4.0
0.382,0.613,5.0
0.46,0.566,5.0
0.369,0.641,5.0
0.383,0.641,5.0
0.373,0.674,5.0
0.392,0.637,5.0
0.387,0.612,5.0
0.449,0.603,5.0
0.313,0.671,5.0
0.354,0.684,5.0
0.396,0.615,5.0
0.407,0.619,5.0
0.413,0.64,5.0
0.357,0.677,5.0
0.4,0.652,5.0
0.364,0.633,5.0
0.417,0.651,5.0
0.366,0.66,5.0
0.411,0.611,5.0
0.347,0.672,5.0
0.463,0.612,5.0
0.409,0.617,5.0
0.331,0.668,5.0
0.359,0.664,5.0
0.412,0.624,5.0
0.419,0.633,5.0
0.41,0.623,5.0
0.427,0.609,5.0
0.457,0.571,5.0
0.512,0.538,5.0
0.444,0.614,5.0
0.467,0.548,5.0
0.409,0.658,5.0
0.42,0.633,5.0
0.396,0.633,5.0
0.419,0.641,5.0
0.418,0.638,5.0
0.547,0.536,5.0
0.431,0.606,5.0
0.401,0.628,5.0
0.388,0.647,5.0
0.482,0.568,5.0
0.457,0.607,5.0
0.414,0.619,5.0
0.565,0.461,5.0
0.456,0.584,5.0
0.521,0.541,5.0
0.363,0.691,5.0
0.392,0.639,5.0
0.373,0.683,5.0
0.417,0.624,5.0
0.354,0.669,5.0
0.458,0.588,5.0
0.35,0.664,5.0
0.467,0.57,5.0
0.361,0.66,5.0
0.432,0.634,5.0
0.447,0.589,5.0
0.441,0.588,5.0
0.455,0.553,5.0
0.394,0.642,5.0
0.457,0.571,5.0
0.436,0.616,5.0
0.377,0.67,5.0
0.409,0.638,5.0
0.338,0.707,5.0
0.333,0.651,5.0
0.413,0.623,5.0
0.408,0.613,5.0
0.447,0.61,5.0
0.377,0.649,5.0
0.392,0.652,5.0
0.459,0.614,5.0
0.426,0.643,5.0
0.437,0.602,5.0
0.319,0.718,5.0
0.364,0.677,5.0
0.406,0.643,5.0
0.301,0.708,5.0
0.404,0.634,5.0
0.356,0.676,5.0
0.376,0.648,5.0
0.41,0.629,5.0
0.356,0.676,5.0
0.406,0.634,5.0
0.385,0.642,5.0
0.449,0.599,5.0
0.527,0.519,5.0
0.475,0.579,5.0
0.363,0.683,5.0
0.362,0.697,5.0
0.398,0.656,5.0
0.386,0.659,5.0
0.421,0.602,5.0
0.47,0.574,5.0
0.38,0.633,5.0
0.529,0.499,5.0
0.477,0.546,5.0
0.477,0.565,5.0
0.427,0.622,5.0
0.4,0.631,5.0
0.429,0.559,5.0
0.375,0.653,5.0
0.38,0.651,5.0
0.401,0.643,5.0
0.397,0.622,5.0
0.533,0.509,5.0
0.493,0.53,5.0
0.388,0.648,5.0
0.499,0.578,5.0
0.388,0.652,5.0
0.474,0.581,5.0
0.544,0.513,5.0
0.474,0.568,5.0
0.36,0.659,5.0
0.445,0.581,5.0
0.403,0.663,5.0
0.343,0.673,5.0
0.46,0.569,5.0
0.362,0.694,5.0
0.424,0.595,5.0
0.403,0.646,5.0
0.492,0.565,5.0
0.36,0.64,5.0
0.412,0.635,5.0
0.435,0.587,5.0
0.341,0.67,5.0
0.494,0.546,5.0
0.497,0.55,5.0
0.398,0.602,5.0
0.342,0.666,5.0
0.427,0.614,5.0
0.397,0.625,5.0
0.509,0.548,5.0
0.54,0.505,5.0
0.361,0.677,5.0
0.433,0.599,5.0
0.471,0.566,5.0
0.47,0.561,5.0
0.484,0.531,5.0
0.465,0.593,5.0
0.507,0.546,5.0
0.38,0.667,5.0
0.334,0.686,5.0
0.426,0.627,5.0
0.466,0.564,5.0
0.367,0.67,5.0
0.441,0.605,5.0
0.401,0.668,5.0
0.398,0.627,5.0
0.509,0.547,5.0
0.397,0.633,5.0
0.454,0.603,5.0
0.585,0.463,5.0
0.416,0.644,5.0
0.435,0.584,5.0
0.453,0.568,5.0
0.405,0.608,5.0
0.437,0.604,5.0
0.438,0.582,5.0
0.426,0.626,5.0
0.462,0.596,5.0
0.4,0.64,5.0
0.407,0.643,5.0
0.395,0.669,5.0
0.473,0.523,5.0
0.34,0.666,5.0
0.408,0.62,5.0
0.366,0.674,5.0
0.406,0.657,5.0
0.393,0.621,5.0
0.433,0.635,5.0
0.386,0.662,5.0
0.581,0.468,5.0
0.34,0.675,5.0
0.428,0.631,5.0
0.402,0.62,5.0
0.352,0.659,5.0
0.438,0.61,5.0
0.418,0.61,5.0
0.453,0.584,5.0
0.427,0.646,5.0
0.442,0.6,5.0
0.358,0.654,5.0
0.494,0.533,5.0
0.424,0.632,5.0
0.442,0.618,5.0
0.477,0.567,5.0
0.4,0.644,5.0
0.454,0.598,5.0
0.421,0.606,5.0
0.394,0.637,5.0
0.364,0.662,5.0
0.479,0.571,5.0
0.377,0.651,5.0
0.469,0.559,5.0
0.461,0.55,5.0
0.404,0.592,5.0
0.368,0.666,5.0
0.334,0.698,5.0
0.448,0.593,5.0
0.472,0.571,5.0
0.408,0.59,5.0
0.463,0.548,5.0
0.395,0.643,5.0
0.422,0.586,5.0
0.369,0.639,5.0
0.332,0.675,5.0
0.363,0.667,5.0
0.43,0.579,5.0
0.534,0.507,5.0
0.493,0.553,5.0
0.521,0.524,5.0
0.416,0.613,5.0
0.407,0.637,5.0
0.4,0.637,5.0
0.449,0.508,6.0
0.455,0.517,6.0
0.42,0.563,6.0
0.459,0.549,6.0
0.456,0.532,6.0
0.373,0.564,6.0
0.412,0.544,6.0
0.429,0.594,6.0
0.36,0.613,6.0
0.488,0.559,6.0
0.476,0.534,6.0
0.405,0.564,6.0
0.47,0.585,6.0
0.432,0.594,6.0
0.4,0.605,6.0
0.411,0.526,6.0
0.465,0.609,6.0
0.4,0.572,6.0
0.41,0.579,6.0
0.435,0.57,6.0
0.512,0.529,6.0
0.411,0.545,6.0
0.505,0.516,6.0
0.492,0.486,6.0
0.48,0.555,6.0
0.463,0.548,6.0
0.443,0.567,6.0
0.457,0.504,6.0
0.499,0.493,6.0
0.429,0.589,6.0
0.453,0.567,6.0
0.464,0.569,6.0
0.453,0.519,6.0
0.433,0.566,6.0
0.488,0.532,6.0
0.518,0.509,6.0
0.4,0.595,6.0
0.384,0.563,6.0
0.457,0.528,6.0
0.563,0.447,6.0
0.444,0.544,6.0
0.386,0.565,6.0
0.464,0.518,6.0
0.359,0.617,6.0
0.444,0.565,6.0
0.495,0.531,6.0
0.439,0.533,6.0
0.412,0.595,6.0
0.397,0.577,6.0
0.466,0.512,6.0
0.458,0.525,6.0
0.497,0.508,6.0
0.415,0.634,6.0
0.433,0.568,6.0
0.387,0.586,6.0
0.465,0.535,6.0
0.401,0.544,6.0
0.383,0.627,6.0
0.421,0.593,6.0
0.455,0.572,6.0
0.45,0.548,6.0
0.497,0.529,6.0
0.44,0.582,6.0
0.404,0.599,6.0
0.434,0.533,6.0
0.477,0.542,6.0
0.416,0.584,6.0
0.389,0.608,6.0
0.428,0.606,6.0
0.414,0.564,6.0
0.364,0.614,6.0
0.432,0.595,6.0
0.418,0.599,6.0
0.508,0.544,6.0
0.506,0.492,6.0
0.485,0.503,6.0
0.467,0.548,6.0
0.426,0.592,6.0
0.421,0.603,6.0
0.397,0.646,1.0
0.462,0.615,1.0
0.347,0.707,1.0
0.395,0.632,1.0
0.388,0.668,1.0
0.445,0.613,1.0
0.422,0.601,1.0
0.344,0.673,1.0
0.364,0.643,1.0
0.452,0.626,1.0
0.437,0.633,1.0
0.408,0.603,1.0
0.442,0.604,1.0
0.392,0.652,1.0
0.38,0.639,1.0
0.48,0.59,1.0
0.494,0.549,1.0
0.371,0.653,1.0
0.432,0.638,1.0
0.439,0.607,1.0
0.481,0.594,1.0
0.438,0.61,1.0
0.435,0.631,1.0
0.417,0.596,1.0
0.406,0.648,1.0
0.39,0.669,1.0
0.348,0.703,1.0
0.428,0.621,1.0
0.364,0.67,1.0
0.49,0.552,1.0
0.467,0.576,1.0
0.434,0.611,1.0
0.501,0.576,1.0
0.431,0.627,1.0
0.45,0.623,1.0
0.47,0.577,1.0
0.546,0.516,1.0
0.436,0.592,1.0
0.382,0.644,1.0
0.359,0.708,1.0
0.498,0.524,1.0
0.444,0.601,1.0
0.431,0.627,1.0
0.403,0.644,1.0
0.375,0.65,1.0
0.41,0.648,1.0
0.451,0.592,1.0
0.379,0.645,1.0
0.433,0.639,1.0
0.373,0.646,1.0
0.402,0.654,1.0
0.441,0.623,1.0
0.35,0.657,1.0
0.445,0.634,1.0
0.494,0.588,1.0
0.428,0.575,1.0
0.424,0.619,1.0
0.409,0.634,1.0
0.402,0.625,1.0
0.4,0.662,1.0
0.383,0.653,1.0
0.387,0.665,1.0
0.448,0.572,1.0
0.374,0.675,1.0
0.346,0.686,1.0
0.477,0.591,1.0
0.479,0.599,1.0
0.434,0.661,1.0
0.413,0.629,1.0
0.402,0.642,1.0
0.515,0.532,1.0
0.392,0.655,1.0
0.421,0.663,1.0
0.413,0.634,1.0
0.435,0.601,1.0
0.419,0.634,1.0
0.429,0.62,1.0
0.354,0.697,1.0
0.468,0.568,1.0
0.46,0.631,1.0
0.37,0.685,1.0
0.371,0.664,1.0
0.351,0.68,1.0
0.422,0.642,1.0
0.433,0.63,1.0
0.396,0.657,1.0
0.439,0.605,1.0
0.472,0.573,1.0
0.425,0.584,1.0
0.48,0.554,1.0
0.424,0.642,1.0
0.378,0.642,1.0
0.581,0.473,1.0
0.482,0.541,1.0
0.425,0.664,1.0
0.431,0.588,1.0
0.458,0.608,1.0
0.374,0.667,1.0
0.436,0.595,1.0
0.434,0.618,1.0
0.36,0.701,1.0
0.396,0.633,1.0
0.388,0.663,1.0
0.421,0.638,1.0
0.384,0.637,1.0
0.414,0.661,1.0
0.358,0.662,1.0
0.37,0.655,1.0
0.473,0.594,1.0
0.399,0.66,1.0
0.394,0.649,1.0
0.364,0.708,1.0
0.514,0.544,1.0
0.444,0.591,1.0
0.309,0.716,1.0
0.459,0.583,1.0
0.489,0.551,1.0
0.423,0.609,1.0
0.503,0.539,1.0
0.39,0.63,1.0
0.426,0.613,1.0
0.443,0.608,1.0
0.464,0.611,1.0
0.469,0.585,1.0
0.504,0.534,1.0
0.454,0.599,1.0
0.412,0.673,1.0
0.484,0.575,1.0
0.534,0.493,1.0
0.393,0.675,1.0
0.372,0.677,1.0
0.388,0.677,1.0
0.414,0.646,1.0
0.38,0.638,1.0
0.412,0.686,1.0
0.406,0.647,1.0
0.391,0.663,1.0
0.387,0.675,1.0
0.409,0.638,1.0
0.463,0.591,1.0
