shannon,fisher,site
0.463,0.568,3.0
0.462,0.585,3.0
0.402,0.636,3.0
0.512,0.559,3.0
0.456,0.582,3.0
0.448,0.611,3.0
0.565,0.5,3.0
0.493,0.565,3.0
0.524,0.521,3.0
0.501,0.557,3.0
0.494,0.571,3.0
0.488,0.572,3.0
0.474,0.589,3.0
0.492,0.567,3.0
0.429,0.608,3.0
0.506,0.558,3.0
0.414,0.626,3.0
0.515,0.55,3.0
0.523,0.555,3.0
0.468,0.59,3.0
0.395,0.664,3.0
0.481,0.588,3.0
0.437,0.614,3.0
0.538,0.527,3.0
0.528,0.525,3.0
0.447,0.63,3.0
0.476,0.602,3.0
0.491,0.565,3.0
0.402,0.656,3.0
0.424,0.648,3.0
0.436,0.58,3.0
0.515,0.554,3.0
0.421,0.622,3.0
0.41,0.644,3.0
0.487,0.549,3.0
0.492,0.575,3.0
0.472,0.602,3.0
0.476,0.607,3.0
0.4,0.65,3.0
0.488,0.599,3.0
0.471,0.579,3.0
0.457,0.599,3.0
0.493,0.579,3.0
0.424,0.627,3.0
0.394,0.647,3.0
0.448,0.611,3.0
0.409,0.631,3.0
0.359,0.683,3.0
0.489,0.573,3.0
0.408,0.637,3.0
0.44,0.657,3.0
0.495,0.559,3.0
0.408,0.652,3.0
0.509,0.556,3.0
0.466,0.603,3.0
0.518,0.532,3.0
0.466,0.593,3.0
0.458,0.593,3.0
0.487,0.581,3.0
0.489,0.583,3.0
0.37,0.689,3.0
0.5,0.551,3.0
0.451,0.621,3.0
0.47,0.599,3.0
0.566,0.5,3.0
0.426,0.619,3.0
0.425,0.621,3.0
0.52,0.541,3.0
0.502,0.575,3.0
0.489,0.582,3.0
0.467,0.604,3.0
0.514,0.534,3.0
0.498,0.571,3.0
0.523,0.547,3.0
0.466,0.611,3.0
0.36,0.695,3.0
0.465,0.613,3.0
0.489,0.575,3.0
0.399,0.643,3.0
0.539,0.51,3.0
0.389,0.659,3.0
0.471,0.603,3.0
0.339,0.714,3.0
0.346,0.741,4.0
0.381,0.679,4.0
0.4,0.677,4.0
0.397,0.676,4.0
0.417,0.673,4.0
0.41,0.683,4.0
0.351,0.731,4.0
0.364,0.712,4.0
0.386,0.695,4.0
0.477,0.598,4.0
0.42,0.65,4.0
0.389,0.668,4.0
0.368,0.73,4.0
0.394,0.697,4.0
0.364,0.71,4.0
0.439,0.648,4.0
0.343,0.711,4.0
0.409,0.672,4.0
0.353,0.695,4.0
0.329,0.749,4.0
0.389,0.692,4.0
0.415,0.7,4.0
0.322,0.719,4.0
0.403,0.653,4.0
0.448,0.641,4.0
0.412,0.681,4.0
0.452,0.64,4.0
0.361,0.713,4.0
0.907,0.065,4.0
0.42,0.646,4.0
0.323,0.714,4.0
0.371,0.699,4.0
0.438,0.641,4.0
0.356,0.71,4.0
0.307,0.725,4.0
0.383,0.706,4.0
0.345,0.726,4.0
0.326,0.757,4.0
0.566,0.498,4.0
0.531,0.58,4.0
0.41,0.684,4.0
0.323,0.712,4.0
0.511,0.585,4.0
0.34,0.704,4.0
0.434,0.643,4.0
0.464,0.631,4.0
0.357,0.732,4.0
0.41,0.672,4.0
0.452,0.644,5.0
0.492,0.615,5.0
0.43,0.646,5.0
0.446,0.636,5.0
0.438,0.646,5.0
0.443,0.633,5.0
0.444,0.64,5.0
0.486,0.596,5.0
