shannon,fisher,site
0.519,0.531,3.0
0.522,0.557,3.0
0.487,0.575,3.0
0.569,0.499,3.0
0.526,0.537,3.0
0.525,0.55,3.0
0.624,0.436,3.0
0.562,0.506,3.0
0.595,0.46,3.0
0.563,0.501,3.0
0.562,0.51,3.0
0.556,0.501,3.0
0.545,0.522,3.0
0.56,0.506,3.0
0.489,0.572,3.0
0.567,0.511,3.0
0.487,0.571,3.0
0.567,0.509,3.0
0.594,0.49,3.0
0.556,0.514,3.0
0.482,0.598,3.0
0.546,0.535,3.0
0.516,0.559,3.0
0.603,0.459,3.0
0.599,0.464,3.0
0.518,0.565,3.0
0.545,0.544,3.0
0.557,0.512,3.0
0.465,0.628,3.0
0.502,0.584,3.0
0.495,0.556,3.0
0.575,0.484,3.0
0.492,0.572,3.0
0.474,0.608,3.0
0.55,0.501,3.0
0.563,0.518,3.0
0.538,0.542,3.0
0.539,0.555,3.0
0.458,0.605,3.0
0.549,0.537,3.0
0.549,0.52,3.0
0.539,0.536,3.0
0.568,0.518,3.0
0.497,0.583,3.0
0.462,0.618,3.0
0.524,0.558,3.0
0.476,0.581,3.0
0.436,0.635,3.0
0.55,0.521,3.0
0.48,0.596,3.0
0.515,0.584,3.0
0.559,0.503,3.0
0.473,0.624,3.0
0.569,0.508,3.0
0.534,0.557,3.0
0.572,0.483,3.0
0.547,0.516,3.0
0.526,0.542,3.0
0.544,0.529,3.0
0.55,0.53,3.0
0.444,0.641,3.0
0.571,0.487,3.0
0.52,0.578,3.0
0.542,0.534,3.0
0.62,0.448,3.0
0.5,0.586,3.0
0.5,0.576,3.0
0.572,0.492,3.0
0.562,0.527,3.0
0.548,0.534,3.0
0.528,0.557,3.0
0.569,0.488,3.0
0.556,0.515,3.0
0.594,0.492,3.0
0.532,0.557,3.0
0.433,0.669,3.0
0.542,0.551,3.0
0.555,0.516,3.0
0.476,0.597,3.0
0.599,0.453,3.0
0.465,0.614,3.0
0.535,0.552,3.0
0.423,0.677,3.0
0.177,0.664,4.0
0.232,0.669,4.0
0.258,0.666,4.0
0.261,0.629,4.0
0.268,0.629,4.0
0.269,0.657,4.0
0.197,0.654,4.0
0.196,0.683,4.0
0.224,0.672,4.0
0.332,0.628,4.0
0.266,0.622,4.0
0.244,0.631,4.0
0.222,0.696,4.0
0.233,0.666,4.0
0.222,0.638,4.0
0.31,0.642,4.0
0.196,0.615,4.0
0.263,0.652,4.0
0.198,0.635,4.0
0.167,0.661,4.0
0.244,0.681,4.0
0.253,0.699,4.0
0.175,0.626,4.0
0.259,0.579,4.0
0.308,0.636,4.0
0.259,0.67,4.0
0.328,0.624,4.0
0.215,0.675,4.0
0.88,0.065,4.0
0.273,0.642,4.0
0.163,0.634,4.0
0.228,0.643,4.0
0.298,0.649,4.0
0.2,0.63,4.0
0.157,0.619,4.0
0.224,0.637,4.0
0.183,0.662,4.0
0.163,0.673,4.0
0.452,0.516,4.0
0.397,0.619,4.0
0.25,0.641,4.0
0.176,0.613,4.0
0.389,0.591,4.0
0.191,0.619,4.0
0.296,0.645,4.0
0.315,0.658,4.0
0.195,0.68,4.0
0.257,0.635,4.0
0.399,0.652,5.0
0.441,0.628,5.0
0.379,0.651,5.0
0.4,0.644,5.0
0.39,0.649,5.0
0.395,0.653,5.0
0.401,0.628,5.0
0.441,0.606,5.0
0.343,0.705,5.0
0.371,0.687,5.0
0.407,0.633,5.0
0.421,0.606,5.0
0.423,0.631,5.0
0.367,0.672,5.0
0.391,0.656,5.0
0.4,0.631,5.0
0.411,0.667,5.0
0.369,0.689,5.0
0.412,0.632,5.0
0.374,0.679,5.0
0.453,0.622,5.0
0.408,0.619,5.0
0.334,0.671,5.0
0.378,0.683,5.0
0.433,0.606,5.0
0.443,0.629,5.0
0.412,0.634,5.0
0.432,0.606,5.0
0.449,0.594,5.0
0.499,0.551,5.0
0.436,0.609,5.0
0.457,0.586,5.0
0.425,0.639,5.0
0.431,0.645,5.0
0.388,0.657,5.0
0.422,0.615,5.0
0.415,0.649,5.0
0.514,0.539,5.0
0.44,0.598,5.0
0.401,0.635,5.0
0.373,0.66,5.0
0.472,0.577,5.0
0.45,0.606,5.0
0.423,0.609,5.0
0.55,0.478,5.0
0.464,0.6,5.0
0.474,0.568,5.0
0.377,0.668,5.0
0.405,0.664,5.0
0.386,0.673,5.0
0.381,0.692,5.0
0.378,0.668,5.0
0.458,0.594,5.0
0.359,0.665,5.0
0.471,0.579,5.0
0.378,0.661,5.0
0.427,0.622,5.0
0.433,0.599,5.0
0.45,0.598,5.0
0.46,0.586,5.0
0.403,0.611,5.0
0.448,0.602,5.0
0.452,0.598,5.0
0.392,0.67,5.0
0.408,0.647,5.0
0.343,0.718,5.0
0.364,0.686,5.0
0.403,0.62,5.0
0.414,0.63,5.0
0.437,0.645,5.0
0.396,0.638,5.0
0.409,0.639,5.0
0.464,0.609,5.0
0.434,0.613,5.0
0.441,0.595,5.0
0.336,0.709,5.0
0.365,0.695,5.0
0.409,0.634,5.0
0.333,0.709,5.0
0.423,0.622,5.0
0.368,0.666,5.0
0.402,0.645,5.0
0.429,0.634,5.0
0.381,0.665,5.0
0.421,0.644,5.0
0.369,0.694,5.0
0.435,0.615,5.0
0.533,0.497,5.0
0.473,0.588,5.0
0.362,0.672,5.0
0.386,0.654,5.0
0.407,0.652,5.0
0.387,0.66,5.0
0.422,0.642,5.0
0.45,0.608,5.0
0.388,0.679,5.0
0.532,0.494,5.0
0.479,0.568,5.0
0.476,0.565,5.0
0.425,0.608,5.0
0.424,0.615,5.0
0.44,0.624,5.0
0.4,0.653,5.0
0.364,0.692,5.0
0.396,0.678,5.0
0.41,0.627,5.0
0.517,0.52,5.0
0.483,0.573,5.0
0.407,0.643,5.0
0.499,0.573,5.0
0.405,0.646,5.0
0.44,0.608,5.0
0.52,0.544,5.0
0.457,0.587,5.0
0.368,0.674,5.0
0.452,0.591,5.0
0.401,0.667,5.0
0.366,0.669,5.0
0.473,0.556,5.0
0.383,0.66,5.0
0.428,0.613,5.0
0.403,0.656,5.0
0.467,0.59,5.0
0.364,0.672,5.0
0.415,0.656,5.0
0.447,0.589,5.0
0.393,0.652,5.0
0.465,0.581,5.0
0.497,0.565,5.0
0.407,0.636,5.0
0.374,0.656,5.0
0.417,0.627,5.0
0.412,0.624,5.0
0.483,0.567,5.0
