shannon,fisher,site
0.379,0.582,3.0
0.422,0.602,3.0
0.361,0.582,3.0
0.468,0.55,3.0
0.426,0.559,3.0
0.335,0.633,3.0
0.544,0.42,3.0
0.444,0.516,3.0
0.448,0.524,3.0
0.437,0.583,3.0
0.474,0.533,3.0
0.438,0.529,3.0
0.37,0.614,3.0
0.434,0.571,3.0
0.345,0.618,3.0
0.444,0.577,3.0
0.372,0.61,3.0
0.468,0.537,3.0
0.438,0.559,3.0
0.382,0.598,3.0
0.31,0.599,3.0
0.377,0.612,3.0
0.386,0.62,3.0
0.506,0.476,3.0
0.397,0.602,3.0
0.388,0.549,3.0
0.412,0.58,3.0
0.41,0.597,3.0
0.318,0.644,3.0
0.291,0.652,3.0
0.381,0.549,3.0
0.428,0.612,3.0
0.361,0.634,3.0
0.365,0.611,3.0
0.424,0.561,3.0
0.417,0.568,3.0
0.404,0.637,3.0
0.398,0.613,3.0
0.321,0.631,3.0
0.472,0.56,3.0
0.384,0.592,3.0
0.384,0.57,3.0
0.414,0.61,3.0
0.346,0.613,3.0
0.323,0.629,3.0
0.389,0.608,3.0
0.334,0.575,3.0
0.301,0.642,3.0
0.394,0.584,3.0
0.352,0.551,3.0
0.366,0.652,3.0
0.443,0.548,3.0
0.363,0.586,3.0
0.504,0.506,3.0
0.399,0.548,3.0
0.447,0.564,3.0
0.388,0.594,3.0
0.375,0.609,3.0
0.437,0.563,3.0
0.394,0.623,3.0
0.284,0.642,3.0
0.418,0.562,3.0
0.366,0.628,3.0
0.393,0.584,3.0
0.497,0.495,3.0
0.405,0.57,3.0
0.344,0.641,3.0
0.44,0.579,3.0
0.472,0.531,3.0
0.389,0.589,3.0
0.375,0.619,3.0
0.462,0.536,3.0
0.393,0.575,3.0
0.5,0.508,3.0
0.403,0.599,3.0
0.259,0.639,3.0
0.374,0.633,3.0
0.43,0.574,3.0
0.35,0.647,3.0
0.493,0.511,3.0
0.344,0.603,3.0
0.395,0.617,3.0
0.262,0.632,3.0
0.285,0.691,4.0
0.295,0.646,4.0
0.35,0.586,4.0
0.302,0.66,4.0
0.403,0.584,4.0
0.338,0.65,4.0
0.279,0.64,4.0
0.292,0.623,4.0
0.306,0.684,4.0
0.463,0.532,4.0
0.37,0.571,4.0
0.314,0.625,4.0
0.338,0.688,4.0
0.309,0.647,4.0
0.299,0.628,4.0
0.409,0.585,4.0
0.282,0.623,4.0
0.382,0.638,4.0
0.325,0.586,4.0
0.29,0.659,4.0
0.292,0.68,4.0
0.314,0.659,4.0
0.246,0.711,4.0
0.329,0.624,4.0
0.46,0.545,4.0
0.325,0.645,4.0
0.387,0.607,4.0
0.262,0.708,4.0
0.888,0.061,4.0
0.391,0.591,4.0
0.266,0.669,4.0
0.304,0.64,4.0
0.381,0.562,4.0
0.282,0.658,4.0
0.247,0.644,4.0
0.313,0.648,4.0
0.325,0.653,4.0
0.254,0.678,4.0
0.492,0.521,4.0
0.453,0.589,4.0
0.293,0.67,4.0
0.237,0.643,4.0
0.454,0.568,4.0
0.264,0.589,4.0
0.32,0.633,4.0
0.404,0.615,4.0
0.273,0.685,4.0
0.371,0.636,4.0
0.379,0.593,5.0
0.447,0.554,5.0
0.348,0.62,5.0
0.346,0.62,5.0
0.347,0.658,5.0
0.387,0.62,5.0
0.37,0.654,5.0
0.431,0.594,5.0
0.282,0.623,5.0
0.339,0.673,5.0
0.403,0.603,5.0
0.384,0.596,5.0
0.371,0.638,5.0
0.317,0.701,5.0
0.43,0.565,5.0
0.372,0.601,5.0
0.358,0.58,5.0
0.333,0.629,5.0
0.392,0.606,5.0
0.321,0.61,5.0
0.428,0.594,5.0
0.395,0.575,5.0
0.272,0.653,5.0
0.343,0.686,5.0
0.392,0.601,5.0
0.435,0.565,5.0
0.37,0.62,5.0
0.407,0.569,5.0
0.444,0.559,5.0
0.468,0.552,5.0
0.399,0.608,5.0
0.442,0.537,5.0
0.375,0.646,5.0
0.42,0.611,5.0
0.379,0.629,5.0
0.386,0.61,5.0
0.427,0.601,5.0
0.481,0.526,5.0
0.388,0.584,5.0
0.385,0.563,5.0
0.373,0.629,5.0
0.47,0.502,5.0
0.431,0.571,5.0
0.421,0.541,5.0
0.562,0.421,5.0
0.457,0.581,5.0
0.485,0.497,5.0
0.349,0.624,5.0
0.392,0.615,5.0
0.321,0.674,5.0
0.4,0.578,5.0
0.3,0.702,5.0
0.397,0.612,5.0
0.335,0.607,5.0
0.49,0.521,5.0
0.389,0.606,5.0
0.392,0.594,5.0
0.408,0.626,5.0
0.469,0.56,5.0
0.415,0.573,5.0
0.4,0.568,5.0
0.464,0.56,5.0
0.445,0.567,5.0
0.373,0.635,5.0
0.401,0.633,5.0
0.301,0.681,5.0
0.314,0.71,5.0
0.405,0.595,5.0
0.4,0.592,5.0
0.376,0.637,5.0
0.347,0.636,5.0
0.386,0.626,5.0
0.45,0.574,5.0
0.429,0.639,5.0
0.431,0.575,5.0
