shannon,fisher,site
0.4,0.596,3.0
0.436,0.568,3.0
0.346,0.604,3.0
0.467,0.539,3.0
0.444,0.549,3.0
0.285,0.635,3.0
0.558,0.447,3.0
0.402,0.542,3.0
0.429,0.502,3.0
0.433,0.595,3.0
0.472,0.539,3.0
0.393,0.567,3.0
0.367,0.615,3.0
0.425,0.581,3.0
0.359,0.597,3.0
0.427,0.57,3.0
0.356,0.599,3.0
0.503,0.516,3.0
0.452,0.53,3.0
0.355,0.57,3.0
0.288,0.591,3.0
0.372,0.607,3.0
0.4,0.591,3.0
0.523,0.469,3.0
0.366,0.622,3.0
0.378,0.558,3.0
0.384,0.592,3.0
0.356,0.61,3.0
0.29,0.663,3.0
0.234,0.663,3.0
0.411,0.548,3.0
0.383,0.605,3.0
0.355,0.603,3.0
0.364,0.604,3.0
0.431,0.545,3.0
0.435,0.552,3.0
0.33,0.634,3.0
0.379,0.598,3.0
0.325,0.621,3.0
0.477,0.544,3.0
0.334,0.599,3.0
0.362,0.538,3.0
0.381,0.607,3.0
0.328,0.644,3.0
0.321,0.646,3.0
0.371,0.588,3.0
0.326,0.569,3.0
0.275,0.678,3.0
0.36,0.595,3.0
0.351,0.553,3.0
0.329,0.66,3.0
0.436,0.529,3.0
0.364,0.595,3.0
0.529,0.495,3.0
0.372,0.574,3.0
0.46,0.539,3.0
0.347,0.596,3.0
0.378,0.611,3.0
0.415,0.563,3.0
0.349,0.63,3.0
0.262,0.595,3.0
0.389,0.593,3.0
0.322,0.65,3.0
0.343,0.624,3.0
0.52,0.494,3.0
0.407,0.54,3.0
0.337,0.655,3.0
0.414,0.583,3.0
0.538,0.484,3.0
0.351,0.594,3.0
0.374,0.601,3.0
0.472,0.52,3.0
0.352,0.589,3.0
0.482,0.523,3.0
0.344,0.61,3.0
0.237,0.663,3.0
0.332,0.609,3.0
0.388,0.59,3.0
0.321,0.67,3.0
0.448,0.518,3.0
0.341,0.585,3.0
0.348,0.598,3.0
0.249,0.648,3.0
0.311,0.701,4.0
0.318,0.629,4.0
0.395,0.581,4.0
0.328,0.656,4.0
0.406,0.597,4.0
0.361,0.638,4.0
0.312,0.622,4.0
0.329,0.63,4.0
0.326,0.668,4.0
0.483,0.503,4.0
0.392,0.566,4.0
0.348,0.612,4.0
0.382,0.641,4.0
0.345,0.669,4.0
0.322,0.646,4.0
0.425,0.568,4.0
0.296,0.633,4.0
0.425,0.597,4.0
0.355,0.594,4.0
0.339,0.669,4.0
0.335,0.672,4.0
0.347,0.634,4.0
0.279,0.7,4.0
0.36,0.61,4.0
0.459,0.533,4.0
0.354,0.627,4.0
0.429,0.601,4.0
0.298,0.685,4.0
0.854,0.139,4.0
0.411,0.583,4.0
0.289,0.61,4.0
0.356,0.645,4.0
0.406,0.556,4.0
0.302,0.674,4.0
0.268,0.644,4.0
0.331,0.628,4.0
0.346,0.613,4.0
0.276,0.674,4.0
0.516,0.51,4.0
0.494,0.557,4.0
0.315,0.69,4.0
0.266,0.622,4.0
0.469,0.56,4.0
0.283,0.599,4.0
0.35,0.623,4.0
0.434,0.589,4.0
0.313,0.671,4.0
0.381,0.613,4.0
0.373,0.603,5.0
0.436,0.57,5.0
0.343,0.616,5.0
0.331,0.615,5.0
0.341,0.635,5.0
0.383,0.626,5.0
0.351,0.641,5.0
0.423,0.595,5.0
0.265,0.649,5.0
0.334,0.667,5.0
0.393,0.597,5.0
0.373,0.595,5.0
0.367,0.638,5.0
0.309,0.696,5.0
0.42,0.564,5.0
0.36,0.62,5.0
0.358,0.613,5.0
0.324,0.654,5.0
0.386,0.617,5.0
0.304,0.627,5.0
0.417,0.601,5.0
0.387,0.587,5.0
0.255,0.666,5.0
0.329,0.69,5.0
0.387,0.608,5.0
0.425,0.568,5.0
0.353,0.625,5.0
0.398,0.565,5.0
0.427,0.558,5.0
0.469,0.55,5.0
0.39,0.597,5.0
0.435,0.539,5.0
0.36,0.665,5.0
0.415,0.608,5.0
0.373,0.637,5.0
0.375,0.605,5.0
0.425,0.613,5.0
0.475,0.52,5.0
0.382,0.585,5.0
0.38,0.566,5.0
0.365,0.641,5.0
0.475,0.51,5.0
0.423,0.581,5.0
0.41,0.542,5.0
0.559,0.414,5.0
0.448,0.59,5.0
0.478,0.493,5.0
0.339,0.631,5.0
0.385,0.624,5.0
0.307,0.659,5.0
0.395,0.597,5.0
0.287,0.696,5.0
0.396,0.584,5.0
0.326,0.592,5.0
0.497,0.515,5.0
0.384,0.62,5.0
0.384,0.581,5.0
0.402,0.628,5.0
0.468,0.55,5.0
0.409,0.564,5.0
0.395,0.578,5.0
0.461,0.574,5.0
0.437,0.583,5.0
0.359,0.658,5.0
0.4,0.655,5.0
0.286,0.675,5.0
0.308,0.696,5.0
0.412,0.585,5.0
0.402,0.591,5.0
0.373,0.626,5.0
0.331,0.633,5.0
0.377,0.632,5.0
0.458,0.57,5.0
0.423,0.636,5.0
0.425,0.578,5.0
0.234,0.669,5.0
0.312,0.656,5.0
0.389,0.594,5.0
0.271,0.669,5.0
0.406,0.58,5.0
0.312,0.656,5.0
0.342,0.635,5.0
0.424,0.54,5.0
0.387,0.577,5.0
0.365,0.606,5.0
0.308,0.647,5.0
0.429,0.593,5.0
0.566,0.393,5.0
0.5,0.491,5.0
0.306,0.631,5.0
0.354,0.607,5.0
0.339,0.661,5.0
0.331,0.653,5.0
0.375,0.661,5.0
0.413,0.537,5.0
0.302,0.624,5.0
0.526,0.484,5.0
0.452,0.508,5.0
0.471,0.502,5.0
0.416,0.572,5.0
0.395,0.602,5.0
0.421,0.595,5.0
0.281,0.601,5.0
0.348,0.628,5.0
0.363,0.653,5.0
0.421,0.555,5.0
0.6,0.441,5.0
0.46,0.518,5.0
0.322,0.625,5.0
0.522,0.502,5.0
0.368,0.627,5.0
0.426,0.543,5.0
0.475,0.513,5.0
0.489,0.507,5.0
0.308,0.671,5.0
0.491,0.537,5.0
0.346,0.597,5.0
0.31,0.652,5.0
0.391,0.584,5.0
0.348,0.638,5.0
0.373,0.638,5.0
0.389,0.621,5.0
0.44,0.566,5.0
0.281,0.659,5.0
0.396,0.593,5.0
0.391,0.605,5.0
0.306,0.642,5.0
0.474,0.54,5.0
0.487,0.513,5.0
0.363,0.631,5.0
0.304,0.615,5.0
0.403,0.586,5.0
0.386,0.606,5.0
0.471,0.556,5.0
0.541,0.451,5.0
0.349,0.63,5.0
0.405,0.584,5.0
0.451,0.53,5.0
0.443,0.478,5.0
0.446,0.548,5.0
0.457,0.543,5.0
0.509,0.51,5.0
0.318,0.648,5.0
0.33,0.666,5.0
0.387,0.591,5.0
0.459,0.526,5.0
0.329,0.685,5.0
0.455,0.566,5.0
0.357,0.672,5.0
0.426,0.574,5.0
0.499,0.487,5.0
0.365,0.554,5.0
0.421,0.563,5.0
0.551,0.464,5.0
0.348,0.629,5.0
0.381,0.629,5.0
0.387,0.595,5.0
0.403,0.525,5.0
0.417,0.552,5.0
0.409,0.565,5.0
0.334,0.631,5.0
0.427,0.544,5.0
0.406,0.542,5.0
0.404,0.615,5.0
0.403,0.601,5.0
0.477,0.517,5.0
0.365,0.633,5.0
0.436,0.56,5.0
0.38,0.599,5.0
0.393,0.603,5.0
0.362,0.618,5.0
0.424,0.582,5.0
0.332,0.659,5.0
0.624,0.393,5.0
0.33,0.628,5.0
0.367,0.589,5.0
0.376,0.595,5.0
0.281,0.611,5.0
0.443,0.576,5.0
0.418,0.55,5.0
0.448,0.548,5.0
0.363,0.621,5.0
0.4,0.606,5.0
0.371,0.612,5.0
0.455,0.557,5.0
0.358,0.656,5.0
0.424,0.542,5.0
0.471,0.571,5.0
0.301,0.675,5.0
0.419,0.598,5.0
0.431,0.522,5.0
0.345,0.611,5.0
0.369,0.625,5.0
0.454,0.57,5.0
0.322,0.626,5.0
0.446,0.559,5.0
0.402,0.591,5.0
0.37,0.579,5.0
0.364,0.598,5.0
0.282,0.667,5.0
0.388,0.599,5.0
0.42,0.576,5.0
0.41,0.57,5.0
0.45,0.535,5.0
0.362,0.597,5.0
0.379,0.589,5.0
0.355,0.572,5.0
0.341,0.615,5.0
0.319,0.619,5.0
0.416,0.515,5.0
0.489,0.51,5.0
0.483,0.551,5.0
0.473,0.512,5.0
0.38,0.564,5.0
0.41,0.582,5.0
0.402,0.59,5.0
0.423,0.515,6.0
0.429,0.548,6.0
0.376,0.569,6.0
0.431,0.585,6.0
0.446,0.516,6.0
0.369,0.54,6.0
0.347,0.559,6.0
0.397,0.585,6.0
0.382,0.502,6.0
0.427,0.576,6.0
0.467,0.529,6.0
0.397,0.567,6.0
0.469,0.532,6.0
0.435,0.545,6.0
0.381,0.578,6.0
0.401,0.55,6.0
0.404,0.557,6.0
0.382,0.53,6.0
0.391,0.524,6.0
0.386,0.59,6.0
0.512,0.504,6.0
0.425,0.507,6.0
0.509,0.475,6.0
0.443,0.518,6.0
0.385,0.583,6.0
0.446,0.553,6.0
0.409,0.543,6.0
0.452,0.502,6.0
0.43,0.524,6.0
0.399,0.541,6.0
0.447,0.536,6.0
0.46,0.522,6.0
0.488,0.467,6.0
0.422,0.552,6.0
0.448,0.552,6.0
0.469,0.536,6.0
0.347,0.615,6.0
0.365,0.565,6.0
0.459,0.501,6.0
0.507,0.479,6.0
0.432,0.521,6.0
0.362,0.598,6.0
0.456,0.51,6.0
0.299,0.602,6.0
0.433,0.539,6.0
0.472,0.522,6.0
0.413,0.515,6.0
0.358,0.626,6.0
0.327,0.597,6.0
0.39,0.543,6.0
0.438,0.506,6.0
0.474,0.464,6.0
0.416,0.562,6.0
0.437,0.555,6.0
0.378,0.609,6.0
0.448,0.479,6.0
0.367,0.512,6.0
0.352,0.613,6.0
0.377,0.554,6.0
0.455,0.581,6.0
0.424,0.537,6.0
0.476,0.524,6.0
0.43,0.562,6.0
0.37,0.585,6.0
0.378,0.53,6.0
0.464,0.559,6.0
0.372,0.563,6.0
0.407,0.557,6.0
0.395,0.592,6.0
0.434,0.534,6.0
0.342,0.609,6.0
0.406,0.585,6.0
0.399,0.563,6.0
0.461,0.562,6.0
0.523,0.406,6.0
0.444,0.541,6.0
0.45,0.524,6.0
0.375,0.578,6.0
0.342,0.624,6.0
0.418,0.551,1.0
0.407,0.582,1.0
0.324,0.646,1.0
0.316,0.644,1.0
0.378,0.626,1.0
0.411,0.588,1.0
0.4,0.552,1.0
0.33,0.618,1.0
0.336,0.655,1.0
0.421,0.621,1.0
0.363,0.655,1.0
0.398,0.593,1.0
0.358,0.63,1.0
0.371,0.646,1.0
0.326,0.671,1.0
0.484,0.533,1.0
0.477,0.533,1.0
0.319,0.652,1.0
0.358,0.675,1.0
0.43,0.571,1.0
0.455,0.534,1.0
0.426,0.527,1.0
0.41,0.587,1.0
0.388,0.626,1.0
0.38,0.618,1.0
0.373,0.627,1.0
0.273,0.657,1.0
0.411,0.543,1.0
0.33,0.68,1.0
0.506,0.455,1.0
0.471,0.538,1.0
0.39,0.618,1.0
0.507,0.502,1.0
0.353,0.655,1.0
0.421,0.593,1.0
0.467,0.521,1.0
0.545,0.466,1.0
0.466,0.571,1.0
0.384,0.549,1.0
0.282,0.703,1.0
0.449,0.506,1.0
0.45,0.559,1.0
0.419,0.614,1.0
0.378,0.634,1.0
0.343,0.618,1.0
0.414,0.584,1.0
0.419,0.555,1.0
0.364,0.611,1.0
0.469,0.542,1.0
0.356,0.582,1.0
0.4,0.625,1.0
0.394,0.601,1.0
0.325,0.624,1.0
0.377,0.603,1.0
0.369,0.626,1.0
0.403,0.579,1.0
0.362,0.668,1.0
0.4,0.588,1.0
0.358,0.581,1.0
0.321,0.654,1.0
0.371,0.65,1.0
0.358,0.6,1.0
0.456,0.487,1.0
0.314,0.652,1.0
0.301,0.691,1.0
0.471,0.533,1.0
0.473,0.561,1.0
0.378,0.62,1.0
0.37,0.595,1.0
0.376,0.626,1.0
0.482,0.524,1.0
0.363,0.612,1.0
0.361,0.624,1.0
0.339,0.618,1.0
0.405,0.615,1.0
0.367,0.627,1.0
0.394,0.593,1.0
0.312,0.628,1.0
0.436,0.551,1.0
0.382,0.646,1.0
0.306,0.669,1.0
0.381,0.641,1.0
0.304,0.67,1.0
0.395,0.614,1.0
0.373,0.619,1.0
0.371,0.676,1.0
0.432,0.584,1.0
0.424,0.571,1.0
0.392,0.604,1.0
0.442,0.528,1.0
0.415,0.584,1.0
0.36,0.602,1.0
0.568,0.401,1.0
0.403,0.617,1.0
0.404,0.614,1.0
0.414,0.567,1.0
0.452,0.592,1.0
0.353,0.644,1.0
0.423,0.555,1.0
0.46,0.504,1.0
0.314,0.657,1.0
0.384,0.582,1.0
0.363,0.595,1.0
0.353,0.63,1.0
0.351,0.624,1.0
0.389,0.594,1.0
0.334,0.644,1.0
0.359,0.603,1.0
0.479,0.527,1.0
0.395,0.601,1.0
0.329,0.682,1.0
0.346,0.63,1.0
0.483,0.514,1.0
0.41,0.547,1.0
0.233,0.695,1.0
