shannon,fisher,site
0.427,0.558,3.0
0.462,0.564,3.0
0.419,0.562,3.0
0.504,0.529,3.0
0.48,0.527,3.0
0.414,0.608,3.0
0.582,0.392,3.0
0.489,0.499,3.0
0.507,0.484,3.0
0.499,0.525,3.0
0.532,0.482,3.0
0.498,0.491,3.0
0.421,0.596,3.0
0.488,0.531,3.0
0.376,0.617,3.0
0.5,0.54,3.0
0.416,0.586,3.0
0.518,0.508,3.0
0.486,0.525,3.0
0.467,0.544,3.0
0.388,0.613,3.0
0.444,0.567,3.0
0.437,0.573,3.0
0.551,0.459,3.0
0.484,0.555,3.0
0.45,0.528,3.0
0.462,0.554,3.0
0.466,0.559,3.0
0.362,0.625,3.0
0.36,0.66,3.0
0.418,0.551,3.0
0.485,0.56,3.0
0.412,0.593,3.0
0.409,0.551,3.0
0.487,0.508,3.0
0.475,0.528,3.0
0.465,0.558,3.0
0.456,0.584,3.0
0.356,0.591,3.0
0.523,0.507,3.0
0.453,0.566,3.0
0.459,0.542,3.0
0.488,0.557,3.0
0.403,0.57,3.0
0.362,0.638,3.0
0.455,0.549,3.0
0.394,0.584,3.0
0.364,0.63,3.0
0.453,0.526,3.0
0.399,0.59,3.0
0.428,0.582,3.0
0.501,0.523,3.0
0.394,0.583,3.0
0.539,0.468,3.0
0.459,0.532,3.0
0.482,0.548,3.0
0.451,0.577,3.0
0.449,0.562,3.0
0.488,0.544,3.0
0.448,0.578,3.0
0.329,0.625,3.0
0.484,0.53,3.0
0.43,0.583,3.0
0.446,0.566,3.0
0.546,0.473,3.0
0.471,0.538,3.0
0.383,0.635,3.0
0.492,0.524,3.0
0.515,0.486,3.0
0.441,0.579,3.0
0.429,0.613,3.0
0.511,0.512,3.0
0.433,0.561,3.0
0.548,0.458,3.0
0.45,0.581,3.0
0.326,0.656,3.0
0.451,0.585,3.0
0.487,0.538,3.0
0.405,0.618,3.0
0.541,0.448,3.0
0.385,0.605,3.0
0.442,0.569,3.0
0.325,0.611,3.0
0.158,0.594,4.0
0.181,0.565,4.0
0.22,0.523,4.0
0.181,0.592,4.0
0.293,0.551,4.0
0.181,0.62,4.0
0.14,0.562,4.0
0.17,0.564,4.0
0.164,0.571,4.0
0.324,0.529,4.0
0.248,0.61,4.0
0.176,0.532,4.0
0.19,0.62,4.0
0.151,0.665,4.0
0.209,0.541,4.0
0.267,0.59,4.0
0.177,0.573,4.0
0.249,0.625,4.0
0.197,0.517,4.0
0.112,0.61,4.0
0.168,0.624,4.0
0.176,0.646,4.0
0.129,0.608,4.0
0.2,0.52,4.0
0.326,0.619,4.0
0.198,0.564,4.0
0.277,0.569,4.0
0.136,0.632,4.0
0.867,0.055,4.0
0.256,0.532,4.0
0.157,0.598,4.0
0.176,0.608,4.0
0.278,0.566,4.0
0.146,0.545,4.0
0.128,0.633,4.0
0.168,0.545,4.0
0.182,0.589,4.0
0.104,0.548,4.0
0.366,0.552,4.0
0.303,0.612,4.0
0.172,0.536,4.0
0.132,0.496,4.0
0.334,0.586,4.0
0.131,0.511,4.0
0.198,0.666,4.0
0.248,0.547,4.0
0.14,0.644,4.0
0.223,0.575,4.0
0.322,0.59,5.0
0.403,0.566,5.0
0.31,0.61,5.0
0.304,0.569,5.0
0.315,0.648,5.0
0.351,0.613,5.0
0.309,0.626,5.0
0.39,0.605,5.0
0.246,0.616,5.0
0.28,0.62,5.0
0.375,0.578,5.0
0.341,0.596,5.0
0.344,0.642,5.0
0.271,0.667,5.0
0.386,0.563,5.0
0.333,0.595,5.0
0.321,0.606,5.0
0.28,0.63,5.0
0.349,0.631,5.0
0.286,0.595,5.0
0.403,0.562,5.0
0.35,0.619,5.0
0.223,0.64,5.0
0.28,0.662,5.0
0.336,0.621,5.0
0.406,0.551,5.0
0.326,0.622,5.0
0.361,0.537,5.0
0.411,0.572,5.0
0.432,0.548,5.0
0.361,0.584,5.0
0.418,0.547,5.0
0.326,0.626,5.0
0.366,0.614,5.0
0.326,0.673,5.0
0.358,0.581,5.0
0.389,0.613,5.0
0.433,0.539,5.0
0.35,0.557,5.0
0.342,0.587,5.0
0.319,0.587,5.0
0.435,0.519,5.0
0.386,0.581,5.0
0.372,0.503,5.0
0.519,0.436,5.0
0.424,0.568,5.0
0.438,0.502,5.0
0.309,0.617,5.0
0.348,0.634,5.0
0.269,0.638,5.0
0.366,0.573,5.0
0.239,0.65,5.0
0.356,0.635,5.0
0.298,0.604,5.0
0.434,0.548,5.0
0.35,0.578,5.0
0.353,0.582,5.0
0.369,0.602,5.0
0.432,0.592,5.0
0.381,0.594,5.0
0.359,0.593,5.0
0.43,0.544,5.0
0.403,0.599,5.0
0.341,0.638,5.0
0.347,0.638,5.0
0.249,0.669,5.0
0.271,0.706,5.0
0.359,0.577,5.0
0.354,0.597,5.0
0.331,0.636,5.0
0.297,0.648,5.0
0.337,0.612,5.0
0.411,0.564,5.0
0.391,0.61,5.0
0.387,0.584,5.0
0.2,0.671,5.0
0.279,0.676,5.0
0.353,0.591,5.0
0.235,0.684,5.0
0.349,0.578,5.0
0.271,0.646,5.0
0.318,0.622,5.0
0.393,0.519,5.0
0.358,0.598,5.0
0.325,0.591,5.0
0.277,0.591,5.0
0.405,0.585,5.0
0.531,0.418,5.0
0.47,0.502,5.0
0.275,0.604,5.0
0.336,0.609,5.0
0.318,0.609,5.0
0.317,0.64,5.0
0.331,0.649,5.0
0.378,0.527,5.0
0.277,0.628,5.0
0.49,0.483,5.0
0.424,0.52,5.0
0.44,0.511,5.0
0.385,0.556,5.0
0.355,0.621,5.0
0.387,0.593,5.0
0.272,0.602,5.0
0.32,0.623,5.0
0.311,0.631,5.0
0.39,0.563,5.0
0.562,0.464,5.0
0.428,0.485,5.0
0.299,0.612,5.0
0.469,0.518,5.0
0.34,0.622,5.0
0.403,0.541,5.0
0.448,0.518,5.0
0.458,0.509,5.0
0.275,0.629,5.0
0.45,0.538,5.0
0.315,0.611,5.0
0.28,0.631,5.0
0.382,0.583,5.0
0.317,0.618,5.0
0.341,0.648,5.0
0.36,0.627,5.0
0.414,0.543,5.0
0.264,0.657,5.0
0.363,0.576,5.0
0.36,0.598,5.0
0.282,0.598,5.0
0.437,0.528,5.0
0.445,0.553,5.0
0.33,0.608,5.0
0.282,0.556,5.0
0.368,0.593,5.0
0.345,0.629,5.0
0.432,0.57,5.0
0.489,0.481,5.0
0.328,0.62,5.0
0.356,0.551,5.0
0.417,0.533,5.0
0.403,0.468,5.0
0.403,0.568,5.0
0.418,0.547,5.0
0.462,0.526,5.0
0.294,0.66,5.0
0.282,0.654,5.0
0.345,0.613,5.0
0.413,0.513,5.0
0.282,0.654,5.0
0.408,0.582,5.0
0.316,0.7,5.0
0.405,0.519,5.0
0.468,0.499,5.0
0.347,0.578,5.0
0.384,0.578,5.0
0.489,0.489,5.0
0.315,0.61,5.0
0.36,0.605,5.0
0.363,0.562,5.0
0.365,0.559,5.0
0.374,0.556,5.0
0.376,0.559,5.0
0.3,0.607,5.0
0.393,0.539,5.0
0.377,0.547,5.0
0.376,0.632,5.0
0.366,0.643,5.0
0.449,0.502,5.0
0.325,0.635,5.0
0.404,0.536,5.0
0.332,0.636,5.0
0.346,0.613,5.0
0.323,0.585,5.0
0.391,0.571,5.0
0.307,0.63,5.0
0.589,0.403,5.0
0.297,0.633,5.0
0.348,0.597,5.0
0.338,0.587,5.0
0.257,0.571,5.0
0.422,0.581,5.0
0.394,0.534,5.0
0.437,0.549,5.0
0.319,0.642,5.0
0.372,0.575,5.0
0.349,0.571,5.0
0.417,0.555,5.0
0.33,0.65,5.0
0.392,0.544,5.0
0.412,0.582,5.0
0.291,0.639,5.0
0.386,0.569,5.0
0.415,0.516,5.0
0.31,0.622,5.0
0.323,0.622,5.0
0.422,0.556,5.0
0.282,0.653,5.0
0.411,0.559,5.0
0.382,0.574,5.0
0.337,0.534,5.0
0.329,0.614,5.0
0.246,0.646,5.0
0.364,0.569,5.0
0.384,0.537,5.0
0.375,0.608,5.0
0.412,0.5,5.0
0.337,0.593,5.0
0.351,0.57,5.0
0.323,0.574,5.0
0.309,0.593,5.0
0.295,0.58,5.0
0.38,0.545,5.0
0.45,0.506,5.0
0.439,0.524,5.0
0.444,0.512,5.0
0.365,0.575,5.0
0.379,0.591,5.0
0.366,0.6,5.0
0.679,0.322,6.0
0.617,0.403,6.0
0.637,0.386,6.0
0.676,0.333,6.0
0.658,0.347,6.0
0.668,0.322,6.0
0.616,0.392,6.0
0.635,0.368,6.0
0.65,0.338,6.0
0.63,0.398,6.0
0.663,0.341,6.0
0.624,0.368,6.0
0.64,0.362,6.0
0.614,0.401,6.0
0.63,0.379,6.0
0.664,0.345,6.0
0.613,0.419,6.0
0.653,0.333,6.0
0.657,0.345,6.0
0.627,0.394,6.0
0.756,0.225,6.0
0.678,0.318,6.0
0.718,0.25,6.0
0.657,0.311,6.0
0.601,0.435,6.0
0.667,0.348,6.0
0.645,0.332,6.0
0.711,0.27,6.0
0.694,0.283,6.0
0.619,0.438,6.0
0.68,0.34,6.0
0.673,0.323,6.0
0.717,0.284,6.0
0.665,0.349,6.0
0.667,0.337,6.0
0.701,0.298,6.0
0.596,0.442,6.0
0.645,0.375,6.0
0.683,0.296,6.0
0.759,0.235,6.0
0.675,0.336,6.0
0.67,0.363,6.0
0.704,0.283,6.0
0.564,0.446,6.0
0.662,0.356,6.0
0.657,0.368,6.0
0.698,0.287,6.0
0.605,0.429,6.0
0.61,0.423,6.0
0.708,0.295,6.0
0.656,0.337,6.0
0.687,0.312,6.0
0.654,0.372,6.0
0.73,0.283,6.0
0.638,0.381,6.0
0.702,0.3,6.0
0.656,0.306,6.0
0.568,0.455,6.0
0.625,0.368,6.0
0.691,0.335,6.0
0.657,0.35,6.0
0.699,0.299,6.0
0.648,0.358,6.0
0.62,0.425,6.0
0.643,0.362,6.0
0.667,0.362,6.0
0.634,0.385,6.0
0.66,0.353,6.0
0.634,0.396,6.0
0.684,0.322,6.0
0.654,0.369,6.0
0.587,0.449,6.0
0.618,0.41,6.0
0.649,0.375,6.0
0.756,0.217,6.0
0.683,0.316,6.0
0.647,0.338,6.0
0.622,0.388,6.0
0.605,0.423,6.0
0.318,0.571,1.0
0.32,0.581,1.0
0.238,0.654,1.0
0.22,0.641,1.0
0.289,0.642,1.0
0.314,0.572,1.0
0.31,0.574,1.0
0.25,0.618,1.0
0.223,0.625,1.0
0.339,0.625,1.0
0.253,0.616,1.0
0.3,0.602,1.0
0.29,0.616,1.0
0.275,0.607,1.0
0.246,0.68,1.0
0.366,0.566,1.0
0.396,0.554,1.0
0.215,0.652,1.0
0.271,0.645,1.0
0.352,0.615,1.0
0.336,0.545,1.0
0.335,0.558,1.0
0.315,0.611,1.0
0.286,0.626,1.0
0.254,0.675,1.0
0.283,0.63,1.0
0.175,0.689,1.0
0.321,0.609,1.0
0.198,0.627,1.0
0.415,0.527,1.0
0.385,0.567,1.0
0.311,0.634,1.0
0.413,0.525,1.0
0.245,0.663,1.0
0.329,0.6,1.0
0.373,0.546,1.0
0.461,0.516,1.0
0.36,0.586,1.0
0.323,0.571,1.0
0.194,0.627,1.0
0.361,0.504,1.0
0.366,0.582,1.0
0.314,0.643,1.0
0.297,0.634,1.0
0.261,0.587,1.0
0.322,0.617,1.0
0.323,0.57,1.0
0.28,0.616,1.0
0.355,0.602,1.0
0.273,0.58,1.0
0.297,0.649,1.0
0.322,0.628,1.0
0.244,0.596,1.0
0.29,0.581,1.0
0.275,0.613,1.0
0.316,0.598,1.0
0.254,0.686,1.0
0.307,0.575,1.0
0.296,0.587,1.0
0.226,0.661,1.0
0.289,0.674,1.0
0.275,0.61,1.0
0.376,0.523,1.0
0.212,0.628,1.0
0.2,0.623,1.0
0.374,0.584,1.0
0.379,0.594,1.0
0.266,0.613,1.0
0.298,0.556,1.0
0.287,0.637,1.0
0.407,0.546,1.0
0.258,0.608,1.0
0.25,0.627,1.0
0.256,0.601,1.0
0.324,0.592,1.0
0.3,0.616,1.0
0.293,0.607,1.0
0.205,0.609,1.0
0.355,0.569,1.0
0.308,0.646,1.0
0.199,0.662,1.0
0.275,0.609,1.0
0.229,0.63,1.0
0.305,0.641,1.0
0.278,0.577,1.0
0.259,0.658,1.0
0.356,0.573,1.0
0.353,0.549,1.0
0.307,0.591,1.0
0.346,0.577,1.0
0.306,0.527,1.0
0.256,0.599,1.0
0.502,0.443,1.0
0.304,0.629,1.0
0.324,0.596,1.0
0.318,0.558,1.0
0.351,0.592,1.0
0.236,0.675,1.0
0.337,0.579,1.0
