shannon,fisher,site
0.407,0.524,3.0
0.379,0.533,3.0
0.346,0.571,3.0
0.445,0.534,3.0
0.459,0.542,3.0
0.339,0.607,3.0
0.55,0.468,3.0
0.456,0.523,3.0
0.468,0.494,3.0
0.45,0.531,3.0
0.454,0.508,3.0
0.433,0.577,3.0
0.356,0.599,3.0
0.433,0.54,3.0
0.359,0.593,3.0
0.458,0.563,3.0
0.349,0.625,3.0
0.478,0.501,3.0
0.482,0.529,3.0
0.411,0.557,3.0
0.317,0.591,3.0
0.426,0.571,3.0
0.416,0.541,3.0
0.534,0.468,3.0
0.421,0.564,3.0
0.393,0.529,3.0
0.417,0.549,3.0
0.393,0.613,3.0
0.331,0.617,3.0
0.319,0.67,3.0
0.424,0.54,3.0
0.419,0.557,3.0
0.363,0.562,3.0
0.433,0.579,3.0
0.392,0.547,3.0
0.428,0.564,3.0
0.359,0.623,3.0
0.394,0.605,3.0
0.346,0.551,3.0
0.461,0.49,3.0
0.388,0.565,3.0
0.38,0.558,3.0
0.481,0.524,3.0
0.387,0.525,3.0
0.32,0.624,3.0
0.406,0.566,3.0
0.358,0.574,3.0
0.32,0.617,3.0
0.416,0.52,3.0
0.401,0.528,3.0
0.375,0.606,3.0
0.494,0.502,3.0
0.364,0.556,3.0
0.471,0.51,3.0
0.399,0.527,3.0
0.466,0.543,3.0
0.346,0.621,3.0
0.387,0.585,3.0
0.426,0.562,3.0
0.421,0.541,3.0
0.301,0.627,3.0
0.464,0.455,3.0
0.378,0.623,3.0
0.336,0.598,3.0
0.564,0.424,3.0
0.395,0.557,3.0
0.389,0.56,3.0
0.464,0.483,3.0
0.502,0.469,3.0
0.413,0.54,3.0
0.404,0.562,3.0
0.48,0.455,3.0
0.394,0.589,3.0
0.442,0.544,3.0
0.406,0.573,3.0
0.225,0.662,3.0
0.407,0.572,3.0
0.422,0.565,3.0
0.392,0.588,3.0
0.491,0.536,3.0
0.347,0.578,3.0
0.377,0.58,3.0
0.258,0.643,3.0
0.312,0.684,4.0
0.297,0.58,4.0
0.381,0.569,4.0
0.311,0.655,4.0
0.398,0.551,4.0
0.36,0.579,4.0
0.303,0.636,4.0
0.286,0.626,4.0
0.36,0.586,4.0
0.459,0.514,4.0
0.403,0.533,4.0
0.367,0.556,4.0
0.299,0.634,4.0
0.342,0.661,4.0
0.317,0.648,4.0
0.421,0.576,4.0
0.27,0.589,4.0
0.354,0.608,4.0
0.352,0.574,4.0
0.266,0.693,4.0
0.313,0.655,4.0
0.314,0.649,4.0
0.299,0.635,4.0
0.355,0.601,4.0
0.427,0.567,4.0
0.336,0.643,4.0
0.415,0.593,4.0
0.265,0.623,4.0
0.886,0.066,4.0
0.408,0.557,4.0
0.306,0.661,4.0
0.309,0.635,4.0
0.422,0.502,4.0
0.272,0.649,4.0
0.261,0.645,4.0
0.35,0.603,4.0
0.332,0.638,4.0
0.232,0.669,4.0
0.488,0.513,4.0
0.453,0.558,4.0
0.341,0.582,4.0
0.258,0.69,4.0
0.454,0.549,4.0
0.304,0.649,4.0
0.379,0.609,4.0
0.454,0.55,4.0
0.307,0.634,4.0
0.386,0.569,4.0
0.379,0.587,5.0
0.443,0.587,5.0
0.354,0.62,5.0
0.372,0.589,5.0
0.369,0.602,5.0
0.337,0.641,5.0
0.396,0.622,5.0
0.471,0.524,5.0
0.312,0.659,5.0
0.368,0.642,5.0
0.42,0.585,5.0
0.385,0.581,5.0
0.384,0.601,5.0
0.335,0.593,5.0
0.391,0.616,5.0
0.374,0.571,5.0
0.39,0.582,5.0
0.348,0.643,5.0
0.428,0.544,5.0
0.352,0.613,5.0
0.413,0.6,5.0
0.414,0.574,5.0
0.313,0.649,5.0
0.31,0.691,5.0
0.384,0.574,5.0
0.482,0.517,5.0
0.419,0.581,5.0
0.402,0.589,5.0
0.443,0.514,5.0
0.461,0.558,5.0
0.41,0.594,5.0
0.477,0.525,5.0
0.405,0.586,5.0
0.446,0.559,5.0
0.361,0.622,5.0
0.37,0.56,5.0
0.419,0.568,5.0
0.527,0.491,5.0
0.449,0.542,5.0
0.431,0.547,5.0
0.374,0.58,5.0
0.522,0.454,5.0
0.446,0.543,5.0
0.452,0.492,5.0
0.561,0.402,5.0
0.471,0.541,5.0
0.473,0.486,5.0
0.372,0.615,5.0
0.38,0.624,5.0
0.335,0.64,5.0
0.415,0.539,5.0
0.311,0.661,5.0
0.47,0.507,5.0
0.332,0.643,5.0
0.493,0.493,5.0
0.376,0.575,5.0
0.41,0.598,5.0
0.416,0.563,5.0
0.443,0.471,5.0
0.43,0.56,5.0
0.439,0.543,5.0
0.511,0.506,5.0
0.436,0.535,5.0
0.348,0.641,5.0
0.396,0.579,5.0
0.3,0.657,5.0
0.344,0.619,5.0
0.4,0.568,5.0
0.418,0.586,5.0
0.444,0.578,5.0
0.361,0.611,5.0
0.421,0.571,5.0
0.487,0.517,5.0
0.451,0.543,5.0
0.444,0.499,5.0
0.286,0.684,5.0
0.338,0.615,5.0
0.408,0.578,5.0
0.261,0.664,5.0
0.381,0.548,5.0
0.337,0.632,5.0
0.324,0.663,5.0
0.4,0.582,5.0
0.386,0.576,5.0
