shannon,fisher,site
0.411,0.492,3.0
0.386,0.549,3.0
0.347,0.556,3.0
0.437,0.54,3.0
0.482,0.536,3.0
0.28,0.655,3.0
0.567,0.42,3.0
0.441,0.549,3.0
0.429,0.497,3.0
0.46,0.521,3.0
0.435,0.496,3.0
0.402,0.587,3.0
0.315,0.6,3.0
0.431,0.509,3.0
0.363,0.583,3.0
0.461,0.545,3.0
0.334,0.648,3.0
0.508,0.481,3.0
0.503,0.504,3.0
0.376,0.573,3.0
0.28,0.61,3.0
0.401,0.582,3.0
0.452,0.517,3.0
0.552,0.434,3.0
0.396,0.566,3.0
0.371,0.558,3.0
0.394,0.571,3.0
0.357,0.639,3.0
0.324,0.633,3.0
0.268,0.711,3.0
0.423,0.554,3.0
0.405,0.545,3.0
0.379,0.565,3.0
0.437,0.569,3.0
0.382,0.537,3.0
0.427,0.549,3.0
0.336,0.617,3.0
0.368,0.647,3.0
0.358,0.554,3.0
0.466,0.474,3.0
0.367,0.579,3.0
0.358,0.58,3.0
0.467,0.553,3.0
0.383,0.536,3.0
0.28,0.651,3.0
0.396,0.589,3.0
0.343,0.579,3.0
0.296,0.611,3.0
0.398,0.548,3.0
0.404,0.528,3.0
0.351,0.621,3.0
0.496,0.477,3.0
0.334,0.573,3.0
0.472,0.484,3.0
0.379,0.539,3.0
0.457,0.557,3.0
0.305,0.604,3.0
0.377,0.586,3.0
0.407,0.577,3.0
0.407,0.554,3.0
0.287,0.63,3.0
0.453,0.484,3.0
0.349,0.625,3.0
0.286,0.608,3.0
0.577,0.416,3.0
0.419,0.55,3.0
0.403,0.549,3.0
0.456,0.459,3.0
0.507,0.484,3.0
0.377,0.569,3.0
0.379,0.566,3.0
0.478,0.471,3.0
0.356,0.603,3.0
0.418,0.548,3.0
0.356,0.593,3.0
0.187,0.651,3.0
0.331,0.594,3.0
0.399,0.56,3.0
0.369,0.566,3.0
0.441,0.565,3.0
0.317,0.619,3.0
0.342,0.578,3.0
0.232,0.641,3.0
0.354,0.646,4.0
0.321,0.584,4.0
0.382,0.555,4.0
0.347,0.68,4.0
0.417,0.527,4.0
0.418,0.569,4.0
0.332,0.634,4.0
0.336,0.594,4.0
0.387,0.592,4.0
0.497,0.483,4.0
0.428,0.554,4.0
0.394,0.561,4.0
0.341,0.608,4.0
0.388,0.638,4.0
0.352,0.641,4.0
0.467,0.563,4.0
0.308,0.558,4.0
0.372,0.609,4.0
0.381,0.572,4.0
0.306,0.725,4.0
0.333,0.628,4.0
0.369,0.596,4.0
0.34,0.62,4.0
0.403,0.617,4.0
0.438,0.559,4.0
0.36,0.663,4.0
0.449,0.6,4.0
0.283,0.596,4.0
0.784,0.236,4.0
0.445,0.528,4.0
0.348,0.648,4.0
0.34,0.629,4.0
0.452,0.513,4.0
0.309,0.628,4.0
0.291,0.642,4.0
0.381,0.614,4.0
0.373,0.6,4.0
0.245,0.677,4.0
0.526,0.495,4.0
0.496,0.551,4.0
0.354,0.621,4.0
