shannon,fisher,site
0.45,0.458,3.0
0.429,0.532,3.0
0.407,0.571,3.0
0.481,0.488,3.0
0.501,0.49,3.0
0.4,0.618,3.0
0.593,0.439,3.0
0.493,0.513,3.0
0.534,0.446,3.0
0.494,0.503,3.0
0.506,0.466,3.0
0.493,0.5,3.0
0.414,0.554,3.0
0.463,0.525,3.0
0.4,0.606,3.0
0.515,0.493,3.0
0.406,0.633,3.0
0.508,0.46,3.0
0.529,0.511,3.0
0.473,0.486,3.0
0.397,0.606,3.0
0.481,0.557,3.0
0.473,0.517,3.0
0.58,0.407,3.0
0.483,0.534,3.0
0.454,0.51,3.0
0.461,0.524,3.0
0.432,0.589,3.0
0.372,0.633,3.0
0.386,0.62,3.0
0.47,0.549,3.0
0.479,0.547,3.0
0.411,0.581,3.0
0.475,0.552,3.0
0.44,0.499,3.0
0.484,0.503,3.0
0.421,0.601,3.0
0.432,0.596,3.0
0.364,0.566,3.0
0.508,0.488,3.0
0.437,0.561,3.0
0.444,0.566,3.0
0.536,0.482,3.0
0.447,0.518,3.0
0.361,0.637,3.0
0.452,0.566,3.0
0.403,0.546,3.0
0.363,0.597,3.0
0.481,0.482,3.0
0.438,0.515,3.0
0.433,0.578,3.0
0.542,0.472,3.0
0.413,0.566,3.0
0.508,0.488,3.0
0.436,0.518,3.0
0.515,0.51,3.0
0.407,0.602,3.0
0.437,0.543,3.0
0.472,0.535,3.0
0.463,0.555,3.0
0.345,0.612,3.0
0.508,0.453,3.0
0.429,0.605,3.0
0.416,0.601,3.0
0.601,0.411,3.0
0.451,0.556,3.0
0.427,0.569,3.0
0.507,0.456,3.0
0.544,0.442,3.0
0.458,0.525,3.0
0.454,0.543,3.0
0.52,0.453,3.0
0.449,0.568,3.0
0.5,0.518,3.0
0.454,0.578,3.0
0.294,0.637,3.0
0.459,0.555,3.0
0.482,0.536,3.0
0.452,0.534,3.0
0.539,0.466,3.0
0.376,0.606,3.0
0.439,0.55,3.0
0.291,0.628,3.0
0.141,0.595,4.0
0.163,0.535,4.0
0.235,0.506,4.0
0.186,0.511,4.0
0.253,0.528,4.0
0.202,0.581,4.0
0.153,0.519,4.0
0.143,0.541,4.0
0.204,0.469,4.0
0.304,0.541,4.0
0.251,0.571,4.0
0.233,0.547,4.0
0.156,0.596,4.0
0.172,0.58,4.0
0.192,0.534,4.0
0.271,0.556,4.0
0.154,0.558,4.0
0.216,0.598,4.0
0.189,0.594,4.0
0.096,0.644,4.0
0.177,0.553,4.0
0.159,0.544,4.0
0.139,0.559,4.0
0.207,0.56,4.0
0.282,0.523,4.0
0.175,0.599,4.0
0.268,0.568,4.0
0.153,0.541,4.0
0.859,0.067,4.0
0.256,0.565,4.0
0.134,0.569,4.0
0.156,0.544,4.0
0.302,0.529,4.0
0.121,0.516,4.0
0.114,0.522,4.0
0.19,0.648,4.0
0.18,0.539,4.0
0.095,0.545,4.0
0.343,0.564,4.0
0.304,0.564,4.0
0.181,0.528,4.0
0.126,0.571,4.0
0.319,0.574,4.0
0.149,0.478,4.0
0.211,0.58,4.0
0.318,0.51,4.0
0.151,0.626,4.0
0.224,0.562,4.0
0.34,0.61,5.0
0.406,0.606,5.0
0.314,0.615,5.0
0.347,0.593,5.0
0.328,0.626,5.0
0.295,0.653,5.0
0.371,0.612,5.0
0.439,0.535,5.0
0.272,0.626,5.0
0.342,0.622,5.0
0.394,0.569,5.0
0.365,0.582,5.0
0.355,0.586,5.0
0.303,0.586,5.0
0.354,0.625,5.0
0.341,0.569,5.0
0.364,0.601,5.0
0.306,0.629,5.0
0.396,0.536,5.0
0.324,0.652,5.0
0.385,0.606,5.0
0.384,0.557,5.0
0.288,0.659,5.0
0.252,0.705,5.0
0.357,0.556,5.0
0.453,0.517,5.0
0.391,0.583,5.0
0.383,0.563,5.0
0.413,0.539,5.0
0.436,0.563,5.0
0.376,0.583,5.0
0.454,0.526,5.0
0.373,0.59,5.0
0.406,0.589,5.0
0.33,0.602,5.0
0.333,0.583,5.0
0.39,0.55,5.0
0.494,0.468,5.0
0.423,0.551,5.0
0.39,0.493,5.0
0.345,0.585,5.0
0.496,0.475,5.0
0.404,0.557,5.0
0.419,0.522,5.0
0.537,0.402,5.0
0.443,0.563,5.0
0.445,0.476,5.0
0.347,0.591,5.0
0.338,0.592,5.0
0.307,0.63,5.0
0.363,0.522,5.0
0.272,0.637,5.0
0.437,0.523,5.0
0.299,0.61,5.0
0.457,0.49,5.0
0.346,0.577,5.0
0.382,0.598,5.0
0.375,0.577,5.0
0.41,0.508,5.0
0.389,0.591,5.0
0.398,0.558,5.0
0.471,0.487,5.0
0.41,0.549,5.0
0.315,0.591,5.0
0.357,0.586,5.0
0.242,0.64,5.0
0.311,0.617,5.0
0.364,0.589,5.0
0.384,0.6,5.0
0.417,0.581,5.0
0.337,0.595,5.0
0.384,0.589,5.0
0.451,0.518,5.0
0.429,0.564,5.0
0.422,0.539,5.0
0.251,0.628,5.0
0.303,0.639,5.0
0.376,0.578,5.0
0.214,0.613,5.0
0.356,0.558,5.0
0.3,0.592,5.0
0.302,0.603,5.0
0.364,0.583,5.0
0.349,0.569,5.0
0.365,0.63,5.0
0.318,0.598,5.0
0.413,0.577,5.0
0.538,0.426,5.0
0.461,0.475,5.0
0.291,0.644,5.0
0.294,0.632,5.0
0.372,0.558,5.0
0.334,0.616,5.0
0.371,0.635,5.0
0.41,0.544,5.0
0.312,0.625,5.0
0.445,0.534,5.0
0.504,0.448,5.0
0.469,0.504,5.0
0.397,0.609,5.0
0.363,0.595,5.0
0.387,0.555,5.0
0.285,0.597,5.0
0.331,0.575,5.0
0.34,0.566,5.0
0.401,0.53,5.0
0.529,0.455,5.0
0.514,0.473,5.0
0.3,0.515,5.0
0.496,0.477,5.0
0.397,0.554,5.0
0.493,0.52,5.0
0.481,0.508,5.0
0.413,0.493,5.0
0.354,0.542,5.0
0.417,0.51,5.0
0.283,0.616,5.0
0.294,0.621,5.0
0.39,0.55,5.0
0.301,0.619,5.0
0.381,0.563,5.0
0.344,0.575,5.0
0.395,0.49,5.0
0.31,0.565,5.0
0.33,0.622,5.0
0.422,0.514,5.0
0.325,0.587,5.0
0.445,0.507,5.0
0.424,0.508,5.0
0.378,0.558,5.0
0.293,0.647,5.0
0.371,0.568,5.0
0.387,0.573,5.0
0.468,0.5,5.0
0.475,0.517,5.0
0.345,0.627,5.0
0.365,0.587,5.0
0.4,0.572,5.0
0.398,0.545,5.0
0.436,0.502,5.0
0.412,0.594,5.0
0.476,0.477,5.0
0.319,0.584,5.0
0.28,0.611,5.0
0.366,0.589,5.0
0.416,0.52,5.0
0.308,0.636,5.0
0.432,0.559,5.0
0.359,0.541,5.0
0.405,0.526,5.0
0.46,0.509,5.0
0.356,0.61,5.0
0.406,0.56,5.0
0.536,0.461,5.0
0.353,0.592,5.0
0.403,0.54,5.0
0.444,0.502,5.0
0.367,0.55,5.0
0.438,0.554,5.0
0.369,0.559,5.0
0.357,0.567,5.0
0.406,0.567,5.0
0.391,0.584,5.0
0.363,0.582,5.0
0.343,0.585,5.0
0.413,0.533,5.0
0.296,0.592,5.0
0.393,0.554,5.0
0.301,0.597,5.0
0.363,0.57,5.0
0.341,0.605,5.0
0.388,0.565,5.0
0.332,0.611,5.0
0.542,0.459,5.0
0.325,0.616,5.0
0.334,0.647,5.0
0.397,0.573,5.0
0.278,0.592,5.0
0.443,0.538,5.0
0.355,0.566,5.0
0.421,0.491,5.0
0.34,0.579,5.0
0.404,0.591,5.0
0.336,0.6,5.0
0.431,0.54,5.0
0.404,0.597,5.0
0.391,0.56,5.0
0.42,0.583,5.0
0.326,0.605,5.0
0.384,0.588,5.0
0.375,0.581,5.0
0.345,0.601,5.0
0.336,0.565,5.0
0.437,0.538,5.0
0.32,0.611,5.0
0.434,0.535,5.0
0.383,0.566,5.0
0.409,0.494,5.0
0.293,0.59,5.0
0.298,0.598,5.0
0.34,0.554,5.0
0.397,0.589,5.0
0.373,0.54,5.0
0.499,0.457,5.0
0.355,0.574,5.0
0.394,0.561,5.0
0.36,0.557,5.0
0.319,0.558,5.0
0.362,0.572,5.0
0.432,0.508,5.0
0.515,0.458,5.0
0.498,0.436,5.0
0.49,0.488,5.0
0.413,0.536,5.0
0.348,0.575,5.0
0.368,0.572,5.0
0.671,0.338,6.0
0.64,0.383,6.0
0.619,0.384,6.0
0.668,0.348,6.0
0.655,0.342,6.0
0.651,0.365,6.0
0.651,0.343,6.0
0.632,0.389,6.0
0.644,0.374,6.0
0.66,0.337,6.0
0.679,0.331,6.0
0.629,0.361,6.0
0.601,0.439,6.0
0.621,0.389,6.0
0.63,0.404,6.0
0.665,0.318,6.0
0.628,0.413,6.0
0.674,0.331,6.0
0.668,0.326,6.0
0.612,0.365,6.0
0.713,0.283,6.0
0.693,0.336,6.0
0.72,0.273,6.0
0.667,0.296,6.0
0.614,0.4,6.0
