shannon,fisher,site
0.383,0.52,3.0
0.458,0.523,3.0
0.35,0.56,3.0
0.419,0.592,3.0
0.386,0.528,3.0
0.358,0.614,3.0
0.485,0.494,3.0
0.41,0.545,3.0
0.431,0.571,3.0
0.414,0.549,3.0
0.423,0.565,3.0
0.426,0.559,3.0
0.386,0.594,3.0
0.437,0.559,3.0
0.289,0.625,3.0
0.469,0.476,3.0
0.368,0.57,3.0
0.473,0.489,3.0
0.458,0.52,3.0
0.337,0.586,3.0
0.304,0.68,3.0
0.335,0.576,3.0
0.411,0.585,3.0
0.482,0.531,3.0
0.386,0.613,3.0
0.364,0.565,3.0
0.389,0.562,3.0
0.4,0.581,3.0
0.338,0.625,3.0
0.3,0.627,3.0
0.416,0.579,3.0
0.393,0.641,3.0
0.345,0.595,3.0
0.303,0.614,3.0
0.419,0.505,3.0
0.408,0.535,3.0
0.317,0.635,3.0
0.384,0.56,3.0
0.337,0.587,3.0
0.446,0.564,3.0
0.405,0.591,3.0
0.359,0.591,3.0
0.435,0.568,3.0
0.306,0.586,3.0
0.309,0.636,3.0
0.387,0.594,3.0
0.325,0.597,3.0
0.263,0.606,3.0
0.372,0.578,3.0
0.399,0.538,3.0
0.398,0.573,3.0
0.42,0.578,3.0
0.325,0.605,3.0
0.521,0.454,3.0
0.358,0.583,3.0
0.436,0.559,3.0
0.353,0.621,3.0
0.368,0.59,3.0
0.422,0.518,3.0
0.348,0.646,3.0
0.301,0.597,3.0
0.427,0.497,3.0
0.338,0.612,3.0
0.34,0.618,3.0
0.429,0.512,3.0
0.333,0.549,3.0
0.357,0.567,3.0
0.401,0.573,3.0
0.471,0.51,3.0
0.387,0.582,3.0
0.36,0.609,3.0
0.454,0.48,3.0
0.389,0.539,3.0
0.508,0.473,3.0
0.348,0.628,3.0
0.334,0.592,3.0
0.378,0.606,3.0
0.429,0.573,3.0
0.354,0.57,3.0
0.475,0.501,3.0
0.359,0.604,3.0
0.405,0.536,3.0
0.257,0.659,3.0
0.208,0.671,4.0
0.28,0.637,4.0
0.322,0.639,4.0
0.302,0.68,4.0
0.38,0.548,4.0
0.334,0.646,4.0
0.278,0.681,4.0
0.247,0.673,4.0
0.321,0.622,4.0
0.451,0.497,4.0
0.359,0.621,4.0
0.305,0.589,4.0
0.247,0.694,4.0
0.232,0.67,4.0
0.271,0.651,4.0
0.379,0.571,4.0
0.282,0.631,4.0
0.289,0.63,4.0
0.309,0.612,4.0
0.269,0.655,4.0
0.217,0.677,4.0
0.284,0.649,4.0
0.227,0.612,4.0
0.324,0.64,4.0
0.41,0.587,4.0
0.338,0.648,4.0
0.391,0.575,4.0
0.263,0.659,4.0
0.899,0.075,4.0
0.371,0.567,4.0
0.243,0.603,4.0
0.296,0.607,4.0
0.374,0.613,4.0
0.282,0.612,4.0
0.224,0.672,4.0
0.313,0.604,4.0
0.222,0.62,4.0
0.277,0.599,4.0
0.434,0.535,4.0
0.448,0.559,4.0
0.307,0.626,4.0
0.189,0.597,4.0
0.386,0.533,4.0
0.258,0.619,4.0
0.298,0.62,4.0
0.423,0.591,4.0
0.258,0.681,4.0
0.348,0.616,4.0
0.312,0.612,5.0
0.388,0.626,5.0
0.321,0.649,5.0
0.343,0.594,5.0
0.334,0.648,5.0
0.37,0.653,5.0
0.33,0.6,5.0
0.44,0.571,5.0
0.246,0.616,5.0
0.309,0.617,5.0
0.433,0.583,5.0
0.388,0.592,5.0
0.394,0.561,5.0
0.286,0.64,5.0
0.4,0.597,5.0
0.339,0.627,5.0
0.369,0.558,5.0
0.307,0.647,5.0
0.352,0.642,5.0
0.309,0.64,5.0
0.38,0.599,5.0
0.364,0.575,5.0
0.286,0.64,5.0
0.357,0.619,5.0
0.396,0.578,5.0
0.379,0.613,5.0
0.352,0.606,5.0
0.407,0.585,5.0
0.413,0.591,5.0
0.457,0.561,5.0
0.348,0.629,5.0
0.427,0.578,5.0
0.32,0.683,5.0
0.32,0.634,5.0
