shannon,fisher,site
0.401,0.523,3.0
0.479,0.507,3.0
0.346,0.559,3.0
0.393,0.622,3.0
0.421,0.521,3.0
0.349,0.617,3.0
0.482,0.497,3.0
0.365,0.588,3.0
0.365,0.6,3.0
0.402,0.556,3.0
0.397,0.566,3.0
0.394,0.589,3.0
0.392,0.598,3.0
0.446,0.544,3.0
0.272,0.617,3.0
0.456,0.499,3.0
0.329,0.605,3.0
0.519,0.473,3.0
0.473,0.481,3.0
0.31,0.594,3.0
0.291,0.695,3.0
0.318,0.612,3.0
0.409,0.548,3.0
0.499,0.493,3.0
0.345,0.612,3.0
0.342,0.618,3.0
0.367,0.554,3.0
0.355,0.618,3.0
0.324,0.617,3.0
0.259,0.634,3.0
0.429,0.543,3.0
0.355,0.641,3.0
0.326,0.63,3.0
0.273,0.625,3.0
0.426,0.499,3.0
0.418,0.539,3.0
0.255,0.669,3.0
0.379,0.577,3.0
0.353,0.57,3.0
0.452,0.561,3.0
0.378,0.606,3.0
0.334,0.58,3.0
0.4,0.579,3.0
0.298,0.594,3.0
0.277,0.698,3.0
0.371,0.589,3.0
0.303,0.615,3.0
0.231,0.662,3.0
0.354,0.575,3.0
0.4,0.526,3.0
0.346,0.591,3.0
0.416,0.566,3.0
0.313,0.602,3.0
0.544,0.439,3.0
0.34,0.603,3.0
0.433,0.561,3.0
0.342,0.612,3.0
0.337,0.635,3.0
0.412,0.507,3.0
0.297,0.675,3.0
0.282,0.629,3.0
0.403,0.523,3.0
0.285,0.641,3.0
0.294,0.613,3.0
0.418,0.521,3.0
0.327,0.554,3.0
0.348,0.579,3.0
0.38,0.557,3.0
0.506,0.488,3.0
0.343,0.61,3.0
0.368,0.575,3.0
0.441,0.483,3.0
0.361,0.569,3.0
0.507,0.481,3.0
0.292,0.649,3.0
0.313,0.628,3.0
0.325,0.622,3.0
0.418,0.576,3.0
0.323,0.587,3.0
0.456,0.533,3.0
0.356,0.582,3.0
0.359,0.586,3.0
0.219,0.673,3.0
0.268,0.692,4.0
0.315,0.586,4.0
0.367,0.621,4.0
0.318,0.676,4.0
0.402,0.57,4.0
0.362,0.649,4.0
0.292,0.7,4.0
0.283,0.657,4.0
0.35,0.641,4.0
0.485,0.455,4.0
0.371,0.613,4.0
