shannon,fisher,site
0.427,0.538,3.0
0.49,0.502,3.0
0.409,0.524,3.0
0.466,0.56,3.0
0.423,0.517,3.0
0.401,0.58,3.0
0.539,0.466,3.0
0.461,0.537,3.0
0.489,0.53,3.0
0.464,0.567,3.0
0.487,0.512,3.0
0.5,0.483,3.0
0.441,0.592,3.0
0.486,0.516,3.0
0.344,0.655,3.0
0.509,0.456,3.0
0.412,0.563,3.0
0.512,0.512,3.0
0.503,0.457,3.0
0.413,0.561,3.0
0.36,0.63,3.0
0.395,0.588,3.0
0.462,0.556,3.0
0.532,0.476,3.0
0.462,0.579,3.0
0.403,0.58,3.0
0.44,0.556,3.0
0.454,0.567,3.0
0.371,0.608,3.0
0.362,0.63,3.0
0.449,0.535,3.0
0.454,0.6,3.0
0.404,0.565,3.0
0.362,0.598,3.0
0.476,0.478,3.0
0.469,0.508,3.0
0.353,0.641,3.0
0.429,0.55,3.0
0.365,0.604,3.0
0.493,0.54,3.0
0.471,0.531,3.0
0.422,0.568,3.0
0.503,0.537,3.0
0.354,0.586,3.0
0.362,0.617,3.0
0.435,0.59,3.0
0.369,0.591,3.0
0.303,0.628,3.0
0.422,0.593,3.0
0.429,0.522,3.0
0.443,0.542,3.0
0.47,0.544,3.0
0.365,0.605,3.0
0.555,0.41,3.0
0.417,0.549,3.0
0.481,0.51,3.0
0.416,0.582,3.0
0.425,0.566,3.0
0.461,0.506,3.0
0.402,0.629,3.0
0.347,0.607,3.0
0.484,0.473,3.0
0.395,0.582,3.0
0.399,0.564,3.0
0.488,0.544,3.0
0.383,0.541,3.0
0.38,0.588,3.0
0.448,0.519,3.0
0.526,0.486,3.0
0.439,0.54,3.0
0.423,0.558,3.0
0.49,0.482,3.0
0.429,0.534,3.0
0.551,0.454,3.0
0.412,0.573,3.0
0.37,0.596,3.0
0.418,0.577,3.0
0.498,0.52,3.0
0.394,0.561,3.0
0.537,0.433,3.0
0.422,0.574,3.0
0.449,0.554,3.0
0.328,0.641,3.0
0.091,0.535,4.0
0.151,0.615,4.0
0.201,0.553,4.0
0.181,0.588,4.0
0.255,0.471,4.0
0.173,0.642,4.0
0.178,0.558,4.0
0.117,0.676,4.0
0.185,0.565,4.0
0.326,0.556,4.0
0.244,0.557,4.0
0.184,0.543,4.0
0.154,0.656,4.0
0.117,0.64,4.0
0.171,0.575,4.0
0.276,0.567,4.0
0.187,0.558,4.0
0.17,0.591,4.0
0.202,0.591,4.0
0.127,0.586,4.0
0.143,0.61,4.0
0.148,0.609,4.0
0.106,0.514,4.0
0.173,0.567,4.0
0.302,0.595,4.0
0.19,0.662,4.0
0.291,0.532,4.0
0.169,0.639,4.0
0.873,0.074,4.0
0.249,0.527,4.0
0.144,0.521,4.0
0.189,0.564,4.0
0.269,0.586,4.0
0.187,0.496,4.0
0.111,0.551,4.0
0.208,0.567,4.0
0.137,0.527,4.0
0.157,0.575,4.0
0.295,0.555,4.0
0.331,0.593,4.0
0.195,0.581,4.0
0.12,0.453,4.0
0.264,0.584,4.0
0.155,0.563,4.0
0.186,0.614,4.0
0.308,0.551,4.0
0.147,0.606,4.0
0.234,0.529,4.0
0.263,0.624,5.0
0.327,0.587,5.0
0.296,0.627,5.0
0.292,0.643,5.0
0.282,0.652,5.0
0.33,0.646,5.0
0.301,0.614,5.0
0.395,0.564,5.0
0.202,0.617,5.0
0.253,0.609,5.0
0.392,0.578,5.0
0.349,0.576,5.0
0.35,0.562,5.0
0.247,0.654,5.0
0.339,0.605,5.0
0.305,0.643,5.0
0.334,0.593,5.0
0.243,0.655,5.0
0.315,0.617,5.0
0.265,0.584,5.0
0.336,0.602,5.0
0.316,0.606,5.0
0.239,0.632,5.0
0.299,0.651,5.0
0.352,0.575,5.0
0.335,0.6,5.0
0.316,0.611,5.0
0.36,0.613,5.0
0.378,0.569,5.0
0.423,0.557,5.0
0.312,0.603,5.0
0.393,0.577,5.0
0.276,0.682,5.0
0.266,0.603,5.0
0.295,0.604,5.0
0.32,0.571,5.0
0.368,0.564,5.0
0.418,0.539,5.0
0.367,0.601,5.0
0.356,0.573,5.0
0.297,0.64,5.0
0.361,0.575,5.0
0.4,0.556,5.0
0.352,0.563,5.0
0.51,0.459,5.0
0.429,0.543,5.0
0.388,0.578,5.0
0.295,0.573,5.0
0.351,0.582,5.0
0.329,0.602,5.0
0.334,0.572,5.0
0.207,0.608,5.0
0.373,0.534,5.0
0.307,0.549,5.0
0.383,0.557,5.0
0.288,0.616,5.0
0.324,0.602,5.0
0.364,0.591,5.0
0.405,0.555,5.0
0.376,0.541,5.0
0.342,0.484,5.0
0.448,0.524,5.0
0.333,0.548,5.0
0.317,0.649,5.0
0.284,0.678,5.0
0.244,0.626,5.0
0.288,0.594,5.0
0.35,0.614,5.0
0.354,0.595,5.0
0.337,0.624,5.0
0.242,0.593,5.0
0.344,0.586,5.0
0.401,0.554,5.0
0.375,0.558,5.0
0.384,0.558,5.0
0.238,0.611,5.0
0.257,0.621,5.0
0.293,0.575,5.0
0.203,0.682,5.0
0.327,0.592,5.0
0.295,0.576,5.0
0.312,0.625,5.0
0.384,0.562,5.0
0.297,0.581,5.0
0.302,0.61,5.0
0.249,0.606,5.0
0.365,0.624,5.0
0.515,0.423,5.0
0.466,0.524,5.0
0.248,0.662,5.0
0.286,0.604,5.0
0.306,0.639,5.0
0.27,0.645,5.0
0.34,0.541,5.0
0.404,0.535,5.0
0.266,0.629,5.0
0.458,0.519,5.0
0.407,0.524,5.0
0.434,0.538,5.0
0.308,0.645,5.0
0.389,0.598,5.0
0.379,0.594,5.0
0.291,0.587,5.0
0.318,0.626,5.0
0.316,0.553,5.0
0.37,0.575,5.0
0.578,0.42,5.0
0.419,0.567,5.0
0.308,0.571,5.0
0.479,0.546,5.0
0.322,0.634,5.0
0.392,0.507,5.0
0.473,0.481,5.0
0.441,0.522,5.0
0.298,0.551,5.0
0.409,0.593,5.0
0.292,0.587,5.0
0.26,0.6,5.0
0.376,0.527,5.0
0.276,0.682,5.0
0.34,0.531,5.0
0.336,0.604,5.0
0.393,0.54,5.0
0.294,0.652,5.0
0.289,0.655,5.0
0.396,0.557,5.0
0.254,0.654,5.0
0.401,0.577,5.0
0.385,0.594,5.0
0.289,0.644,5.0
0.275,0.619,5.0
0.316,0.572,5.0
0.305,0.631,5.0
0.409,0.541,5.0
0.48,0.487,5.0
0.317,0.623,5.0
0.339,0.513,5.0
0.371,0.575,5.0
0.387,0.517,5.0
0.402,0.47,5.0
0.435,0.518,5.0
0.441,0.51,5.0
0.288,0.621,5.0
0.247,0.673,5.0
0.324,0.64,5.0
0.397,0.565,5.0
0.265,0.617,5.0
0.439,0.57,5.0
0.3,0.646,5.0
0.392,0.545,5.0
0.492,0.438,5.0
0.247,0.544,5.0
0.395,0.518,5.0
0.522,0.458,5.0
0.305,0.604,5.0
0.344,0.628,5.0
0.327,0.603,5.0
0.38,0.57,5.0
0.365,0.593,5.0
0.374,0.59,5.0
0.278,0.623,5.0
0.381,0.602,5.0
0.353,0.629,5.0
0.399,0.577,5.0
0.299,0.658,5.0
0.413,0.526,5.0
0.311,0.632,5.0
0.354,0.572,5.0
0.355,0.567,5.0
0.342,0.599,5.0
0.293,0.586,5.0
0.32,0.574,5.0
0.279,0.582,5.0
0.59,0.381,5.0
0.321,0.645,5.0
0.309,0.617,5.0
0.342,0.589,5.0
0.231,0.619,5.0
0.351,0.564,5.0
0.374,0.614,5.0
0.417,0.551,5.0
0.343,0.6,5.0
0.367,0.535,5.0
0.279,0.588,5.0
0.442,0.493,5.0
0.303,0.627,5.0
0.384,0.593,5.0
0.423,0.523,5.0
0.283,0.606,5.0
0.39,0.633,5.0
0.363,0.528,5.0
0.33,0.57,5.0
0.306,0.56,5.0
0.419,0.563,5.0
0.265,0.619,5.0
0.407,0.533,5.0
0.362,0.607,5.0
0.297,0.547,5.0
0.295,0.592,5.0
0.223,0.611,5.0
0.334,0.533,5.0
0.375,0.545,5.0
0.317,0.589,5.0
0.367,0.571,5.0
0.29,0.642,5.0
0.326,0.649,5.0
0.316,0.601,5.0
0.238,0.582,5.0
0.305,0.607,5.0
0.376,0.528,5.0
0.447,0.489,5.0
0.359,0.556,5.0
0.42,0.529,5.0
0.306,0.674,5.0
0.323,0.581,5.0
0.343,0.592,5.0
0.666,0.305,6.0
0.61,0.394,6.0
0.616,0.373,6.0
0.66,0.353,6.0
0.639,0.352,6.0
0.671,0.34,6.0
0.598,0.408,6.0
0.608,0.369,6.0
0.686,0.324,6.0
0.646,0.371,6.0
0.653,0.375,6.0
0.626,0.352,6.0
0.628,0.378,6.0
0.606,0.375,6.0
0.659,0.33,6.0
0.639,0.381,6.0
0.609,0.423,6.0
0.659,0.326,6.0
0.611,0.388,6.0
0.609,0.397,6.0
0.776,0.214,6.0
0.663,0.336,6.0
0.693,0.3,6.0
0.628,0.337,6.0
0.607,0.43,6.0
0.64,0.332,6.0
0.636,0.36,6.0
0.714,0.26,6.0
0.719,0.247,6.0
0.604,0.419,6.0
0.698,0.292,6.0
0.67,0.33,6.0
0.733,0.271,6.0
0.69,0.297,6.0
0.643,0.315,6.0
0.698,0.291,6.0
0.557,0.465,6.0
0.629,0.376,6.0
0.649,0.35,6.0
0.764,0.196,6.0
0.653,0.357,6.0
0.671,0.351,6.0
0.73,0.258,6.0
0.568,0.459,6.0
0.674,0.318,6.0
0.616,0.412,6.0
0.709,0.312,6.0
0.597,0.387,6.0
0.634,0.379,6.0
0.709,0.271,6.0
