shannon,fisher,site
0.258,0.62,5
0.365,0.516,19
0.292,0.617,19
0.313,0.631,5
0.304,0.584,28
0.243,0.566,0
0.279,0.628,16
0.376,0.591,5
0.418,0.553,22
0.318,0.576,11
0.274,0.664,12
0.333,0.586,9
0.352,0.491,30
0.381,0.521,0
0.406,0.492,29
0.409,0.534,29
0.338,0.547,20
0.35,0.535,4
0.351,0.599,27
0.386,0.602,5
0.243,0.637,7
0.26,0.686,7
0.391,0.583,20
0.4,0.542,21
0.374,0.518,20
0.329,0.566,15
0.311,0.605,13
0.278,0.657,8
0.222,0.609,29
0.267,0.632,22
0.223,0.627,23
0.46,0.566,22
0.401,0.543,30
0.34,0.591,31
0.363,0.547,33
0.404,0.559,5
0.423,0.473,0
0.324,0.547,14
0.434,0.499,0
0.373,0.571,9
0.327,0.62,20
0.218,0.663,0
0.31,0.556,11
0.369,0.663,15
0.422,0.581,31
0.321,0.547,17
0.298,0.573,0
0.298,0.617,22
0.324,0.59,20
0.214,0.596,0
0.301,0.622,32
0.331,0.478,11
0.373,0.555,20
0.256,0.68,1
0.325,0.564,31
0.354,0.508,0
0.346,0.48,28
0.398,0.564,0
0.392,0.51,26
0.333,0.597,33
0.264,0.628,33
0.26,0.624,34
0.303,0.575,2
0.31,0.559,34
0.242,0.683,16
0.259,0.609,16
0.398,0.505,18
0.386,0.475,28
0.361,0.555,28
0.301,0.563,33
0.351,0.603,29
0.227,0.518,19
0.352,0.503,0
0.275,0.601,7
0.223,0.612,28
0.356,0.595,5
0.348,0.524,16
0.309,0.599,23
0.411,0.461,9
0.359,0.666,20
0.39,0.529,5
0.354,0.555,1
0.24,0.545,0
0.213,0.613,28
0.342,0.587,5
0.292,0.621,19
0.504,0.432,26
0.314,0.599,17
0.485,0.505,5
0.239,0.612,4
0.304,0.614,2
0.425,0.545,1
0.265,0.63,31
0.351,0.587,7
0.316,0.588,4
0.339,0.588,19
0.281,0.622,11
0.311,0.568,31
0.255,0.69,16
0.388,0.545,5
0.284,0.553,20
0.415,0.594,23
0.348,0.599,20
0.341,0.6,17
0.349,0.557,32
0.218,0.604,22
0.341,0.491,9
0.369,0.583,14
0.374,0.421,15
0.34,0.62,20
0.3,0.639,5
0.39,0.567,5
0.28,0.594,4
0.332,0.542,34
0.38,0.561,6
0.374,0.647,18
0.302,0.623,11
0.413,0.535,5
0.319,0.564,33
0.285,0.564,9
0.284,0.603,29
0.324,0.603,30
0.286,0.65,5
0.321,0.516,34
0.324,0.533,33
0.249,0.6,30
0.273,0.566,20
0.338,0.597,26
0.279,0.616,9
0.367,0.561,8
0.308,0.603,5
0.498,0.503,34
0.342,0.572,5
0.295,0.6,20
0.301,0.643,20
0.236,0.593,32
0.268,0.625,1
0.253,0.643,26
0.28,0.586,5
0.313,0.617,31
0.337,0.609,34
0.466,0.505,5
0.323,0.613,8
0.376,0.541,33
0.312,0.592,31
0.305,0.689,10
0.228,0.581,15
0.378,0.547,1
0.282,0.591,31
0.257,0.718,6
0.335,0.592,3
0.243,0.648,10
0.411,0.522,16
0.449,0.477,9
0.352,0.605,34
0.322,0.573,5
0.333,0.576,20
0.338,0.478,5
0.259,0.635,30
0.438,0.539,10
0.434,0.476,19
0.303,0.638,8
0.26,0.598,30
0.357,0.621,32
0.364,0.619,32
0.253,0.583,31
0.34,0.554,7
0.386,0.53,12
0.363,0.606,19
0.204,0.633,10
0.225,0.614,26
0.401,0.566,7
0.373,0.62,33
0.445,0.529,5
0.265,0.634,6
0.332,0.553,1
0.263,0.628,9
0.387,0.568,22
0.309,0.634,23
0.372,0.531,7
0.378,0.503,31
0.269,0.612,22
0.414,0.488,5
