shannon,fisher,site
0.342,0.667,5
0.461,0.534,19
0.401,0.589,19
0.361,0.616,5
0.411,0.532,28
0.332,0.55,0
0.361,0.606,16
0.442,0.588,5
0.481,0.542,22
0.405,0.607,11
0.374,0.615,12
0.435,0.537,9
0.46,0.548,30
0.432,0.541,0
0.461,0.517,29
0.55,0.413,29
0.4,0.611,20
0.445,0.51,4
0.385,0.631,27
0.435,0.559,5
0.362,0.641,7
0.334,0.638,7
0.488,0.528,20
0.449,0.508,21
0.483,0.495,20
0.421,0.597,15
0.367,0.568,13
0.351,0.642,8
0.354,0.604,29
0.367,0.573,22
0.332,0.631,23
0.54,0.487,22
0.476,0.51,30
0.42,0.585,31
0.451,0.542,33
0.48,0.518,5
0.501,0.498,0
0.41,0.566,14
0.464,0.554,0
0.434,0.582,9
0.423,0.582,20
0.297,0.668,0
0.399,0.582,11
0.47,0.525,15
0.482,0.532,31
0.467,0.535,17
0.368,0.605,0
0.373,0.616,22
0.418,0.571,20
0.342,0.584,0
0.397,0.607,32
0.381,0.599,11
0.455,0.552,20
0.32,0.624,1
0.399,0.601,31
0.485,0.503,0
0.383,0.535,28
0.46,0.487,0
0.463,0.528,26
0.422,0.616,33
0.321,0.676,33
0.33,0.635,34
0.419,0.559,2
0.394,0.585,34
0.338,0.638,16
0.334,0.63,16
0.434,0.549,18
0.422,0.544,28
0.409,0.545,28
0.401,0.583,33
0.405,0.572,29
0.306,0.597,19
0.45,0.498,0
0.372,0.628,7
0.308,0.612,28
0.429,0.597,5
0.458,0.549,16
0.363,0.622,23
0.459,0.508,9
0.394,0.584,20
0.463,0.509,5
0.394,0.577,1
0.36,0.555,0
0.339,0.592,28
0.405,0.585,5
0.373,0.614,19
0.554,0.444,26
0.423,0.591,17
0.575,0.389,5
0.343,0.643,4
0.422,0.556,2
0.489,0.508,1
0.349,0.642,31
0.447,0.576,7
0.381,0.583,4
0.39,0.551,19
0.364,0.611,11
0.368,0.628,31
0.357,0.591,16
0.452,0.563,5
0.396,0.584,20
0.457,0.525,23
0.394,0.642,20
0.433,0.604,17
0.41,0.59,32
0.349,0.65,22
0.406,0.511,9
0.403,0.555,14
0.457,0.492,15
0.406,0.564,20
0.39,0.604,5
0.453,0.583,5
0.365,0.56,4
0.417,0.542,34
0.423,0.555,6
0.425,0.542,18
0.348,0.615,11
0.453,0.56,5
0.387,0.581,33
0.384,0.527,9
0.365,0.62,29
0.421,0.518,30
0.404,0.558,5
0.436,0.519,34
0.426,0.58,33
0.371,0.483,30
0.352,0.637,20
0.412,0.61,26
0.381,0.565,9
0.451,0.522,8
0.385,0.558,5
0.551,0.476,34
0.429,0.56,5
0.376,0.615,20
0.399,0.594,20
0.371,0.569,32
0.321,0.642,1
0.342,0.614,26
0.391,0.544,5
0.348,0.605,31
0.443,0.559,34
0.534,0.487,5
0.412,0.579,8
0.416,0.592,33
0.402,0.572,31
0.373,0.613,10
0.313,0.609,15
0.377,0.593,1
0.337,0.643,31
0.356,0.619,6
0.412,0.502,3
0.373,0.611,10
0.476,0.517,16
0.498,0.49,9
0.421,0.559,34
0.374,0.593,5
0.448,0.582,20
0.391,0.565,5
0.367,0.582,30
0.506,0.488,10
0.487,0.488,19
0.449,0.584,8
0.353,0.592,30
0.454,0.559,32
0.41,0.627,32
0.363,0.619,31
0.406,0.612,7
0.465,0.507,12
0.462,0.536,19
0.284,0.589,10
0.335,0.629,26
0.454,0.539,7
0.436,0.54,33
0.5,0.506,5
0.369,0.634,6
0.394,0.587,1
0.372,0.57,9
0.462,0.547,22
0.413,0.577,23
0.471,0.536,7
0.457,0.529,31
0.357,0.581,22
0.516,0.465,5
0.424,0.549,17
0.39,0.6,29
0.457,0.556,25
0.382,0.601,29
0.43,0.553,16
0.412,0.575,2
0.399,0.55,23
0.436,0.537,29
0.43,0.561,29
0.418,0.587,20
0.427,0.499,1
0.396,0.566,9
0.393,0.576,6
0.4,0.576,5
0.518,0.466,34
0.535,0.494,5
0.415,0.561,0
0.306,0.629,22
0.292,0.679,17
0.465,0.509,20
0.455,0.569,16
0.422,0.542,21
0.496,0.507,20
0.44,0.584,14
0.435,0.556,20
0.444,0.515,28
0.462,0.598,31
0.41,0.557,19
0.472,0.5,9
0.541,0.437,9
0.429,0.52,30
0.575,0.44,16
0.406,0.572,20
0.469,0.495,10
0.355,0.635,2
0.335,0.587,33
0.354,0.602,20
0.318,0.62,9
0.489,0.535,20
0.371,0.596,25
0.287,0.618,27
0.374,0.584,21
0.523,0.488,19
0.381,0.504,21
0.337,0.637,10
0.269,0.614,19
0.416,0.564,23
0.4,0.577,20
0.432,0.534,19
0.301,0.623,22
0.345,0.567,17
0.459,0.546,2
0.387,0.569,13
0.409,0.594,6
0.428,0.559,8
0.398,0.591,5
0.487,0.518,20
0.341,0.615,16
0.343,0.621,6
0.408,0.494,3
0.421,0.558,34
0.28,0.614,33
0.33,0.587,17
0.257,0.655,23
0.408,0.587,23
0.437,0.561,5
0.427,0.587,34
0.306,0.685,16
0.465,0.505,33
0.32,0.624,5
0.364,0.608,20
0.425,0.597,2
0.407,0.541,1
0.399,0.596,34
0.394,0.572,10
0.434,0.576,16
0.404,0.524,0
0.341,0.666,20
0.554,0.457,5
0.446,0.52,1
0.395,0.621,33
0.55,0.465,23
0.407,0.602,6
0.414,0.615,22
0.281,0.606,28
0.371,0.621,22
0.378,0.599,6
0.402,0.597,33
0.4,0.557,28
0.405,0.577,29
0.437,0.519,11
0.433,0.537,20
0.394,0.572,21
0.432,0.591,2
0.393,0.56,29
0.358,0.627,2
0.435,0.56,20
0.375,0.609,3
0.394,0.62,10
0.424,0.568,18
0.331,0.676,20
0.475,0.503,8
0.492,0.518,10
0.379,0.564,9
0.456,0.543,20
0.318,0.644,14
0.431,0.602,18
0.368,0.584,2
0.431,0.584,22
0.345,0.629,5
0.413,0.576,26
0.36,0.648,5
0.372,0.579,17
0.326,0.633,8
0.336,0.636,34
0.355,0.561,4
0.414,0.581,2
0.321,0.628,0
0.447,0.583,32
0.355,0.627,10
0.386,0.585,20
0.357,0.585,28
0.478,0.532,5
0.286,0.597,13
0.402,0.595,19
0.419,0.548,29
0.454,0.521,1
0.373,0.62,5
0.402,0.581,33
0.457,0.482,1
0.447,0.551,19
0.345,0.634,19
0.416,0.579,19
0.462,0.558,5
0.395,0.553,31
0.416,0.561,5
0.336,0.612,3
0.416,0.542,5
0.341,0.63,14
0.487,0.493,10
0.381,0.639,8
0.426,0.516,23
0.393,0.586,9
0.337,0.644,31
0.48,0.516,33
0.378,0.552,15
0.367,0.644,18
0.311,0.678,18
0.394,0.578,11
0.329,0.565,7
0.392,0.62,5
0.405,0.581,16
0.352,0.604,5
0.444,0.532,5
0.557,0.406,29
0.425,0.596,20
0.459,0.453,9
0.351,0.595,14
0.349,0.613,21
0.348,0.641,20
0.374,0.64,27
0.362,0.563,3
0.35,0.626,5
0.348,0.629,33
0.437,0.548,7
0.252,0.665,15
0.425,0.614,20
0.406,0.576,33
0.293,0.596,33
0.401,0.616,5
0.511,0.436,3
0.374,0.544,15
0.388,0.551,20
0.501,0.49,10
0.406,0.526,1
0.33,0.632,33
0.39,0.604,11
0.397,0.581,29
0.381,0.511,21
0.402,0.543,26
0.346,0.58,12
0.351,0.598,23
0.36,0.634,0
0.397,0.593,11
0.469,0.525,33
0.343,0.616,32
0.436,0.536,27
0.444,0.561,9
0.414,0.548,20
0.442,0.573,16
0.344,0.638,26
0.409,0.582,26
0.422,0.593,20
0.496,0.519,26
0.346,0.588,1
0.434,0.552,30
0.375,0.583,11
0.542,0.458,2
0.377,0.586,0
0.362,0.602,20
0.312,0.635,3
0.31,0.666,18
0.337,0.625,20
0.362,0.626,23
0.332,0.591,15
0.385,0.618,20
0.407,0.588,5
0.444,0.565,7
0.293,0.655,28
0.419,0.511,28
0.436,0.508,20
0.465,0.567,7
0.361,0.581,15
0.483,0.509,29
0.478,0.512,29
0.459,0.498,21
0.386,0.558,34
0.32,0.599,5
0.413,0.567,33
0.402,0.57,19
0.438,0.548,33
0.409,0.544,20
0.398,0.607,31
0.411,0.571,6
0.475,0.564,20
0.402,0.583,2
0.334,0.6,28
0.429,0.488,9
0.359,0.639,2
0.392,0.569,33
0.426,0.567,1
0.456,0.566,34
0.339,0.639,15
0.506,0.507,23
0.38,0.593,0
0.392,0.597,15
0.358,0.612,32
0.446,0.551,0
0.379,0.609,16
0.382,0.608,26
0.414,0.566,20
0.438,0.551,19
0.325,0.598,13
0.353,0.623,0
0.415,0.557,25
0.345,0.631,14
0.42,0.594,33
0.402,0.622,20
0.474,0.53,33
0.443,0.555,25
0.442,0.582,5
0.448,0.541,31
0.369,0.595,10
0.351,0.605,5
0.273,0.621,14
0.437,0.569,33
0.369,0.586,3
0.406,0.599,2
0.383,0.607,29
0.389,0.609,4
0.33,0.643,31
0.34,0.611,1
0.437,0.497,9
0.422,0.581,31
0.397,0.573,25
0.461,0.528,19
0.414,0.583,29
0.384,0.573,9
0.338,0.604,23
0.421,0.558,7
0.392,0.582,31
0.492,0.455,9
0.349,0.631,8
0.374,0.63,16
0.481,0.51,29
0.387,0.547,9
0.519,0.512,33
0.304,0.615,17
0.428,0.549,9
0.506,0.533,20
0.441,0.584,27
0.421,0.541,4
0.413,0.563,7
0.261,0.676,13
0.41,0.54,14
0.417,0.511,9
0.469,0.539,7
0.367,0.607,29
0.401,0.548,3
0.362,0.573,12
0.447,0.572,1
0.454,0.512,9
0.385,0.567,19
0.459,0.505,2
0.363,0.569,1
0.43,0.572,20
0.35,0.536,9
0.504,0.52,5
0.449,0.56,7
0.473,0.56,31
0.398,0.61,33
0.416,0.584,29
0.414,0.57,5
0.39,0.575,33
0.476,0.524,5
0.375,0.544,26
0.405,0.594,31
0.451,0.534,29
0.452,0.529,29
0.378,0.614,31
0.398,0.607,7
0.418,0.582,20
0.43,0.472,3
0.397,0.612,27
0.433,0.551,0
0.353,0.654,27
0.439,0.592,10
0.263,0.613,13
0.485,0.502,5
0.398,0.536,23
0.348,0.609,16
0.336,0.631,13
0.427,0.602,20
0.372,0.585,10
0.446,0.563,7
0.318,0.658,31
0.345,0.651,20
0.333,0.664,31
0.478,0.494,4
0.388,0.565,29
0.38,0.617,26
0.352,0.6,1
0.372,0.647,32
0.373,0.581,19
0.539,0.465,5
0.462,0.554,33
0.378,0.544,21
0.356,0.596,31
0.271,0.65,15
0.426,0.617,25
0.414,0.593,17
0.436,0.515,5
0.479,0.567,27
0.361,0.593,19
0.395,0.61,8
0.512,0.534,20
0.386,0.645,18
0.424,0.571,5
0.42,0.573,31
0.37,0.586,23
0.419,0.546,29
0.38,0.562,32
0.421,0.589,10
0.452,0.54,31
0.403,0.527,3
0.359,0.602,31
0.339,0.623,29
0.474,0.489,5
0.393,0.577,25
0.454,0.538,20
0.457,0.537,26
0.486,0.534,7
0.557,0.442,33
0.378,0.595,33
0.45,0.553,7
0.531,0.463,31
0.422,0.591,2
0.43,0.563,7
0.354,0.659,32
0.37,0.58,22
0.555,0.42,28
0.386,0.63,5
0.443,0.544,19
0.468,0.482,19
0.4,0.563,1
0.403,0.611,1
0.481,0.529,20
0.421,0.564,20
0.423,0.561,23
0.305,0.622,19
0.44,0.511,14
0.346,0.616,2
0.417,0.508,3
0.378,0.584,16
0.399,0.604,9
0.401,0.598,5
0.454,0.54,16
0.424,0.574,20
0.446,0.506,33
0.38,0.583,12
0.422,0.559,6
0.368,0.588,20
0.41,0.606,20
0.416,0.591,31
0.421,0.552,23
0.297,0.604,0
0.353,0.592,3
0.435,0.524,19
0.353,0.616,22
0.411,0.573,34
0.354,0.594,6
0.412,0.513,34
0.441,0.532,9
0.441,0.526,16
0.358,0.574,0
0.375,0.568,9
0.371,0.601,3
0.364,0.616,29
0.289,0.666,0
0.542,0.493,11
0.493,0.499,20
0.509,0.485,20
0.418,0.533,5
0.419,0.561,7
0.478,0.514,16
0.377,0.614,20
0.418,0.567,26
0.443,0.571,6
0.423,0.608,27
0.423,0.568,9
0.427,0.584,14
0.435,0.526,28
0.42,0.488,20
0.45,0.488,19
0.417,0.594,19
0.381,0.6,26
0.438,0.531,1
0.484,0.52,27
0.352,0.601,0
0.306,0.62,0
0.312,0.607,0
0.321,0.625,23
0.426,0.559,20
0.498,0.466,9
0.338,0.641,1
0.379,0.609,22
0.391,0.573,31
0.432,0.6,20
0.353,0.525,19
0.449,0.564,5
0.448,0.537,9
0.411,0.579,20
0.407,0.551,29
0.374,0.606,6
0.414,0.516,9
0.389,0.59,7
0.361,0.6,0
0.476,0.537,33
0.379,0.61,18
0.443,0.57,23
0.336,0.597,11
0.381,0.557,17
0.486,0.494,5
0.634,0.397,13
0.445,0.577,10
0.585,0.416,33
0.548,0.467,31
0.417,0.463,28
0.444,0.528,29
0.403,0.571,23
0.4,0.603,16
0.463,0.495,9
0.378,0.562,6
0.458,0.573,14
0.427,0.523,5
0.484,0.568,18
0.415,0.608,20
0.392,0.572,10
0.503,0.499,33
0.37,0.623,32
0.419,0.626,11
0.41,0.588,26
0.497,0.487,7
0.426,0.533,21
0.425,0.468,3
0.428,0.536,34
0.409,0.586,26
0.339,0.633,20
0.339,0.644,9
0.367,0.624,31
0.386,0.602,26
