shannon,fisher,site
0.428,0.602,5
0.565,0.458,19
0.528,0.528,19
0.478,0.566,5
0.654,0.366,28
0.525,0.48,0
0.437,0.587,16
0.528,0.517,5
0.465,0.53,22
0.426,0.594,11
0.454,0.575,12
0.544,0.486,9
0.608,0.407,30
0.58,0.431,0
0.588,0.43,29
0.644,0.366,29
0.393,0.639,20
0.609,0.364,4
0.348,0.628,27
0.561,0.489,5
0.375,0.604,7
0.38,0.621,7
0.467,0.551,20
0.688,0.323,21
0.475,0.503,20
0.361,0.598,15
0.373,0.573,13
0.376,0.638,8
0.516,0.524,29
0.352,0.572,22
0.339,0.616,23
0.527,0.502,22
0.617,0.422,30
0.354,0.601,31
0.416,0.556,33
0.547,0.475,5
0.652,0.358,0
0.495,0.519,14
0.615,0.417,0
0.594,0.438,9
0.4,0.614,20
0.522,0.514,0
0.443,0.551,11
0.429,0.544,15
0.416,0.566,31
0.467,0.537,17
0.584,0.447,0
0.349,0.644,22
0.419,0.552,20
0.533,0.476,0
0.308,0.637,32
0.409,0.576,11
0.418,0.583,20
0.417,0.579,1
0.316,0.63,31
0.65,0.349,0
0.651,0.387,28
0.636,0.379,0
0.492,0.533,26
0.335,0.619,33
0.301,0.628,33
0.354,0.64,34
0.488,0.528,2
0.392,0.594,34
0.407,0.609,16
0.445,0.585,16
0.395,0.524,18
0.683,0.343,28
0.674,0.349,28
0.37,0.579,33
0.538,0.493,29
0.407,0.562,19
0.653,0.362,0
0.36,0.635,7
0.62,0.432,28
0.493,0.556,5
0.535,0.489,16
0.356,0.631,23
0.596,0.428,9
0.378,0.633,20
0.573,0.436,5
0.487,0.525,1
0.536,0.491,0
0.614,0.425,28
0.509,0.527,5
0.52,0.542,19
0.554,0.439,26
0.409,0.553,17
0.625,0.387,5
0.518,0.506,4
0.466,0.556,2
0.577,0.435,1
0.272,0.637,31
0.44,0.583,7
0.537,0.467,4
0.495,0.508,19
0.404,0.587,11
0.289,0.622,31
0.462,0.562,16
0.498,0.52,5
0.403,0.594,20
0.448,0.554,23
0.421,0.569,20
0.433,0.581,17
0.295,0.656,32
0.34,0.678,22
0.538,0.471,9
0.513,0.523,14
0.429,0.466,15
0.388,0.593,20
0.469,0.565,5
0.532,0.518,5
0.522,0.488,4
0.444,0.527,34
0.495,0.52,6
0.365,0.579,18
0.359,0.624,11
0.516,0.511,5
0.333,0.615,33
0.537,0.502,9
0.521,0.544,29
0.598,0.419,30
0.482,0.521,5
0.445,0.504,34
0.386,0.594,33
0.52,0.471,30
0.36,0.629,20
0.454,0.553,26
0.509,0.519,9
0.464,0.549,8
0.482,0.546,5
0.563,0.454,34
0.508,0.535,5
0.381,0.63,20
0.403,0.586,20
0.249,0.634,32
0.417,0.612,1
0.401,0.613,26
0.47,0.555,5
0.256,0.648,31
0.467,0.546,34
0.593,0.422,5
0.439,0.545,8
0.407,0.544,33
0.315,0.595,31
0.428,0.588,10
0.302,0.581,15
0.472,0.545,1
0.244,0.659,31
0.451,0.562,6
0.672,0.34,3
0.406,0.561,10
0.505,0.508,16
0.644,0.395,9
0.439,0.557,34
0.472,0.519,5
0.442,0.587,20
0.513,0.516,5
0.551,0.482,30
0.521,0.49,10
0.593,0.425,19
0.432,0.556,8
0.553,0.46,30
0.351,0.57,32
0.315,0.62,32
0.277,0.646,31
0.399,0.614,7
0.546,0.459,12
0.56,0.488,19
0.36,0.64,10
0.406,0.591,26
0.445,0.548,7
0.377,0.601,33
0.554,0.468,5
0.458,0.59,6
0.522,0.458,1
0.541,0.476,9
0.445,0.517,22
0.407,0.55,23
0.506,0.484,7
0.35,0.59,31
0.362,0.604,22
0.58,0.412,5
0.441,0.527,17
0.535,0.501,29
0.516,0.505,25
0.512,0.538,29
0.503,0.515,16
0.491,0.553,2
0.38,0.556,23
0.556,0.444,29
0.544,0.486,29
0.428,0.559,20
0.503,0.47,1
0.562,0.474,9
0.48,0.531,6
0.499,0.525,5
0.511,0.506,34
0.6,0.429,5
0.586,0.434,0
0.299,0.687,22
0.297,0.675,17
0.459,0.515,20
0.52,0.497,16
0.677,0.337,21
0.497,0.519,20
0.518,0.496,14
0.434,0.576,20
0.695,0.321,28
0.358,0.631,31
0.542,0.511,19
0.626,0.4,9
0.657,0.367,9
0.59,0.438,30
0.609,0.392,16
0.407,0.58,20
0.497,0.506,10
0.442,0.593,2
0.281,0.614,33
0.363,0.655,20
0.496,0.542,9
0.491,0.528,20
0.389,0.608,25
0.279,0.645,27
0.63,0.375,21
0.614,0.446,19
0.633,0.383,21
0.389,0.604,10
0.395,0.603,19
0.402,0.576,23
0.418,0.586,20
0.551,0.496,19
0.309,0.652,22
0.363,0.598,17
0.492,0.524,2
0.398,0.588,13
0.477,0.545,6
0.427,0.557,8
0.457,0.57,5
0.478,0.527,20
0.424,0.599,16
0.418,0.586,6
0.648,0.379,3
0.45,0.556,34
0.265,0.634,33
0.316,0.583,17
0.267,0.629,23
0.417,0.544,23
0.515,0.543,5
0.456,0.553,34
0.437,0.594,16
0.428,0.501,33
0.446,0.575,5
0.377,0.655,20
0.48,0.556,2
0.515,0.478,1
0.427,0.55,34
0.418,0.592,10
0.541,0.496,16
0.577,0.448,0
0.341,0.669,20
0.647,0.368,5
0.507,0.49,1
0.376,0.606,33
0.522,0.451,23
0.5,0.531,6
0.412,0.582,22
0.631,0.409,28
0.342,0.646,22
0.478,0.525,6
0.354,0.621,33
0.66,0.369,28
0.531,0.502,29
0.458,0.509,11
0.437,0.538,20
0.65,0.364,21
0.486,0.528,2
0.529,0.519,29
0.422,0.612,2
0.425,0.59,20
0.619,0.432,3
0.452,0.545,10
0.385,0.541,18
0.343,0.651,20
0.479,0.531,8
0.495,0.52,10
0.529,0.479,9
0.469,0.545,20
0.402,0.609,14
0.362,0.623,18
0.426,0.603,2
0.423,0.57,22
0.427,0.607,5
0.449,0.565,26
0.448,0.625,5
0.342,0.627,17
0.38,0.62,8
0.363,0.612,34
0.553,0.459,4
0.479,0.545,2
0.526,0.535,0
0.345,0.591,32
0.396,0.602,10
0.407,0.566,20
0.649,0.368,28
0.574,0.429,5
0.293,0.62,13
0.526,0.534,19
0.561,0.46,29
0.546,0.441,1
0.47,0.556,5
0.37,0.588,33
0.516,0.5,1
0.587,0.45,19
0.479,0.589,19
0.531,0.52,19
0.529,0.504,5
0.323,0.568,31
0.483,0.546,5
0.601,0.448,3
0.477,0.529,5
0.478,0.534,14
0.509,0.491,10
0.395,0.602,8
0.409,0.575,23
0.575,0.47,9
0.245,0.635,31
0.446,0.522,33
0.357,0.557,15
0.315,0.598,18
0.291,0.633,18
0.438,0.547,11
0.323,0.622,7
0.48,0.563,5
0.491,0.546,16
0.428,0.59,5
0.504,0.513,5
0.642,0.35,29
0.421,0.617,20
0.607,0.398,9
0.453,0.562,14
0.625,0.413,21
0.358,0.619,20
0.373,0.61,27
0.636,0.403,3
0.424,0.613,5
0.303,0.613,33
0.446,0.523,7
0.283,0.628,15
0.394,0.63,20
0.364,0.606,33
0.264,0.639,33
0.501,0.555,5
0.712,0.298,3
0.353,0.457,15
0.411,0.592,20
0.515,0.504,10
0.492,0.508,1
0.306,0.653,33
0.399,0.608,11
0.514,0.549,29
0.634,0.383,21
0.44,0.497,26
0.455,0.57,12
0.348,0.626,23
0.575,0.487,0
0.414,0.588,11
0.432,0.548,33
0.234,0.618,32
0.424,0.538,27
0.59,0.46,9
0.403,0.6,20
0.517,0.525,16
0.393,0.611,26
0.424,0.567,26
0.398,0.619,20
0.524,0.485,26
0.414,0.569,1
0.585,0.447,30
0.389,0.597,11
0.586,0.422,2
0.562,0.482,0
0.396,0.605,20
0.586,0.457,3
0.271,0.67,18
0.346,0.64,20
0.354,0.625,23
0.308,0.568,15
0.395,0.611,20
0.49,0.545,5
0.459,0.541,7
0.612,0.447,28
0.668,0.35,28
0.432,0.549,20
0.468,0.533,7
0.341,0.597,15
0.61,0.408,29
0.602,0.442,29
0.699,0.304,21
0.43,0.554,34
0.417,0.602,5
0.365,0.607,33
0.527,0.52,19
0.403,0.551,33
0.392,0.573,20
