shannon,fisher,site
0.396,0.632,5
0.495,0.527,19
0.443,0.601,19
0.446,0.6,5
0.453,0.499,28
0.356,0.601,0
0.405,0.609,16
0.489,0.573,5
0.51,0.53,22
0.459,0.545,11
0.417,0.602,12
0.445,0.537,9
0.484,0.505,30
0.472,0.513,0
0.513,0.467,29
0.547,0.47,29
0.443,0.618,20
0.498,0.483,4
0.399,0.625,27
0.495,0.533,5
0.417,0.628,7
0.427,0.612,7
0.525,0.552,20
0.484,0.517,21
0.512,0.517,20
0.41,0.638,15
0.412,0.574,13
0.398,0.655,8
0.4,0.596,29
0.393,0.646,22
0.396,0.636,23
0.556,0.506,22
0.489,0.529,30
0.48,0.573,31
0.48,0.543,33
0.495,0.525,5
0.517,0.475,0
0.462,0.562,14
0.488,0.52,0
0.469,0.531,9
0.462,0.62,20
0.358,0.651,0
0.443,0.568,11
0.521,0.535,15
0.553,0.533,31
0.491,0.559,17
0.424,0.581,0
0.431,0.658,22
0.477,0.584,20
0.393,0.581,0
0.449,0.597,32
0.423,0.588,11
0.455,0.612,20
0.374,0.618,1
0.47,0.616,31
0.519,0.465,0
0.415,0.585,28
0.492,0.486,0
0.48,0.572,26
0.424,0.632,33
0.37,0.691,33
0.383,0.63,34
0.457,0.57,2
0.413,0.574,34
0.392,0.634,16
0.418,0.606,16
0.47,0.527,18
0.452,0.515,28
0.425,0.533,28
0.442,0.623,33
0.431,0.591,29
0.338,0.599,19
0.479,0.521,0
0.396,0.661,7
0.354,0.589,28
0.473,0.579,5
0.508,0.529,16
0.422,0.642,23
0.506,0.483,9
0.444,0.599,20
0.482,0.543,5
0.439,0.565,1
0.403,0.569,0
0.381,0.618,28
0.46,0.58,5
0.406,0.609,19
0.56,0.447,26
0.455,0.581,17
0.602,0.423,5
0.397,0.59,4
0.464,0.591,2
0.525,0.497,1
0.397,0.662,31
0.455,0.621,7
0.383,0.592,4
0.42,0.544,19
0.411,0.613,11
0.42,0.628,31
0.424,0.583,16
0.486,0.584,5
0.438,0.617,20
0.478,0.605,23
0.474,0.576,20
0.468,0.603,17
0.451,0.636,32
0.38,0.679,22
0.417,0.545,9
0.45,0.592,14
0.481,0.459,15
0.439,0.625,20
0.456,0.555,5
0.488,0.576,5
0.386,0.601,4
0.435,0.606,34
0.452,0.583,6
0.478,0.569,18
0.41,0.626,11
0.494,0.548,5
0.425,0.62,33
0.433,0.551,9
0.416,0.606,29
0.469,0.521,30
0.443,0.554,5
0.478,0.542,34
0.472,0.571,33
0.414,0.521,30
0.42,0.654,20
0.479,0.527,26
0.404,0.575,9
0.494,0.571,8
0.447,0.588,5
0.576,0.457,34
0.484,0.537,5
0.437,0.616,20
0.463,0.562,20
0.404,0.642,32
0.382,0.647,1
0.397,0.619,26
0.443,0.588,5
0.402,0.668,31
0.485,0.544,34
0.58,0.46,5
0.498,0.549,8
0.498,0.552,33
0.435,0.617,31
0.449,0.591,10
0.35,0.619,15
0.435,0.564,1
0.395,0.651,31
0.393,0.599,6
0.459,0.525,3
0.439,0.572,10
0.463,0.546,16
0.503,0.516,9
0.483,0.539,34
0.445,0.568,5
0.472,0.579,20
0.45,0.548,5
0.408,0.611,30
0.527,0.509,10
0.507,0.488,19
0.457,0.594,8
0.401,0.573,30
0.485,0.565,32
0.458,0.618,32
0.436,0.641,31
0.432,0.635,7
0.485,0.527,12
0.479,0.541,19
0.37,0.639,10
0.426,0.602,26
0.502,0.554,7
0.471,0.616,33
0.523,0.5,5
0.412,0.637,6
0.475,0.538,1
0.446,0.537,9
0.495,0.565,22
0.474,0.548,23
0.524,0.492,7
0.482,0.597,31
0.422,0.624,22
0.523,0.511,5
0.457,0.567,17
0.442,0.561,29
0.507,0.558,25
0.433,0.577,29
0.45,0.565,16
0.488,0.576,2
0.433,0.624,23
0.473,0.525,29
0.442,0.597,29
0.464,0.568,20
0.454,0.541,1
0.443,0.534,9
0.443,0.571,6
0.439,0.572,5
0.522,0.514,34
0.546,0.488,5
0.438,0.545,0
0.35,0.682,22
0.336,0.648,17
0.483,0.548,20
0.481,0.54,16
0.454,0.507,21
0.526,0.517,20
0.48,0.549,14
0.48,0.587,20
0.462,0.526,28
0.481,0.611,31
0.464,0.578,19
0.546,0.45,9
0.554,0.447,9
0.48,0.501,30
0.59,0.448,16
0.436,0.597,20
0.507,0.507,10
0.42,0.615,2
0.37,0.661,33
0.4,0.643,20
0.379,0.6,9
0.536,0.515,20
0.414,0.641,25
0.341,0.641,27
0.413,0.543,21
0.551,0.488,19
0.423,0.534,21
0.427,0.585,10
0.373,0.582,19
0.438,0.611,23
0.455,0.599,20
0.464,0.566,19
0.367,0.658,22
0.396,0.625,17
0.466,0.563,2
0.442,0.614,13
0.452,0.558,6
0.46,0.604,8
0.421,0.578,5
0.51,0.568,20
0.434,0.609,16
0.391,0.651,6
0.45,0.563,3
0.45,0.58,34
0.346,0.67,33
