shannon,fisher,site
0.404,0.633,5
0.488,0.545,19
0.443,0.616,19
0.433,0.608,5
0.444,0.518,28
0.359,0.65,0
0.425,0.603,16
0.484,0.571,5
0.493,0.551,22
0.46,0.573,11
0.423,0.606,12
0.452,0.556,9
0.471,0.538,30
0.468,0.542,0
0.496,0.5,29
0.526,0.497,29
0.442,0.608,20
0.465,0.533,4
0.438,0.603,27
0.479,0.551,5
0.405,0.628,7
0.419,0.615,7
0.511,0.558,20
0.435,0.572,21
0.5,0.517,20
0.411,0.646,15
0.405,0.588,13
0.375,0.679,8
0.382,0.619,29
0.402,0.634,22
0.383,0.63,23
0.529,0.528,22
0.46,0.563,30
0.485,0.57,31
0.464,0.572,33
0.491,0.536,5
0.496,0.537,0
0.462,0.579,14
0.483,0.548,0
0.454,0.536,9
0.437,0.623,20
0.331,0.662,0
0.423,0.58,11
0.519,0.562,15
0.532,0.55,31
0.437,0.6,17
0.413,0.603,0
0.434,0.656,22
0.477,0.572,20
0.378,0.611,0
0.432,0.613,32
0.433,0.605,11
0.444,0.622,20
0.399,0.603,1
0.466,0.602,31
0.48,0.522,0
0.375,0.634,28
0.472,0.539,0
0.467,0.571,26
0.409,0.638,33
0.384,0.676,33
0.388,0.668,34
0.455,0.57,2
0.419,0.588,34
0.397,0.631,16
0.435,0.626,16
0.472,0.545,18
0.448,0.534,28
0.422,0.532,28
0.431,0.63,33
0.427,0.609,29
0.333,0.62,19
0.419,0.577,0
0.389,0.67,7
0.331,0.613,28
0.468,0.595,5
0.51,0.53,16
0.425,0.633,23
0.488,0.509,9
0.433,0.603,20
0.484,0.543,5
0.44,0.583,1
0.403,0.595,0
0.345,0.598,28
0.45,0.584,5
0.397,0.613,19
0.583,0.452,26
0.451,0.603,17
0.588,0.447,5
0.381,0.613,4
0.455,0.581,2
0.501,0.55,1
0.386,0.653,31
0.447,0.623,7
0.39,0.611,4
0.414,0.56,19
0.422,0.624,11
0.412,0.618,31
0.425,0.597,16
0.483,0.582,5
0.42,0.642,20
0.46,0.621,23
0.466,0.587,20
0.428,0.641,17
0.443,0.62,32
0.385,0.683,22
0.415,0.568,9
0.443,0.602,14
0.452,0.516,15
0.426,0.645,20
0.447,0.557,5
0.48,0.582,5
0.383,0.596,4
0.441,0.617,34
0.462,0.592,6
0.507,0.552,18
0.427,0.644,11
0.493,0.552,5
0.433,0.625,33
0.435,0.574,9
0.412,0.613,29
0.446,0.564,30
0.447,0.544,5
0.466,0.549,34
0.477,0.574,33
0.406,0.547,30
0.401,0.653,20
0.483,0.542,26
0.398,0.591,9
0.486,0.572,8
0.45,0.595,5
0.558,0.496,34
0.48,0.545,5
0.425,0.61,20
0.447,0.563,20
0.395,0.652,32
0.411,0.627,1
0.38,0.631,26
0.45,0.586,5
0.406,0.671,31
0.487,0.564,34
0.574,0.457,5
0.506,0.549,8
0.483,0.565,33
0.421,0.622,31
0.442,0.607,10
0.377,0.642,15
0.435,0.57,1
0.386,0.664,31
0.395,0.611,6
0.438,0.537,3
0.43,0.595,10
0.481,0.566,16
0.473,0.566,9
0.474,0.577,34
0.449,0.57,5
0.462,0.587,20
0.448,0.561,5
0.402,0.626,30
0.508,0.541,10
0.507,0.509,19
0.441,0.606,8
0.401,0.583,30
0.497,0.549,32
0.46,0.614,32
0.427,0.65,31
0.416,0.646,7
0.477,0.539,12
0.476,0.552,19
0.365,0.651,10
0.408,0.635,26
0.511,0.549,7
0.473,0.617,33
0.507,0.515,5
0.366,0.66,6
0.494,0.543,1
0.444,0.546,9
0.465,0.594,22
0.466,0.56,23
0.525,0.495,7
0.476,0.602,31
0.452,0.603,22
0.515,0.514,5
0.462,0.551,17
0.422,0.561,29
0.478,0.581,25
0.415,0.603,29
0.443,0.577,16
0.469,0.596,2
0.435,0.605,23
0.461,0.54,29
0.433,0.604,29
0.441,0.571,20
0.458,0.566,1
0.445,0.543,9
0.445,0.594,6
0.43,0.576,5
0.503,0.536,34
0.524,0.521,5
0.456,0.557,0
0.35,0.689,22
0.361,0.676,17
0.476,0.547,20
0.448,0.56,16
0.479,0.558,21
0.52,0.523,20
0.467,0.554,14
0.463,0.596,20
0.45,0.571,28
0.482,0.6,31
0.462,0.584,19
0.53,0.5,9
0.526,0.482,9
0.475,0.539,30
0.574,0.483,16
0.421,0.605,20
0.504,0.522,10
0.416,0.633,2
0.369,0.667,33
0.381,0.649,20
0.394,0.614,9
0.537,0.504,20
0.395,0.645,25
0.356,0.65,27
0.413,0.567,21
0.547,0.503,19
0.416,0.569,21
0.425,0.581,10
0.364,0.608,19
0.432,0.617,23
0.44,0.599,20
0.438,0.588,19
0.368,0.668,22
0.402,0.614,17
0.453,0.581,2
0.463,0.605,13
0.442,0.579,6
0.441,0.606,8
0.422,0.587,5
0.5,0.57,20
0.456,0.605,16
0.394,0.659,6
0.428,0.6,3
0.449,0.587,34
0.362,0.664,33
0.418,0.61,17
0.314,0.686,23
0.474,0.556,23
0.474,0.588,5
0.45,0.597,34
0.414,0.617,16
0.473,0.599,33
0.395,0.613,5
