shannon,fisher,site
0.432,0.618,5
0.571,0.478,19
0.532,0.544,19
0.494,0.567,5
0.668,0.341,28
0.512,0.531,0
0.437,0.597,16
0.537,0.526,5
0.448,0.532,22
0.437,0.551,11
0.486,0.545,12
0.556,0.468,9
0.599,0.423,30
0.603,0.428,0
0.593,0.419,29
0.635,0.409,29
0.381,0.61,20
0.598,0.4,4
0.348,0.65,27
0.555,0.484,5
0.384,0.632,7
0.392,0.611,7
0.478,0.582,20
0.695,0.325,21
0.471,0.52,20
0.329,0.624,15
0.373,0.568,13
0.373,0.636,8
0.518,0.535,29
0.337,0.628,22
0.335,0.648,23
0.507,0.523,22
0.612,0.436,30
0.331,0.579,31
0.397,0.571,33
0.532,0.503,5
0.647,0.382,0
0.502,0.535,14
0.626,0.415,0
0.577,0.468,9
0.405,0.642,20
0.525,0.549,0
0.441,0.543,11
0.436,0.561,15
0.41,0.596,31
0.452,0.565,17
0.597,0.436,0
0.354,0.668,22
0.432,0.603,20
0.551,0.488,0
0.29,0.607,32
0.403,0.581,11
0.393,0.642,20
0.425,0.6,1
0.313,0.647,31
0.658,0.368,0
0.666,0.364,28
0.635,0.372,0
0.477,0.559,26
0.326,0.628,33
0.27,0.674,33
0.356,0.638,34
0.479,0.544,2
0.4,0.576,34
0.417,0.599,16
0.456,0.594,16
0.378,0.572,18
0.687,0.332,28
0.671,0.348,28
0.346,0.613,33
0.531,0.53,29
0.403,0.578,19
0.649,0.37,0
0.351,0.665,7
0.619,0.436,28
0.511,0.548,5
0.539,0.5,16
0.361,0.655,23
0.614,0.399,9
0.39,0.614,20
0.537,0.504,5
0.497,0.528,1
0.562,0.477,0
0.641,0.406,28
0.499,0.563,5
0.506,0.566,19
0.545,0.449,26
0.411,0.538,17
0.626,0.383,5
0.509,0.522,4
0.473,0.571,2
0.575,0.435,1
0.238,0.637,31
0.416,0.632,7
0.522,0.5,4
0.485,0.508,19
0.396,0.605,11
0.284,0.616,31
0.46,0.545,16
0.52,0.531,5
0.385,0.644,20
0.42,0.612,23
0.425,0.599,20
0.417,0.608,17
0.281,0.618,32
0.313,0.67,22
0.533,0.501,9
0.514,0.545,14
0.414,0.447,15
0.382,0.642,20
0.503,0.515,5
0.536,0.537,5
0.518,0.501,4
0.423,0.574,34
0.487,0.547,6
0.369,0.582,18
0.379,0.618,11
0.528,0.513,5
0.323,0.616,33
0.557,0.475,9
0.525,0.53,29
0.595,0.425,30
0.488,0.529,5
0.48,0.504,34
0.378,0.564,33
0.539,0.452,30
0.373,0.658,20
0.479,0.538,26
0.527,0.519,9
0.47,0.569,8
0.491,0.542,5
0.563,0.443,34
0.516,0.527,5
0.396,0.606,20
0.418,0.572,20
0.242,0.64,32
0.418,0.633,1
0.402,0.604,26
0.49,0.547,5
0.246,0.65,31
0.475,0.523,34
0.613,0.424,5
0.481,0.52,8
0.418,0.567,33
0.296,0.609,31
0.434,0.583,10
0.282,0.602,15
0.48,0.549,1
0.237,0.645,31
0.433,0.579,6
0.672,0.356,3
0.435,0.567,10
0.504,0.529,16
0.625,0.432,9
0.471,0.528,34
0.489,0.536,5
0.424,0.587,20
0.508,0.536,5
0.555,0.513,30
0.52,0.507,10
0.584,0.451,19
0.424,0.588,8
0.553,0.48,30
0.337,0.6,32
0.299,0.625,32
0.266,0.658,31
0.396,0.629,7
0.547,0.482,12
0.553,0.495,19
0.373,0.635,10
0.431,0.601,26
0.469,0.549,7
0.366,0.637,33
0.558,0.476,5
0.461,0.582,6
0.542,0.475,1
0.558,0.473,9
0.44,0.571,22
0.418,0.555,23
0.498,0.494,7
0.331,0.633,31
0.361,0.62,22
0.569,0.45,5
0.422,0.544,17
0.544,0.503,29
0.501,0.517,25
0.536,0.529,29
0.487,0.551,16
0.505,0.559,2
0.364,0.607,23
0.571,0.466,29
0.543,0.525,29
0.418,0.575,20
0.5,0.511,1
0.568,0.477,9
0.481,0.535,6
0.499,0.528,5
0.51,0.484,34
0.587,0.452,5
0.582,0.46,0
0.289,0.68,22
0.282,0.614,17
0.445,0.556,20
0.513,0.51,16
0.679,0.342,21
0.476,0.541,20
0.523,0.507,14
0.432,0.597,20
0.693,0.325,28
0.325,0.637,31
0.55,0.508,19
0.652,0.368,9
0.662,0.355,9
0.609,0.421,30
0.611,0.407,16
0.399,0.615,20
0.499,0.503,10
0.437,0.599,2
0.277,0.644,33
0.346,0.664,20
0.519,0.537,9
0.497,0.523,20
0.383,0.595,25
0.301,0.624,27
0.644,0.381,21
0.619,0.43,19
0.642,0.373,21
0.426,0.582,10
0.44,0.564,19
0.38,0.62,23
0.405,0.615,20
0.557,0.502,19
0.31,0.671,22
0.361,0.606,17
0.48,0.553,2
0.393,0.601,13
0.481,0.54,6
0.434,0.599,8
0.459,0.576,5
0.463,0.59,20
0.453,0.581,16
0.425,0.613,6
0.656,0.384,3
0.452,0.552,34
0.245,0.624,33
0.315,0.589,17
0.267,0.674,23
0.43,0.553,23
0.517,0.556,5
0.438,0.555,34
0.438,0.598,16
0.401,0.598,33
0.455,0.586,5
0.366,0.643,20
0.474,0.569,2
0.519,0.497,1
0.454,0.525,34
0.424,0.568,10
0.528,0.499,16
0.592,0.45,0
0.346,0.645,20
0.655,0.363,5
0.519,0.495,1
0.366,0.618,33
0.526,0.458,23
0.478,0.547,6
0.402,0.567,22
0.64,0.401,28
0.364,0.65,22
0.488,0.528,6
0.327,0.599,33
0.672,0.357,28
0.535,0.514,29
0.472,0.529,11
0.416,0.558,20
0.661,0.361,21
0.495,0.52,2
0.549,0.521,29
0.416,0.605,2
0.414,0.619,20
0.617,0.449,3
0.444,0.579,10
0.383,0.579,18
0.366,0.65,20
0.475,0.55,8
0.508,0.511,10
0.534,0.508,9
0.467,0.546,20
0.436,0.602,14
0.352,0.589,18
0.422,0.614,2
0.416,0.61,22
0.45,0.595,5
0.438,0.575,26
0.468,0.612,5
0.312,0.614,17
0.368,0.677,8
0.38,0.603,34
0.548,0.474,4
0.477,0.573,2
0.533,0.518,0
0.334,0.602,32
0.414,0.625,10
0.404,0.617,20
0.658,0.371,28
0.555,0.49,5
0.302,0.607,13
0.532,0.525,19
0.563,0.461,29
0.552,0.443,1
0.489,0.559,5
0.354,0.589,33
0.544,0.468,1
0.593,0.454,19
0.486,0.613,19
0.539,0.511,19
0.535,0.504,5
0.319,0.62,31
0.492,0.552,5
0.628,0.426,3
0.481,0.57,5
0.486,0.543,14
0.496,0.535,10
0.412,0.626,8
0.415,0.591,23
0.578,0.478,9
0.249,0.676,31
0.409,0.556,33
0.373,0.557,15
0.334,0.592,18
0.273,0.654,18
0.425,0.557,11
0.335,0.672,7
0.479,0.582,5
0.501,0.541,16
0.437,0.582,5
0.479,0.557,5
0.649,0.352,29
0.427,0.636,20
0.611,0.405,9
0.46,0.582,14
0.64,0.412,21
0.35,0.636,20
0.367,0.607,27
0.625,0.425,3
0.438,0.604,5
0.277,0.637,33
0.456,0.543,7
0.282,0.642,15
0.395,0.627,20
0.332,0.607,33
0.273,0.63,33
0.504,0.558,5
0.706,0.322,3
0.339,0.498,15
0.405,0.604,20
0.497,0.541,10
0.492,0.517,1
0.244,0.655,33
0.413,0.594,11
0.515,0.567,29
0.661,0.365,21
0.443,0.544,26
0.455,0.564,12
0.382,0.626,23
0.585,0.472,0
0.421,0.591,11
0.417,0.608,33
0.188,0.567,32
0.444,0.517,27
0.599,0.457,9
0.402,0.603,20
0.508,0.547,16
0.408,0.636,26
0.436,0.586,26
0.416,0.622,20
0.533,0.487,26
0.422,0.599,1
0.59,0.458,30
0.386,0.598,11
0.583,0.426,2
0.565,0.482,0
0.399,0.599,20
0.611,0.454,3
0.269,0.62,18
0.345,0.68,20
0.343,0.65,23
0.281,0.591,15
0.382,0.606,20
0.465,0.57,5
0.47,0.564,7
0.631,0.404,28
0.679,0.349,28
0.411,0.592,20
0.443,0.587,7
0.332,0.62,15
0.598,0.439,29
0.583,0.46,29
0.714,0.29,21
0.434,0.575,34
0.409,0.619,5
0.328,0.607,33
0.536,0.498,19
0.418,0.544,33
0.396,0.628,20
0.274,0.638,31
0.472,0.554,6
0.437,0.613,20
0.478,0.557,2
0.639,0.401,28
0.591,0.45,9
0.436,0.601,2
0.278,0.643,33
0.517,0.51,1
0.466,0.55,34
0.334,0.617,15
0.487,0.517,23
0.563,0.498,0
0.381,0.576,15
0.251,0.631,32
0.626,0.411,0
0.51,0.524,16
0.418,0.59,26
0.402,0.61,20
0.544,0.467,19
0.339,0.608,13
0.571,0.467,0
0.422,0.601,25
0.424,0.645,14
0.397,0.58,33
0.354,0.663,20
0.46,0.537,33
0.438,0.54,25
0.548,0.494,5
0.3,0.605,31
0.415,0.602,10
0.49,0.545,5
0.419,0.614,14
0.37,0.592,33
0.644,0.406,3
0.458,0.571,2
0.549,0.527,29
0.523,0.511,4
0.263,0.671,31
0.425,0.604,1
0.6,0.427,9
0.284,0.547,31
0.411,0.577,25
0.538,0.54,19
0.549,0.507,29
0.56,0.48,9
0.326,0.652,23
0.437,0.584,7
0.267,0.61,31
0.601,0.418,9
0.344,0.668,8
0.448,0.609,16
0.593,0.446,29
0.552,0.497,9
0.492,0.489,33
0.318,0.631,17
0.596,0.42,9
0.461,0.544,20
0.418,0.59,27
0.548,0.471,4
0.408,0.602,7
0.246,0.643,13
0.519,0.504,14
0.585,0.447,9
0.464,0.547,7
0.531,0.496,29
0.624,0.439,3
0.505,0.524,12
0.493,0.538,1
0.609,0.423,9
0.476,0.529,19
0.514,0.514,2
0.481,0.524,1
0.414,0.599,20
0.539,0.493,9
0.567,0.471,5
0.445,0.576,7
0.347,0.6,31
0.33,0.642,33
0.547,0.5,29
0.493,0.532,5
0.317,0.589,33
0.509,0.508,5
0.446,0.587,26
0.316,0.619,31
0.588,0.451,29
0.557,0.5,29
0.278,0.647,31
0.416,0.595,7
0.4,0.601,20
0.679,0.353,3
0.374,0.603,27
0.625,0.423,0
0.383,0.608,27
0.48,0.551,10
0.244,0.642,13
0.539,0.496,5
0.39,0.571,23
0.451,0.596,16
0.291,0.571,13
0.399,0.612,20
0.435,0.573,10
0.418,0.561,7
0.244,0.681,31
0.338,0.671,20
0.238,0.655,31
0.626,0.385,4
0.541,0.512,29
0.432,0.6,26
0.457,0.571,1
0.247,0.6,32
0.467,0.531,19
0.606,0.449,5
0.394,0.557,33
0.639,0.392,21
0.232,0.601,31
0.273,0.59,15
0.399,0.61,25
0.429,0.536,17
0.561,0.471,5
0.476,0.539,27
0.525,0.553,19
0.382,0.643,8
0.497,0.54,20
0.323,0.651,18
0.505,0.545,5
0.271,0.654,31
0.376,0.596,23
0.56,0.468,29
0.314,0.593,32
0.447,0.587,10
0.343,0.61,31
0.657,0.381,3
0.275,0.659,31
0.509,0.575,29
0.536,0.479,5
0.44,0.571,25
0.452,0.593,20
0.496,0.547,26
0.477,0.552,7
0.546,0.465,33
0.314,0.643,33
0.448,0.561,7
0.498,0.499,31
0.461,0.602,2
0.426,0.587,7
0.252,0.612,32
0.375,0.571,22
0.743,0.25,28
0.511,0.56,5
0.562,0.5,19
0.576,0.451,19
0.499,0.534,1
0.478,0.581,1
0.472,0.556,20
0.402,0.581,20
0.41,0.6,23
0.495,0.583,19
0.533,0.464,14
0.415,0.611,2
0.658,0.367,3
0.446,0.564,16
0.579,0.453,9
0.489,0.559,5
0.494,0.525,16
0.42,0.554,20
0.412,0.557,33
0.498,0.552,12
0.5,0.541,6
0.379,0.637,20
0.402,0.615,20
0.311,0.622,31
0.381,0.616,23
0.532,0.547,0
0.64,0.404,3
0.54,0.435,19
0.329,0.635,22
0.426,0.55,34
0.444,0.568,6
0.446,0.521,34
0.582,0.458,9
0.516,0.498,16
0.562,0.495,0
0.563,0.478,9
0.644,0.406,3
0.56,0.498,29
0.519,0.583,0
0.545,0.482,11
0.501,0.507,20
0.503,0.501,20
0.514,0.497,5
0.407,0.612,7
0.553,0.482,16
0.355,0.668,20
0.454,0.58,26
0.51,0.527,6
0.44,0.577,27
0.567,0.479,9
0.52,0.499,14
0.688,0.333,28
0.373,0.651,20
0.56,0.486,19
0.563,0.493,19
0.441,0.566,26
0.533,0.476,1
0.468,0.536,27
0.571,0.477,0
0.516,0.524,0
0.545,0.487,0
0.325,0.638,23
0.438,0.565,20
0.634,0.403,9
0.435,0.587,1
0.36,0.607,22
0.335,0.583,31
0.454,0.572,20
0.397,0.594,19
0.525,0.54,5
0.612,0.401,9
0.41,0.601,20
0.547,0.506,29
0.453,0.555,6
0.585,0.453,9
0.417,0.591,7
0.532,0.54,0
0.414,0.578,33
0.312,0.627,18
0.423,0.595,23
0.395,0.569,11
0.376,0.572,17
0.538,0.489,5
0.631,0.387,13
0.498,0.553,10
0.538,0.447,33
0.42,0.538,31
0.699,0.3,28
0.549,0.467,29
0.409,0.58,23
0.478,0.592,16
0.584,0.455,9
0.471,0.574,6
0.52,0.523,14
0.521,0.518,5
0.419,0.556,18
0.407,0.621,20
0.439,0.594,10
0.47,0.526,33
0.229,0.611,32
0.407,0.578,11
0.446,0.578,26
0.483,0.514,7
0.675,0.35,21
0.658,0.384,3
0.467,0.517,34
0.437,0.586,26
0.333,0.673,20
0.512,0.547,9
0.284,0.606,31
0.455,0.561,26
0.433,0.617,5
0.557,0.494,19
0.418,0.608,20
0.318,0.606,32
0.42,0.587,34
0.211,0.646,33
0.698,0.308,28
0.48,0.559,1
0.56,0.487,30
0.645,0.397,28
0.456,0.591,5
0.653,0.394,3
0.382,0.576,27
0.443,0.548,25
0.485,0.531,10
0.405,0.637,5
0.582,0.458,5
0.282,0.611,31
0.687,0.339,28
0.376,0.603,20
0.374,0.643,7
0.285,0.677,22
0.589,0.472,19
0.437,0.588,7
0.386,0.655,2
0.409,0.579,11
0.417,0.572,8
0.642,0.403,28
0.391,0.565,25
0.474,0.569,16
0.392,0.547,33
0.531,0.529,2
0.376,0.609,22
0.323,0.577,18
0.24,0.599,32
0.673,0.35,28
0.277,0.682,23
0.652,0.363,6
0.519,0.525,7
0.418,0.635,5
0.312,0.619,33
0.432,0.606,5
0.431,0.583,20
0.629,0.419,3
0.592,0.433,9
0.459,0.562,5
0.462,0.466,15
0.34,0.632,18
0.642,0.353,0
0.461,0.503,15
0.356,0.576,31
0.321,0.581,31
0.343,0.604,13
0.488,0.591,19
0.482,0.527,10
0.451,0.59,2
0.348,0.645,22
0.565,0.489,9
0.427,0.6,16
0.532,0.501,1
0.286,0.598,31
0.428,0.591,20
0.454,0.591,2
0.435,0.577,20
0.369,0.628,11
0.44,0.521,17
0.36,0.632,23
0.461,0.58,2
0.372,0.667,23
0.304,0.624,13
0.584,0.441,4
0.39,0.647,20
0.604,0.421,29
0.653,0.365,9
0.596,0.384,1
0.413,0.596,11
0.386,0.61,22
0.33,0.581,31
0.391,0.582,33
0.653,0.381,3
0.355,0.649,7
0.549,0.476,5
0.719,0.292,28
0.287,0.628,31
0.403,0.591,25
0.445,0.588,2
0.462,0.5,34
0.501,0.506,14
0.456,0.562,10
0.616,0.387,0
0.584,0.449,19
0.499,0.519,1
0.505,0.581,9
0.396,0.571,23
0.299,0.637,31
0.373,0.592,17
0.329,0.654,33
0.366,0.634,7
0.573,0.463,12
0.272,0.607,32
0.659,0.374,28
0.628,0.396,0
0.599,0.442,0
0.485,0.54,14
0.257,0.614,31
0.274,0.613,15
0.494,0.567,5
0.559,0.499,5
0.513,0.514,5
0.336,0.681,7
0.481,0.522,13
0.446,0.571,7
0.62,0.373,29
0.516,0.545,16
0.398,0.575,22
0.416,0.583,20
0.326,0.619,31
0.449,0.542,5
0.348,0.603,31
0.462,0.532,23
0.383,0.572,27
0.342,0.662,22
0.188,0.621,32
0.528,0.517,29
0.549,0.486,29
0.454,0.585,7
0.413,0.609,7
0.394,0.626,20
0.46,0.52,34
0.478,0.565,5
0.539,0.487,4
0.478,0.549,7
0.304,0.654,33
0.422,0.61,23
0.553,0.433,13
0.559,0.455,1
0.465,0.56,20
0.561,0.461,12
0.447,0.572,16
0.332,0.642,33
0.407,0.595,23
0.416,0.627,2
0.552,0.49,9
0.6,0.426,9
0.45,0.593,16
0.352,0.658,20
0.486,0.52,12
0.406,0.617,10
0.385,0.637,23
0.523,0.535,5
0.471,0.556,5
0.296,0.631,32
0.776,0.201,3
0.42,0.595,6
0.47,0.545,27
0.423,0.625,7
0.51,0.517,12
0.646,0.391,3
0.623,0.376,0
0.563,0.492,19
0.209,0.602,31
0.452,0.585,2
0.477,0.571,1
0.414,0.599,31
0.354,0.635,11
0.472,0.571,10
0.481,0.549,5
0.24,0.642,31
0.384,0.641,7
0.564,0.489,5
0.488,0.547,5
0.649,0.379,28
0.4,0.562,33
0.388,0.643,7
0.442,0.561,7
0.705,0.313,28
0.418,0.583,20
0.341,0.667,20
0.484,0.538,5
0.541,0.511,19
0.275,0.621,13
0.453,0.576,2
0.655,0.386,28
0.469,0.522,22
0.293,0.571,31
0.448,0.607,20
0.582,0.454,0
0.224,0.628,32
0.481,0.527,1
0.492,0.545,2
0.641,0.367,3
0.492,0.526,5
0.327,0.652,23
0.29,0.621,31
0.422,0.574,23
0.361,0.675,20
0.429,0.632,2
0.262,0.614,33
0.363,0.579,15
0.441,0.588,5
0.432,0.597,7
0.597,0.433,19
0.461,0.592,14
0.518,0.532,5
0.431,0.601,5
0.499,0.574,5
0.34,0.619,33
0.489,0.571,14
0.471,0.548,34
0.357,0.662,20
0.268,0.614,31
0.381,0.592,13
0.58,0.439,0
0.398,0.591,25
0.596,0.445,0
0.518,0.5,12
0.551,0.517,29
0.393,0.553,13
0.697,0.317,28
0.407,0.572,11
0.447,0.537,10
0.608,0.437,3
0.283,0.601,31
0.303,0.603,31
0.56,0.494,5
0.386,0.56,18
0.439,0.605,5
0.434,0.598,6
0.578,0.438,2
0.736,0.253,0
0.336,0.624,18
0.397,0.62,20
0.365,0.618,17
0.309,0.602,32
0.349,0.614,31
0.693,0.33,3
0.465,0.579,14
0.254,0.608,31
0.616,0.407,9
0.546,0.462,12
0.486,0.586,5
0.266,0.636,32
0.483,0.548,14
0.335,0.663,7
0.392,0.616,8
0.422,0.566,34
0.458,0.494,34
0.579,0.459,9
0.383,0.61,20
0.417,0.557,31
0.353,0.561,32
0.244,0.62,32
0.444,0.571,20
0.432,0.579,8
0.436,0.556,33
0.446,0.591,20
0.355,0.606,13
0.484,0.545,5
0.45,0.587,1
0.521,0.499,5
0.509,0.507,22
0.346,0.613,31
0.399,0.611,25
0.415,0.607,20
0.371,0.563,13
0.445,0.575,5
0.585,0.437,9
0.357,0.674,7
0.616,0.396,9
0.36,0.611,33
0.425,0.562,25
0.392,0.62,23
0.498,0.507,5
0.451,0.55,10
0.483,0.535,26
0.434,0.618,5
0.559,0.45,14
0.676,0.354,3
0.495,0.511,12
0.385,0.644,20
0.529,0.5,12
0.376,0.603,11
0.264,0.651,27
0.329,0.608,33
0.627,0.436,3
0.449,0.553,20
0.407,0.61,27
0.397,0.604,8
0.698,0.311,28
0.437,0.588,10
0.285,0.629,33
0.43,0.581,20
0.529,0.472,14
0.47,0.607,2
0.452,0.588,16
0.393,0.654,8
0.486,0.533,5
0.455,0.599,2
0.628,0.439,3
0.349,0.589,33
0.507,0.481,11
0.29,0.586,13
0.53,0.514,2
0.386,0.623,17
0.553,0.524,19
0.488,0.541,20
0.497,0.551,1
0.442,0.588,10
0.464,0.564,16
0.296,0.627,33
0.539,0.512,9
0.534,0.479,5
0.49,0.551,14
0.425,0.564,25
0.609,0.429,4
0.481,0.492,34
0.498,0.511,16
0.42,0.588,20
0.308,0.619,33
0.512,0.52,12
0.639,0.424,3
0.507,0.483,20
0.327,0.625,18
0.443,0.564,27
0.474,0.556,25
0.586,0.434,9
0.547,0.51,12
0.693,0.292,0
0.316,0.64,18
0.59,0.425,30
0.487,0.547,14
0.367,0.646,23
0.581,0.445,0
0.382,0.631,25
0.336,0.582,13
0.473,0.59,5
0.563,0.509,19
0.538,0.506,30
0.463,0.543,2
0.475,0.519,19
0.543,0.491,29
0.545,0.501,29
0.528,0.528,9
0.493,0.52,6
0.703,0.302,28
0.435,0.576,26
0.513,0.503,4
0.595,0.448,30
0.572,0.478,9
0.397,0.619,7
0.519,0.547,5
0.626,0.416,3
0.408,0.572,32
0.474,0.54,20
0.618,0.407,0
0.505,0.526,7
0.366,0.614,20
0.577,0.48,0
0.657,0.379,3
0.502,0.501,4
0.458,0.552,25
0.494,0.55,14
0.565,0.47,5
0.608,0.407,9
0.457,0.563,2
0.703,0.292,28
0.534,0.44,11
0.423,0.586,20
0.379,0.601,27
0.462,0.565,5
0.551,0.488,0
0.277,0.569,32
0.364,0.601,31
0.635,0.413,3
0.304,0.613,22
0.525,0.514,4
0.25,0.605,33
0.51,0.508,16
0.466,0.531,34
0.47,0.564,20
0.4,0.651,20
0.469,0.519,19
0.37,0.623,25
0.527,0.529,29
0.659,0.366,21
0.314,0.678,23
0.52,0.492,6
0.463,0.554,20
0.499,0.539,16
0.275,0.635,32
0.593,0.414,9
0.468,0.53,33
0.625,0.408,0
0.456,0.566,6
0.405,0.578,7
0.316,0.545,18
0.589,0.44,9
0.394,0.634,34
0.548,0.515,4
0.389,0.626,20
0.403,0.577,11
0.265,0.668,33
0.32,0.604,13
0.196,0.659,32
0.392,0.564,31
0.621,0.406,9
0.446,0.595,20
0.444,0.576,10
0.597,0.426,30
0.574,0.456,4
0.559,0.455,4
0.323,0.584,32
0.391,0.636,23
0.615,0.415,0
0.352,0.614,27
0.511,0.504,12
0.4,0.63,26
0.511,0.556,5
0.553,0.509,30
0.634,0.396,0
0.25,0.599,33
0.414,0.604,23
0.39,0.599,17
0.526,0.52,19
0.376,0.643,20
0.335,0.595,31
0.395,0.622,8
0.394,0.615,23
0.428,0.579,25
0.435,0.589,8
0.554,0.518,30
0.461,0.575,12
0.402,0.615,10
0.463,0.58,5
0.361,0.606,32
0.438,0.59,5
0.409,0.606,10
0.273,0.651,27
0.491,0.535,6
0.463,0.543,20
0.405,0.609,7
0.556,0.487,9
0.239,0.604,33
0.47,0.547,23
0.43,0.558,20
0.433,0.551,34
0.48,0.562,5
0.363,0.646,20
0.477,0.574,11
0.368,0.579,18
0.585,0.458,0
0.227,0.661,31
0.408,0.625,7
0.506,0.512,12
0.499,0.507,26
0.357,0.62,17
0.397,0.585,20
0.653,0.388,28
0.66,0.377,3
0.58,0.387,1
0.539,0.463,12
0.367,0.653,7
0.581,0.457,12
