shannon,fisher,site
0.179,0.586,5
0.302,0.559,19
0.262,0.55,19
0.265,0.586,5
0.241,0.527,28
0.2,0.53,0
0.243,0.497,16
0.286,0.611,5
0.365,0.479,22
0.273,0.601,11
0.223,0.615,12
0.264,0.594,9
0.355,0.534,30
0.325,0.475,0
0.368,0.473,29
0.314,0.6,29
0.265,0.516,20
0.349,0.494,4
0.175,0.52,27
0.324,0.556,5
0.177,0.55,7
0.161,0.693,7
0.389,0.539,20
0.297,0.471,21
0.282,0.478,20
0.24,0.591,15
0.205,0.588,13
0.203,0.588,8
0.231,0.59,29
0.177,0.512,22
0.229,0.526,23
0.313,0.56,22
0.365,0.471,30
0.352,0.557,31
0.225,0.588,33
0.31,0.558,5
0.313,0.521,0
0.279,0.618,14
0.292,0.587,0
0.264,0.576,9
0.262,0.688,20
0.151,0.672,0
0.24,0.539,11
0.386,0.557,15
0.372,0.543,31
0.349,0.593,17
0.307,0.598,0
0.185,0.672,22
0.279,0.601,20
0.107,0.583,0
0.202,0.619,32
0.248,0.531,11
0.312,0.573,20
0.122,0.477,1
0.277,0.506,31
0.293,0.51,0
0.283,0.512,28
0.355,0.499,0
0.437,0.546,26
0.251,0.581,33
0.233,0.568,33
0.222,0.641,34
0.302,0.581,2
0.214,0.567,34
0.189,0.53,16
0.258,0.552,16
0.311,0.517,18
0.243,0.618,28
0.274,0.502,28
0.264,0.547,33
0.242,0.616,29
0.172,0.592,19
0.292,0.523,0
0.192,0.543,7
0.194,0.527,28
0.323,0.546,5
0.307,0.46,16
0.169,0.553,23
0.331,0.547,9
0.303,0.552,20
0.354,0.407,5
0.291,0.568,1
0.193,0.489,0
0.111,0.549,28
0.306,0.563,5
0.255,0.562,19
0.34,0.521,26
0.176,0.566,17
0.439,0.483,5
0.202,0.533,4
0.286,0.516,2
0.401,0.486,1
0.183,0.568,31
0.238,0.566,7
0.145,0.569,4
0.204,0.553,19
0.211,0.585,11
0.186,0.638,31
0.198,0.569,16
0.276,0.555,5
0.267,0.634,20
0.24,0.62,23
0.245,0.553,20
0.353,0.528,17
0.279,0.6,32
0.221,0.578,22
0.315,0.58,9
0.286,0.505,14
0.302,0.515,15
0.221,0.442,20
0.253,0.607,5
0.268,0.497,5
0.174,0.449,4
0.289,0.492,34
0.29,0.576,6
0.285,0.608,18
0.16,0.662,11
0.307,0.593,5
0.305,0.468,33
0.208,0.516,9
0.226,0.598,29
0.308,0.516,30
0.172,0.543,5
0.274,0.592,34
0.293,0.508,33
0.163,0.578,30
0.225,0.595,20
0.291,0.587,26
0.217,0.628,9
0.255,0.596,8
0.236,0.579,5
0.413,0.55,34
0.259,0.612,5
0.261,0.537,20
0.245,0.594,20
0.226,0.553,32
0.203,0.537,1
0.186,0.537,26
0.286,0.593,5
0.157,0.618,31
0.325,0.582,34
0.447,0.503,5
0.332,0.572,8
0.309,0.557,33
0.182,0.584,31
0.258,0.586,10
0.114,0.346,15
0.276,0.584,1
0.182,0.582,31
0.189,0.547,6
0.268,0.546,3
0.25,0.481,10
0.242,0.537,16
0.304,0.512,9
0.242,0.621,34
0.287,0.544,5
0.363,0.613,20
0.245,0.497,5
0.3,0.453,30
0.382,0.491,10
0.38,0.476,19
0.315,0.636,8
0.208,0.589,30
0.31,0.517,32
0.221,0.592,32
0.199,0.63,31
0.242,0.539,7
0.344,0.505,12
0.311,0.538,19
0.143,0.499,10
0.194,0.608,26
0.263,0.573,7
0.35,0.582,33
0.326,0.485,5
0.25,0.629,6
0.273,0.543,1
0.216,0.587,9
0.273,0.612,22
0.28,0.52,23
0.287,0.576,7
0.3,0.568,31
0.187,0.495,22
0.292,0.529,5
0.251,0.573,17
0.261,0.516,29
0.361,0.493,25
0.224,0.546,29
0.266,0.561,16
0.275,0.492,2
0.214,0.564,23
0.303,0.55,29
0.272,0.477,29
0.278,0.556,20
0.249,0.578,1
0.246,0.552,9
0.223,0.662,6
0.295,0.519,5
0.355,0.536,34
0.389,0.504,5
0.203,0.631,0
0.173,0.482,22
0.146,0.586,17
0.295,0.545,20
0.353,0.497,16
0.33,0.488,21
0.329,0.532,20
0.304,0.466,14
0.32,0.542,20
0.312,0.519,28
0.289,0.555,31
0.278,0.639,19
0.334,0.454,9
0.363,0.53,9
0.207,0.535,30
0.372,0.541,16
0.289,0.627,20
0.305,0.574,10
0.189,0.583,2
0.26,0.55,33
0.199,0.688,20
0.184,0.511,9
0.334,0.591,20
0.195,0.552,25
0.109,0.557,27
0.248,0.551,21
0.34,0.492,19
0.265,0.566,21
0.218,0.474,10
0.124,0.515,19
