shannon,fisher,site
0.183,0.608,5
0.287,0.579,19
0.246,0.524,19
0.264,0.567,5
0.254,0.557,28
0.153,0.495,0
0.234,0.491,16
0.284,0.633,5
0.366,0.54,22
0.254,0.601,11
0.246,0.589,12
0.257,0.649,9
0.341,0.491,30
0.296,0.449,0
0.354,0.523,29
0.27,0.628,29
0.233,0.482,20
0.312,0.538,4
0.182,0.598,27
0.312,0.598,5
0.192,0.588,7
0.171,0.641,7
0.338,0.585,20
0.276,0.526,21
0.278,0.495,20
0.226,0.645,15
0.188,0.548,13
0.188,0.536,8
0.207,0.556,29
0.168,0.644,22
0.232,0.504,23
0.291,0.603,22
0.348,0.41,30
0.356,0.539,31
0.244,0.558,33
0.314,0.548,5
0.304,0.496,0
0.263,0.536,14
0.262,0.594,0
0.238,0.602,9
0.261,0.647,20
0.144,0.601,0
0.211,0.579,11
0.368,0.579,15
0.347,0.564,31
0.341,0.56,17
0.3,0.546,0
0.185,0.665,22
0.261,0.614,20
0.128,0.544,0
0.189,0.672,32
0.256,0.556,11
0.313,0.551,20
0.119,0.431,1
0.272,0.563,31
0.263,0.5,0
0.221,0.582,28
0.34,0.495,0
0.428,0.537,26
0.253,0.502,33
0.239,0.605,33
0.201,0.635,34
0.311,0.582,2
0.212,0.564,34
0.172,0.533,16
0.258,0.551,16
0.321,0.471,18
0.202,0.564,28
0.237,0.528,28
0.222,0.577,33
0.223,0.664,29
0.161,0.615,19
0.265,0.463,0
0.167,0.587,7
0.16,0.464,28
0.302,0.544,5
0.301,0.469,16
0.167,0.596,23
0.333,0.533,9
0.268,0.581,20
0.345,0.458,5
0.31,0.542,1
0.196,0.453,0
0.11,0.566,28
0.294,0.583,5
0.241,0.53,19
0.323,0.528,26
0.143,0.564,17
0.417,0.492,5
0.17,0.556,4
0.29,0.582,2
0.38,0.503,1
0.173,0.533,31
0.22,0.58,7
0.179,0.583,4
0.184,0.524,19
0.213,0.554,11
0.164,0.638,31
0.174,0.494,16
0.279,0.58,5
0.264,0.557,20
0.254,0.575,23
0.251,0.581,20
0.282,0.577,17
0.34,0.589,32
0.209,0.57,22
0.284,0.601,9
0.302,0.46,14
0.3,0.478,15
0.201,0.464,20
0.23,0.594,5
0.257,0.48,5
0.154,0.634,4
0.271,0.487,34
0.304,0.533,6
0.268,0.657,18
0.178,0.625,11
0.309,0.614,5
0.278,0.473,33
0.189,0.566,9
0.198,0.57,29
0.307,0.491,30
0.159,0.527,5
0.264,0.616,34
0.312,0.535,33
0.172,0.594,30
0.219,0.61,20
0.31,0.583,26
0.191,0.544,9
0.24,0.626,8
0.267,0.606,5
0.399,0.551,34
0.239,0.63,5
0.277,0.559,20
0.224,0.615,20
0.194,0.551,32
0.203,0.594,1
0.188,0.606,26
0.297,0.554,5
0.172,0.593,31
0.325,0.579,34
0.413,0.536,5
0.284,0.556,8
0.268,0.574,33
0.178,0.52,31
0.264,0.611,10
0.115,0.379,15
0.295,0.532,1
0.201,0.566,31
0.16,0.515,6
0.261,0.586,3
0.245,0.484,10
0.263,0.521,16
0.291,0.576,9
0.216,0.652,34
0.291,0.58,5
0.332,0.575,20
0.245,0.493,5
0.276,0.429,30
0.357,0.541,10
0.36,0.508,19
0.304,0.609,8
0.197,0.577,30
0.298,0.52,32
0.226,0.573,32
0.17,0.596,31
0.226,0.557,7
0.359,0.544,12
0.27,0.55,19
0.149,0.512,10
0.139,0.637,26
0.289,0.538,7
0.316,0.603,33
0.329,0.503,5
0.225,0.611,6
0.267,0.589,1
0.203,0.608,9
0.237,0.622,22
0.291,0.543,23
0.259,0.613,7
0.282,0.513,31
0.204,0.59,22
0.275,0.544,5
0.318,0.584,17
0.236,0.569,29
0.324,0.522,25
0.212,0.527,29
0.259,0.496,16
0.27,0.521,2
0.24,0.518,23
0.279,0.592,29
0.251,0.457,29
0.26,0.495,20
0.246,0.567,1
0.247,0.579,9
0.186,0.667,6
0.27,0.563,5
0.361,0.456,34
0.392,0.503,5
0.175,0.637,0
0.135,0.509,22
0.137,0.561,17
0.283,0.584,20
0.307,0.57,16
0.279,0.503,21
0.297,0.492,20
0.299,0.524,14
0.312,0.572,20
0.269,0.594,28
0.304,0.543,31
0.249,0.577,19
0.322,0.548,9
0.353,0.551,9
0.23,0.479,30
0.408,0.535,16
0.268,0.61,20
