shannon,fisher,site
0.212,0.614,5
0.427,0.587,19
0.36,0.517,19
0.317,0.599,5
0.52,0.472,28
0.378,0.553,0
0.262,0.43,16
0.338,0.561,5
0.308,0.47,22
0.213,0.6,11
0.256,0.521,12
0.395,0.598,9
0.503,0.466,30
0.436,0.49,0
0.463,0.471,29
0.421,0.525,29
0.21,0.482,20
0.461,0.439,4
0.127,0.424,27
0.438,0.533,5
0.131,0.539,7
0.151,0.594,7
0.347,0.556,20
0.547,0.466,21
0.267,0.494,20
0.187,0.505,15
0.175,0.52,13
0.172,0.557,8
0.322,0.496,29
0.148,0.501,22
0.173,0.463,23
0.26,0.582,22
0.495,0.373,30
0.225,0.481,31
0.178,0.519,33
0.316,0.595,5
0.459,0.482,0
0.291,0.481,14
0.451,0.571,0
0.397,0.565,9
0.21,0.669,20
0.289,0.588,0
0.242,0.52,11
0.3,0.6,15
0.211,0.502,31
0.31,0.541,17
0.516,0.459,0
0.107,0.58,22
0.229,0.555,20
0.312,0.61,0
0.095,0.552,32
0.216,0.484,11
0.258,0.545,20
0.152,0.483,1
0.159,0.466,31
0.462,0.525,0
0.56,0.436,28
0.521,0.397,0
0.421,0.567,26
0.174,0.454,33
0.145,0.488,33
0.179,0.623,34
0.338,0.59,2
0.177,0.587,34
0.207,0.54,16
0.333,0.569,16
0.235,0.472,18
0.59,0.421,28
0.579,0.422,28
0.21,0.465,33
0.332,0.599,29
0.255,0.603,19
0.435,0.401,0
0.155,0.503,7
0.49,0.449,28
0.349,0.543,5
0.333,0.479,16
0.118,0.541,23
0.494,0.491,9
0.271,0.542,20
0.432,0.435,5
0.325,0.561,1
0.378,0.502,0
0.43,0.548,28
0.351,0.558,5
0.366,0.521,19
0.318,0.541,26
0.129,0.475,17
0.453,0.481,5
0.342,0.592,4
0.302,0.521,2
0.452,0.448,1
0.061,0.477,31
0.201,0.499,7
0.359,0.575,4
0.272,0.505,19
0.205,0.559,11
0.102,0.512,31
0.258,0.579,16
0.322,0.525,5
0.247,0.538,20
0.204,0.562,23
0.205,0.564,20
0.334,0.537,17
0.132,0.449,32
0.195,0.495,22
0.41,0.521,9
0.394,0.498,14
0.247,0.442,15
0.191,0.445,20
0.279,0.548,5
0.356,0.501,5
0.273,0.555,4
0.28,0.493,34
0.333,0.545,6
0.189,0.6,18
0.13,0.626,11
0.347,0.556,5
0.233,0.397,33
0.337,0.529,9
0.335,0.557,29
0.481,0.406,30
0.208,0.568,5
0.274,0.473,34
0.208,0.492,33
0.297,0.586,30
0.189,0.534,20
0.279,0.529,26
0.337,0.567,9
0.228,0.55,8
0.294,0.519,5
0.372,0.588,34
0.312,0.626,5
0.202,0.452,20
0.218,0.548,20
0.069,0.491,32
0.201,0.537,1
0.19,0.548,26
0.34,0.548,5
0.039,0.495,31
0.334,0.606,34
0.486,0.476,5
0.324,0.508,8
0.246,0.519,33
0.087,0.444,31
0.241,0.564,10
0.092,0.325,15
0.253,0.627,1
0.068,0.405,31
0.258,0.566,6
0.561,0.472,3
0.246,0.58,10
0.282,0.491,16
0.488,0.459,9
0.222,0.553,34
0.36,0.572,5
0.338,0.616,20
0.301,0.536,5
0.444,0.45,30
0.363,0.501,10
0.472,0.425,19
0.247,0.589,8
0.379,0.576,30
0.177,0.502,32
0.082,0.531,32
0.07,0.388,31
0.245,0.462,7
0.407,0.478,12
0.388,0.531,19
0.164,0.593,10
0.218,0.552,26
0.24,0.518,7
0.238,0.533,33
0.358,0.562,5
0.349,0.553,6
0.343,0.576,1
0.335,0.579,9
0.193,0.561,22
0.223,0.496,23
0.287,0.564,7
0.182,0.431,31
0.137,0.484,22
0.315,0.569,5
0.23,0.533,17
0.365,0.579,29
0.38,0.422,25
0.294,0.553,29
0.328,0.485,16
0.307,0.532,2
0.162,0.517,23
0.396,0.467,29
0.371,0.534,29
0.228,0.543,20
0.325,0.538,1
0.401,0.587,9
0.266,0.669,6
0.389,0.551,5
0.327,0.58,34
0.461,0.477,5
0.39,0.591,0
0.095,0.473,22
0.095,0.467,17
0.272,0.575,20
0.394,0.459,16
0.529,0.406,21
0.29,0.498,20
0.343,0.467,14
0.298,0.507,20
0.592,0.369,28
0.209,0.469,31
0.391,0.595,19
0.484,0.466,9
0.52,0.459,9
0.368,0.605,30
0.412,0.48,16
0.244,0.591,20
0.306,0.581,10
0.257,0.65,2
0.138,0.536,33
0.186,0.651,20
0.305,0.556,9
0.284,0.564,20
0.135,0.524,25
0.075,0.397,27
0.488,0.505,21
0.433,0.509,19
0.478,0.408,21
0.218,0.51,10
0.182,0.568,19
0.154,0.487,23
0.3,0.517,20
0.461,0.467,19
0.082,0.561,22
0.188,0.504,17
0.289,0.544,2
0.195,0.533,13
0.281,0.527,6
0.251,0.542,8
0.296,0.592,5
0.249,0.469,20
0.233,0.559,16
0.215,0.594,6
0.513,0.504,3
0.196,0.544,34
0.078,0.288,33
0.068,0.42,17
0.112,0.334,23
0.255,0.568,23
0.309,0.545,5
0.205,0.651,34
0.25,0.553,16
0.162,0.498,33
0.206,0.554,5
0.156,0.607,20
0.299,0.542,2
0.37,0.563,1
0.224,0.633,34
0.153,0.542,10
0.445,0.443,16
0.44,0.49,0
0.209,0.584,20
0.525,0.462,5
0.332,0.542,1
0.166,0.589,33
0.253,0.658,23
0.295,0.489,6
0.201,0.474,22
0.48,0.498,28
0.127,0.627,22
0.298,0.628,6
0.12,0.507,33
0.522,0.454,28
0.346,0.562,29
0.25,0.49,11
0.293,0.548,20
0.483,0.53,21
0.339,0.552,2
0.496,0.495,29
0.245,0.58,2
0.243,0.466,20
0.507,0.495,3
0.259,0.58,10
0.202,0.536,18
0.187,0.482,20
0.303,0.522,8
0.309,0.584,10
0.404,0.45,9
0.221,0.504,20
0.274,0.569,14
0.08,0.612,18
0.28,0.569,2
0.235,0.515,22
0.187,0.637,5
0.243,0.462,26
0.242,0.623,5
0.202,0.499,17
0.199,0.64,8
0.156,0.566,34
0.425,0.496,4
0.268,0.629,2
0.377,0.541,0
0.159,0.497,32
0.146,0.56,10
0.237,0.569,20
0.561,0.453,28
0.413,0.529,5
0.109,0.508,13
0.387,0.576,19
0.354,0.493,29
0.374,0.542,1
0.283,0.619,5
0.173,0.416,33
0.332,0.491,1
0.37,0.493,19
0.252,0.607,19
0.287,0.606,19
0.321,0.562,5
0.148,0.625,31
0.323,0.662,5
0.417,0.556,3
0.252,0.552,5
0.291,0.49,14
0.311,0.548,10
0.21,0.587,8
0.242,0.54,23
0.432,0.572,9
0.047,0.387,31
0.326,0.487,33
0.123,0.421,15
0.15,0.432,18
0.097,0.437,18
0.207,0.451,11
0.116,0.518,7
0.299,0.578,5
0.254,0.59,16
0.212,0.604,5
0.3,0.499,5
0.46,0.51,29
0.243,0.549,20
0.407,0.539,9
0.155,0.631,14
0.504,0.518,21
0.141,0.54,20
0.152,0.543,27
0.442,0.576,3
0.186,0.597,5
0.151,0.533,33
0.194,0.511,7
0.163,0.473,15
0.235,0.609,20
0.119,0.581,33
0.135,0.54,33
0.288,0.649,5
0.584,0.411,3
0.177,0.427,15
0.285,0.534,20
0.377,0.558,10
0.288,0.538,1
0.145,0.464,33
0.193,0.562,11
0.326,0.606,29
0.472,0.54,21
0.224,0.56,26
0.173,0.508,12
0.15,0.58,23
0.418,0.588,0
0.226,0.56,11
0.155,0.561,33
0.067,0.418,32
0.246,0.536,27
0.395,0.503,9
0.24,0.52,20
0.398,0.513,16
0.204,0.506,26
0.188,0.545,26
0.204,0.533,20
0.24,0.554,26
0.226,0.628,1
0.475,0.458,30
0.147,0.468,11
0.411,0.515,2
0.451,0.52,0
0.269,0.523,20
0.403,0.558,3
0.159,0.309,18
0.141,0.488,20
0.12,0.637,23
0.125,0.497,15
0.153,0.635,20
0.269,0.631,5
0.206,0.544,7
0.432,0.55,28
0.488,0.507,28
0.287,0.473,20
0.245,0.624,7
0.181,0.472,15
0.472,0.476,29
0.317,0.676,29
0.575,0.411,21
0.24,0.603,34
0.188,0.495,5
0.181,0.378,33
0.316,0.59,19
0.215,0.516,33
0.252,0.497,20
0.128,0.423,31
0.278,0.584,6
0.298,0.604,20
0.34,0.522,2
0.519,0.493,28
0.393,0.535,9
0.211,0.469,2
0.117,0.439,33
0.28,0.636,1
0.339,0.551,34
0.131,0.575,15
0.259,0.54,23
0.446,0.506,0
0.116,0.517,15
0.063,0.398,32
0.445,0.517,0
0.337,0.51,16
0.171,0.539,26
0.248,0.496,20
0.35,0.559,19
0.199,0.585,13
0.395,0.592,0
0.198,0.542,25
0.259,0.484,14
0.117,0.504,33
0.201,0.532,20
0.296,0.421,33
0.245,0.593,25
0.352,0.502,5
0.136,0.478,31
0.246,0.57,10
0.237,0.542,5
0.241,0.549,14
0.174,0.383,33
0.455,0.474,3
0.289,0.516,2
0.343,0.614,29
0.264,0.602,4
0.081,0.399,31
0.249,0.551,1
0.386,0.526,9
0.193,0.481,31
0.151,0.547,25
0.464,0.466,19
0.387,0.509,29
0.336,0.579,9
0.17,0.603,23
0.282,0.547,7
0.107,0.613,31
0.417,0.516,9
0.157,0.607,8
0.254,0.668,16
0.439,0.559,29
0.314,0.523,9
0.314,0.493,33
0.115,0.504,17
0.389,0.568,9
0.272,0.582,20
0.193,0.525,27
0.331,0.592,4
0.249,0.633,7
0.064,0.391,13
0.327,0.523,14
0.39,0.598,9
0.214,0.696,7
0.339,0.496,29
0.468,0.546,3
0.317,0.612,12
0.342,0.542,1
0.476,0.456,9
0.306,0.562,19
0.294,0.611,2
0.263,0.611,1
0.275,0.543,20
0.372,0.518,9
0.401,0.519,5
0.297,0.546,7
0.156,0.423,31
0.095,0.539,33
0.349,0.548,29
0.315,0.599,5
0.233,0.425,33
0.366,0.507,5
0.229,0.571,26
0.069,0.484,31
0.402,0.564,29
0.377,0.597,29
0.128,0.497,31
0.214,0.631,7
0.197,0.527,20
0.569,0.433,3
0.209,0.551,27
0.467,0.487,0
0.128,0.606,27
0.314,0.647,10
0.1,0.404,13
0.367,0.544,5
0.17,0.624,23
0.269,0.56,16
0.107,0.484,13
0.192,0.536,20
0.273,0.547,10
0.277,0.496,7
0.038,0.387,31
0.052,0.442,20
0.083,0.323,31
0.483,0.362,4
0.277,0.63,29
0.178,0.558,26
0.229,0.563,1
0.099,0.5,32
0.246,0.569,19
0.493,0.487,5
0.25,0.612,33
0.516,0.527,21
0.103,0.399,31
0.04,0.288,15
0.222,0.599,25
0.278,0.537,17
0.411,0.558,5
0.226,0.617,27
0.386,0.519,19
0.139,0.558,8
0.267,0.64,20
0.171,0.578,18
0.357,0.573,5
0.174,0.474,31
0.233,0.531,23
0.32,0.566,29
0.112,0.41,32
0.196,0.553,10
0.141,0.466,31
0.54,0.459,3
0.103,0.569,31
0.301,0.611,29
0.421,0.507,5
0.245,0.509,25
0.288,0.372,20
0.322,0.576,26
0.282,0.559,7
0.376,0.455,33
0.196,0.484,33
0.3,0.543,7
0.3,0.566,31
0.288,0.56,2
0.218,0.583,7
0.105,0.355,32
0.136,0.563,22
0.675,0.295,28
0.33,0.572,5
0.413,0.511,19
0.372,0.562,19
0.28,0.632,1
0.236,0.643,1
0.266,0.594,20
0.271,0.668,20
0.173,0.478,23
0.301,0.576,19
0.324,0.599,14
0.212,0.533,2
0.522,0.471,3
0.227,0.633,16
0.383,0.548,9
0.234,0.692,5
0.267,0.564,16
0.24,0.564,20
0.278,0.586,33
0.253,0.545,12
0.327,0.55,6
0.21,0.516,20
0.288,0.544,20
0.06,0.301,31
0.233,0.652,23
0.329,0.536,0
0.445,0.527,3
0.364,0.526,19
0.137,0.51,22
0.176,0.549,34
0.298,0.578,6
0.259,0.567,34
0.348,0.502,9
0.38,0.531,16
0.394,0.554,0
0.35,0.548,9
0.538,0.476,3
0.379,0.558,29
0.305,0.577,0
0.395,0.44,11
0.385,0.491,20
0.352,0.478,20
0.257,0.582,5
0.199,0.49,7
0.31,0.518,16
0.16,0.511,20
0.367,0.611,26
0.269,0.636,6
0.283,0.626,27
0.352,0.56,9
0.29,0.534,14
0.515,0.514,28
0.174,0.471,20
0.398,0.483,19
0.448,0.461,19
0.186,0.657,26
0.268,0.577,1
0.3,0.556,27
0.365,0.556,0
0.272,0.623,0
0.338,0.581,0
0.153,0.646,23
0.245,0.617,20
0.488,0.495,9
0.172,0.598,1
0.222,0.472,22
0.17,0.57,31
0.257,0.605,20
0.233,0.391,19
0.354,0.565,5
0.449,0.511,9
0.225,0.57,20
0.376,0.568,29
0.212,0.527,6
0.426,0.547,9
0.231,0.51,7
0.335,0.539,0
0.234,0.459,33
0.143,0.534,18
0.293,0.587,23
0.229,0.422,11
0.114,0.438,17
0.37,0.551,5
0.453,0.39,13
0.346,0.491,10
0.341,0.489,33
0.3,0.515,31
0.565,0.421,28
0.343,0.537,29
0.18,0.673,23
0.24,0.599,16
0.397,0.511,9
0.258,0.518,6
0.35,0.615,14
0.371,0.52,5
0.322,0.462,18
0.212,0.521,20
0.198,0.573,10
0.277,0.455,33
0.066,0.36,32
0.184,0.662,11
0.242,0.625,26
0.324,0.562,7
0.548,0.474,21
0.535,0.486,3
0.209,0.516,34
0.3,0.564,26
0.17,0.402,20
0.278,0.565,9
0.134,0.365,31
0.176,0.55,26
0.194,0.563,5
0.398,0.528,19
0.278,0.627,20
0.156,0.531,32
0.12,0.548,34
0.023,0.323,33
0.58,0.365,28
0.227,0.679,1
0.359,0.567,30
0.499,0.559,28
0.294,0.584,5
0.499,0.473,3
0.153,0.564,27
0.239,0.604,25
0.309,0.605,10
0.152,0.414,5
0.423,0.522,5
0.085,0.495,31
0.572,0.396,28
0.224,0.655,20
0.231,0.614,7
0.087,0.501,22
0.432,0.415,19
