shannon,fisher,site
0.156,0.592,5
0.301,0.604,19
0.215,0.492,19
0.134,0.619,5
0.178,0.608,28
0.236,0.511,0
0.286,0.422,16
0.316,0.611,5
0.346,0.505,22
0.197,0.521,11
0.201,0.596,12
0.197,0.574,9
0.345,0.484,30
0.297,0.523,0
0.305,0.513,29
0.415,0.435,29
0.255,0.507,20
0.316,0.485,4
0.141,0.606,27
0.288,0.593,5
0.255,0.516,7
0.207,0.637,7
0.325,0.477,20
0.31,0.546,21
0.342,0.585,20
0.23,0.544,15
0.206,0.486,13
0.193,0.458,8
0.204,0.458,29
0.125,0.574,22
0.149,0.547,23
0.325,0.575,22
0.265,0.463,30
0.287,0.663,31
0.254,0.542,33
0.333,0.521,5
0.353,0.569,0
0.22,0.514,14
0.299,0.616,0
0.426,0.491,9
0.228,0.661,20
0.055,0.591,0
0.243,0.595,11
0.244,0.585,15
0.32,0.589,31
0.282,0.611,17
0.19,0.516,0
0.245,0.577,22
0.224,0.59,20
0.163,0.565,0
0.22,0.58,32
0.298,0.564,11
0.277,0.559,20
0.14,0.5,1
0.29,0.642,31
0.324,0.438,0
0.196,0.542,28
0.317,0.521,0
0.324,0.532,26
0.189,0.605,33
0.232,0.535,33
0.149,0.54,34
0.309,0.541,2
0.21,0.599,34
0.259,0.583,16
0.234,0.532,16
0.22,0.495,18
0.246,0.549,28
0.21,0.372,28
0.232,0.493,33
0.239,0.6,29
0.13,0.551,19
0.282,0.501,0
0.174,0.583,7
0.112,0.45,28
0.23,0.607,5
0.313,0.544,16
0.291,0.444,23
0.315,0.498,9
0.245,0.473,20
0.343,0.509,5
0.202,0.608,1
0.165,0.548,0
0.11,0.524,28
0.368,0.563,5
0.169,0.537,19
0.479,0.48,26
0.257,0.578,17
0.426,0.52,5
0.174,0.629,4
0.281,0.417,2
0.283,0.51,1
0.1,0.68,31
0.237,0.556,7
0.162,0.633,4
0.176,0.541,19
0.236,0.444,11
0.202,0.626,31
0.145,0.699,16
0.279,0.493,5
0.225,0.594,20
0.248,0.536,23
0.237,0.615,20
0.338,0.535,17
0.308,0.491,32
0.265,0.585,22
0.266,0.488,9
0.323,0.51,14
0.148,0.458,15
0.243,0.484,20
0.257,0.557,5
0.239,0.577,5
0.225,0.47,4
0.217,0.554,34
0.291,0.484,6
0.236,0.578,18
0.19,0.539,11
0.3,0.588,5
0.219,0.598,33
0.204,0.486,9
0.164,0.589,29
0.265,0.443,30
0.23,0.622,5
0.203,0.612,34
0.305,0.518,33
0.171,0.578,30
0.146,0.449,20
0.241,0.585,26
0.156,0.606,9
0.22,0.562,8
0.195,0.502,5
0.44,0.501,34
0.282,0.569,5
0.131,0.532,20
0.252,0.594,20
0.179,0.598,32
0.202,0.434,1
0.186,0.517,26
