shannon,fisher,site
0.165,0.578,5
0.304,0.591,19
0.214,0.526,19
0.135,0.631,5
0.118,0.595,28
0.267,0.474,0
0.237,0.444,16
0.318,0.535,5
0.331,0.569,22
0.226,0.406,11
0.188,0.605,12
0.213,0.603,9
0.326,0.476,30
0.268,0.521,0
0.288,0.532,29
0.394,0.508,29
0.219,0.531,20
0.28,0.477,4
0.145,0.576,27
0.25,0.572,5
0.232,0.563,7
0.181,0.638,7
0.306,0.464,20
0.261,0.56,21
0.312,0.572,20
0.212,0.414,15
0.202,0.481,13
0.146,0.489,8
0.198,0.493,29
0.151,0.596,22
0.157,0.494,23
0.309,0.591,22
0.243,0.468,30
0.283,0.62,31
0.235,0.582,33
0.363,0.465,5
0.355,0.551,0
0.194,0.515,14
0.276,0.663,0
0.403,0.485,9
0.233,0.696,20
0.093,0.564,0
0.228,0.575,11
0.302,0.592,15
0.311,0.622,31
0.242,0.569,17
0.163,0.493,0
0.232,0.635,22
0.199,0.616,20
0.147,0.61,0
0.249,0.54,32
0.318,0.507,11
0.265,0.564,20
0.118,0.443,1
0.268,0.632,31
0.297,0.419,0
0.188,0.625,28
0.307,0.571,0
0.282,0.566,26
0.174,0.584,33
0.22,0.543,33
0.148,0.581,34
0.287,0.578,2
0.195,0.618,34
0.28,0.542,16
0.182,0.559,16
0.246,0.576,18
0.206,0.462,28
0.16,0.353,28
0.215,0.526,33
0.258,0.527,29
0.121,0.568,19
0.262,0.509,0
0.16,0.615,7
0.094,0.512,28
0.232,0.61,5
0.293,0.593,16
0.273,0.498,23
0.287,0.502,9
0.22,0.6,20
0.318,0.522,5
0.222,0.623,1
0.163,0.566,0
0.102,0.612,28
0.348,0.569,5
0.176,0.498,19
0.483,0.527,26
0.322,0.589,17
0.431,0.519,5
0.168,0.608,4
0.263,0.42,2
0.249,0.55,1
0.061,0.69,31
0.232,0.535,7
0.179,0.479,4
0.125,0.507,19
0.216,0.374,11
0.178,0.624,31
0.142,0.591,16
0.288,0.525,5
0.213,0.599,20
0.2,0.526,23
0.226,0.626,20
0.252,0.549,17
0.322,0.489,32
0.294,0.565,22
0.261,0.463,9
0.341,0.505,14
0.134,0.573,15
0.247,0.507,20
0.26,0.59,5
0.228,0.561,5
0.159,0.554,4
0.208,0.523,34
0.31,0.419,6
0.256,0.578,18
0.15,0.581,11
0.276,0.549,5
