shannon,fisher,site
0.196,0.58,5
0.423,0.519,19
0.34,0.485,19
0.17,0.531,5
0.417,0.477,28
0.364,0.51,0
0.319,0.516,16
0.367,0.567,5
0.267,0.533,22
0.192,0.557,11
0.29,0.634,12
0.346,0.616,9
0.48,0.472,30
0.433,0.455,0
0.419,0.55,29
0.53,0.423,29
0.193,0.531,20
0.442,0.447,4
0.069,0.387,27
0.344,0.582,5
0.246,0.516,7
0.17,0.546,7
0.277,0.393,20
0.559,0.382,21
0.31,0.567,20
0.141,0.493,15
0.184,0.514,13
0.151,0.419,8
0.291,0.576,29
0.067,0.524,22
0.13,0.421,23
0.299,0.551,22
0.382,0.426,30
0.111,0.564,31
0.164,0.503,33
0.355,0.537,5
0.507,0.48,0
0.288,0.486,14
0.442,0.539,0
0.507,0.469,9
0.199,0.664,20
0.248,0.613,0
0.221,0.616,11
0.157,0.586,15
0.175,0.499,31
0.186,0.577,17
0.385,0.494,0
0.162,0.503,22
0.191,0.6,20
0.298,0.54,0
0.115,0.469,32
0.258,0.538,11
0.243,0.518,20
0.155,0.538,1
0.124,0.479,31
0.458,0.403,0
0.5,0.483,28
0.45,0.436,0
0.33,0.525,26
0.135,0.49,33
0.181,0.545,33
0.129,0.504,34
0.332,0.568,2
0.179,0.5,34
0.254,0.621,16
0.303,0.543,16
0.162,0.536,18
0.578,0.433,28
0.483,0.504,28
0.18,0.422,33
0.361,0.56,29
0.185,0.544,19
0.467,0.427,0
0.132,0.626,7
0.393,0.568,28
0.275,0.572,5
0.305,0.572,16
0.266,0.432,23
0.436,0.457,9
0.181,0.469,20
0.378,0.519,5
0.279,0.553,1
0.329,0.602,0
0.422,0.574,28
0.381,0.574,5
0.29,0.587,19
0.412,0.541,26
0.207,0.484,17
0.449,0.461,5
0.34,0.523,4
0.289,0.482,2
0.372,0.444,1
0.022,0.432,31
0.205,0.572,7
0.257,0.553,4
0.281,0.526,19
0.202,0.426,11
0.084,0.398,31
0.188,0.62,16
0.286,0.51,5
0.181,0.559,20
0.178,0.578,23
0.196,0.514,20
0.297,0.462,17
0.184,0.51,32
0.205,0.595,22
0.362,0.424,9
0.39,0.457,14
0.099,0.382,15
0.243,0.416,20
0.293,0.572,5
0.266,0.526,5
0.372,0.437,4
0.2,0.542,34
0.332,0.442,6
0.129,0.516,18
0.162,0.547,11
0.352,0.531,5
0.167,0.568,33
0.338,0.586,9
0.275,0.596,29
0.375,0.491,30
0.278,0.613,5
0.155,0.62,34
0.237,0.555,33
0.318,0.608,30
0.14,0.426,20
0.223,0.655,26
0.268,0.616,9
0.183,0.566,8
0.262,0.6,5
0.375,0.502,34
0.316,0.627,5
0.09,0.537,20
0.207,0.64,20
0.025,0.35,32
0.164,0.599,1
0.202,0.471,26
0.385,0.479,5
0.044,0.442,31
0.224,0.593,34
0.381,0.52,5
0.23,0.562,8
0.196,0.486,33
0.079,0.621,31
0.195,0.689,10
0.05,0.556,15
0.338,0.514,1
0.123,0.453,31
0.223,0.561,6
0.462,0.5,3
0.149,0.531,10
0.284,0.538,16
0.415,0.478,9
0.18,0.611,34
0.32,0.548,5
0.262,0.481,20
0.306,0.542,5
0.354,0.516,30
0.513,0.437,10
0.48,0.359,19
0.285,0.558,8
0.32,0.519,30
0.109,0.517,32
0.11,0.431,32
0.045,0.363,31
0.193,0.552,7
0.382,0.48,12
0.346,0.583,19
0.174,0.594,10
0.209,0.671,26
0.236,0.621,7
0.22,0.506,33
0.384,0.565,5
0.241,0.587,6
0.221,0.524,1
0.321,0.512,9
0.174,0.585,22
0.238,0.449,23
0.213,0.497,7
0.078,0.345,31
0.138,0.519,22
0.385,0.44,5
0.229,0.462,17
0.327,0.492,29
0.329,0.542,25
0.283,0.56,29
0.322,0.539,16
0.285,0.495,2
0.214,0.506,23
0.355,0.541,29
0.262,0.54,29
0.186,0.542,20
0.247,0.643,1
0.417,0.492,9
0.317,0.646,6
0.225,0.56,5
0.381,0.527,34
0.348,0.59,5
0.344,0.493,0
0.104,0.437,22
0.127,0.482,17
0.295,0.537,20
0.329,0.567,16
0.482,0.473,21
0.327,0.486,20
0.232,0.598,14
0.273,0.594,20
0.503,0.491,28
0.125,0.42,31
0.373,0.565,19
0.409,0.436,9
0.483,0.465,9
0.447,0.535,30
0.441,0.54,16
0.177,0.576,20
0.35,0.57,10
0.247,0.494,2
0.055,0.346,33
0.233,0.579,20
0.347,0.495,9
0.233,0.651,20
0.169,0.507,25
0.015,0.346,27
0.463,0.458,21
0.368,0.583,19
0.465,0.485,21
0.204,0.629,10
0.237,0.616,19
0.183,0.566,23
0.237,0.514,20
0.403,0.424,19
0.132,0.549,22
0.253,0.422,17
0.312,0.415,2
0.156,0.473,13
0.273,0.589,6
0.202,0.525,8
0.286,0.541,5
0.261,0.554,20
0.28,0.565,16
0.162,0.584,6
0.536,0.42,3
0.226,0.576,34
0.069,0.476,33
0.105,0.517,17
0.081,0.449,23
0.187,0.413,23
0.306,0.625,5
0.256,0.569,34
0.275,0.607,16
0.251,0.515,33
0.253,0.579,5
0.14,0.479,20
0.324,0.561,2
0.275,0.522,1
0.165,0.624,34
0.176,0.534,10
0.353,0.524,16
