shannon,fisher,site
0.359,0.657,5
0.472,0.551,19
0.412,0.641,19
0.425,0.623,5
0.403,0.559,28
0.34,0.611,0
0.39,0.62,16
0.471,0.592,5
0.481,0.597,22
0.415,0.626,11
0.394,0.617,12
0.402,0.581,9
0.476,0.53,30
0.447,0.532,0
0.485,0.509,29
0.498,0.481,29
0.432,0.645,20
0.474,0.491,4
0.36,0.664,27
0.473,0.569,5
0.374,0.675,7
0.385,0.663,7
0.45,0.625,20
0.451,0.529,21
0.49,0.537,20
0.412,0.666,15
0.351,0.633,13
0.361,0.712,8
0.394,0.615,29
0.397,0.646,22
0.373,0.68,23
0.528,0.548,22
0.49,0.52,30
0.474,0.569,31
0.429,0.625,33
0.471,0.548,5
0.455,0.537,0
0.444,0.583,14
0.437,0.575,0
0.443,0.55,9
0.427,0.639,20
0.304,0.632,0
0.409,0.603,11
0.505,0.568,15
0.487,0.596,31
0.498,0.542,17
0.361,0.594,0
0.369,0.684,22
0.452,0.618,20
0.373,0.579,0
0.418,0.62,32
0.383,0.605,11
0.403,0.665,20
0.351,0.664,1
0.459,0.627,31
0.478,0.524,0
0.347,0.605,28
0.448,0.544,0
0.469,0.566,26
0.388,0.69,33
0.327,0.701,33
0.373,0.639,34
0.437,0.613,2
0.38,0.615,34
0.366,0.659,16
0.389,0.678,16
0.455,0.568,18
0.407,0.542,28
0.417,0.539,28
0.404,0.654,33
0.396,0.618,29
0.318,0.595,19
0.429,0.559,0
0.366,0.695,7
0.322,0.6,28
0.461,0.581,5
0.497,0.551,16
0.407,0.641,23
0.459,0.504,9
0.386,0.667,20
0.451,0.594,5
0.398,0.59,1
0.36,0.606,0
0.348,0.608,28
0.45,0.571,5
0.401,0.655,19
0.531,0.503,26
0.467,0.573,17
0.574,0.436,5
0.356,0.61,4
0.435,0.633,2
0.407,0.607,1
0.367,0.721,31
0.415,0.653,7
0.347,0.624,4
0.362,0.569,19
0.373,0.658,11
0.401,0.658,31
0.41,0.599,16
0.445,0.586,5
0.426,0.662,20
0.373,0.708,23
0.426,0.653,20
0.453,0.606,17
0.401,0.669,32
0.372,0.692,22
0.4,0.593,9
0.424,0.629,14
0.407,0.56,15
0.398,0.674,20
0.418,0.614,5
0.464,0.609,5
0.371,0.615,4
0.434,0.595,34
0.395,0.623,6
0.454,0.594,18
0.338,0.677,11
0.447,0.617,5
0.395,0.659,33
0.377,0.56,9
0.378,0.652,29
0.432,0.573,30
0.398,0.625,5
0.417,0.557,34
0.453,0.598,33
0.364,0.569,30
0.393,0.705,20
0.433,0.582,26
0.359,0.617,9
0.434,0.625,8
0.394,0.633,5
0.557,0.499,34
0.46,0.596,5
0.373,0.676,20
0.46,0.585,20
0.364,0.711,32
0.362,0.674,1
0.387,0.603,26
0.408,0.591,5
