shannon,fisher,site
0.366,0.65,5
0.463,0.576,19
0.398,0.65,19
0.414,0.634,5
0.389,0.58,28
0.334,0.623,0
0.398,0.633,16
0.465,0.61,5
0.477,0.59,22
0.422,0.626,11
0.393,0.638,12
0.405,0.583,9
0.481,0.546,30
0.441,0.555,0
0.471,0.53,29
0.467,0.531,29
0.427,0.638,20
0.441,0.531,4
0.402,0.668,27
0.46,0.584,5
0.355,0.703,7
0.37,0.683,7
0.431,0.635,20
0.437,0.607,21
0.474,0.552,20
0.393,0.694,15
0.338,0.649,13
0.32,0.73,8
0.396,0.636,29
0.367,0.651,22
0.347,0.697,23
0.517,0.571,22
0.466,0.565,30
0.495,0.565,31
0.424,0.635,33
0.467,0.562,5
0.437,0.57,0
0.449,0.584,14
0.41,0.607,0
0.437,0.572,9
0.405,0.655,20
0.3,0.654,0
0.41,0.614,11
0.486,0.619,15
0.472,0.602,31
0.401,0.615,17
0.386,0.641,0
0.361,0.67,22
0.442,0.615,20
0.35,0.617,0
0.426,0.616,32
0.398,0.615,11
0.364,0.676,20
0.378,0.662,1
0.444,0.646,31
0.432,0.572,0
0.318,0.604,28
0.403,0.62,0
0.456,0.591,26
0.364,0.694,33
0.327,0.695,33
0.389,0.651,34
0.425,0.609,2
0.381,0.626,34
0.371,0.665,16
0.394,0.675,16
0.446,0.557,18
0.393,0.538,28
0.427,0.562,28
0.394,0.654,33
0.385,0.638,29
0.318,0.621,19
0.395,0.6,0
0.344,0.697,7
0.311,0.629,28
0.447,0.6,5
0.488,0.567,16
0.375,0.66,23
0.451,0.53,9
0.367,0.671,20
0.456,0.606,5
0.397,0.593,1
0.368,0.62,0
0.324,0.614,28
0.44,0.583,5
0.391,0.664,19
0.511,0.537,26
0.455,0.602,17
0.573,0.451,5
0.353,0.647,4
0.42,0.629,2
0.421,0.613,1
0.347,0.724,31
0.417,0.655,7
0.324,0.667,4
0.355,0.585,19
0.36,0.68,11
0.399,0.661,31
0.433,0.615,16
0.436,0.592,5
0.413,0.665,20
0.337,0.724,23
0.408,0.656,20
0.419,0.626,17
0.388,0.695,32
0.369,0.698,22
0.397,0.597,9
0.395,0.645,14
0.376,0.574,15
0.377,0.693,20
0.414,0.617,5
0.461,0.605,5
0.367,0.619,4
0.425,0.627,34
0.373,0.663,6
0.459,0.602,18
0.353,0.706,11
0.447,0.613,5
0.388,0.663,33
0.371,0.583,9
0.369,0.662,29
0.419,0.618,30
0.397,0.623,5
0.421,0.576,34
0.447,0.604,33
0.353,0.618,30
0.356,0.689,20
0.42,0.611,26
0.362,0.633,9
