shannon,fisher,site
0.405,0.643,5
0.559,0.488,19
0.511,0.576,19
0.482,0.584,5
0.666,0.369,28
0.521,0.538,0
0.423,0.61,16
0.518,0.551,5
0.396,0.607,22
0.4,0.599,11
0.473,0.586,12
0.544,0.497,9
0.61,0.425,30
0.588,0.441,0
0.591,0.449,29
0.603,0.422,29
0.351,0.656,20
0.589,0.404,4
0.309,0.669,27
0.543,0.517,5
0.326,0.69,7
0.338,0.68,7
0.387,0.648,20
0.691,0.328,21
0.437,0.555,20
0.281,0.622,15
0.265,0.619,13
0.319,0.697,8
0.524,0.536,29
0.312,0.644,22
0.281,0.65,23
0.457,0.579,22
0.627,0.408,30
0.3,0.597,31
0.3,0.595,33
0.507,0.529,5
0.615,0.423,0
0.489,0.56,14
0.601,0.457,0
0.578,0.479,9
0.353,0.637,20
0.511,0.565,0
0.404,0.577,11
0.384,0.587,15
0.329,0.631,31
0.452,0.54,17
0.564,0.498,0
0.268,0.675,22
0.38,0.649,20
0.538,0.488,0
0.247,0.578,32
0.367,0.602,11
0.318,0.696,20
0.417,0.605,1
0.273,0.655,31
0.641,0.381,0
0.646,0.4,28
0.613,0.417,0
0.473,0.55,26
0.236,0.659,33
0.186,0.627,33
0.35,0.63,34
0.452,0.602,2
0.368,0.591,34
0.403,0.644,16
0.436,0.637,16
0.363,0.559,18
0.681,0.344,28
0.688,0.336,28
0.267,0.669,33
0.521,0.561,29
0.386,0.592,19
0.622,0.415,0
0.303,0.696,7
0.62,0.423,28
0.49,0.562,5
0.532,0.501,16
0.317,0.648,23
0.59,0.433,9
0.316,0.658,20
0.513,0.557,5
0.469,0.558,1
0.539,0.501,0
0.637,0.404,28
0.487,0.535,5
0.507,0.584,19
0.526,0.493,26
0.432,0.558,17
0.6,0.407,5
0.491,0.541,4
0.445,0.615,2
0.486,0.54,1
0.176,0.697,31
0.36,0.662,7
0.495,0.513,4
0.425,0.55,19
0.359,0.639,11
0.22,0.616,31
0.451,0.572,16
0.494,0.557,5
0.353,0.679,20
0.284,0.687,23
0.349,0.673,20
0.404,0.567,17
0.205,0.639,32
0.281,0.696,22
0.541,0.507,9
0.487,0.583,14
0.288,0.544,15
0.33,0.681,20
0.467,0.566,5
0.518,0.561,5
0.521,0.503,4
0.424,0.582,34
0.433,0.591,6
0.345,0.609,18
0.319,0.67,11
0.493,0.573,5
0.263,0.591,33
0.526,0.505,9
0.51,0.572,29
0.591,0.458,30
0.464,0.575,5
0.421,0.54,34
0.323,0.607,33
0.523,0.506,30
0.316,0.716,20
0.442,0.573,26
0.513,0.551,9
0.4,0.619,8
0.444,0.615,5
0.544,0.472,34
0.499,0.553,5
0.302,0.689,20
0.402,0.597,20
0.168,0.628,32
0.402,0.632,1
0.389,0.598,26
0.456,0.575,5
0.183,0.665,31
0.427,0.574,34
0.588,0.448,5
0.444,0.574,8
0.289,0.621,33
0.217,0.639,31
0.43,0.576,10
0.182,0.593,15
0.488,0.551,1
0.184,0.605,31
0.41,0.627,6
0.652,0.396,3
0.402,0.625,10
0.45,0.586,16
0.608,0.453,9
0.424,0.569,34
0.468,0.571,5
0.377,0.656,20
0.464,0.584,5
0.55,0.517,30
0.495,0.553,10
0.572,0.49,19
0.381,0.614,8
0.52,0.521,30
0.26,0.594,32
0.241,0.619,32
0.222,0.651,31
0.33,0.705,7
0.576,0.443,12
0.529,0.548,19
0.377,0.624,10
0.39,0.625,26
0.396,0.626,7
0.332,0.633,33
0.49,0.571,5
0.429,0.627,6
0.5,0.532,1
0.568,0.458,9
0.367,0.627,22
0.366,0.609,23
0.444,0.537,7
0.283,0.628,31
0.311,0.646,22
0.555,0.46,5
0.371,0.574,17
0.544,0.51,29
0.471,0.57,25
0.513,0.545,29
0.465,0.585,16
0.476,0.561,2
0.293,0.658,23
0.56,0.479,29
0.535,0.514,29
0.383,0.597,20
0.467,0.566,1
0.555,0.496,9
0.445,0.597,6
0.478,0.572,5
0.488,0.504,34
0.555,0.519,5
0.568,0.481,0
0.229,0.705,22
0.244,0.656,17
0.393,0.619,20
0.501,0.537,16
0.701,0.305,21
0.439,0.567,20
0.464,0.607,14
0.398,0.637,20
0.679,0.347,28
0.278,0.67,31
0.548,0.517,19
0.613,0.43,9
0.629,0.398,9
0.581,0.468,30
0.548,0.487,16
0.344,0.654,20
0.476,0.553,10
0.396,0.671,2
0.195,0.689,33
0.32,0.681,20
0.498,0.564,9
0.445,0.553,20
0.324,0.63,25
0.244,0.659,27
0.636,0.375,21
0.602,0.457,19
0.652,0.368,21
0.392,0.608,10
0.412,0.585,19
0.34,0.65,23
0.348,0.657,20
0.535,0.565,19
0.263,0.67,22
0.309,0.624,17
0.454,0.582,2
0.317,0.638,13
0.453,0.574,6
0.384,0.656,8
0.446,0.577,5
0.411,0.628,20
0.409,0.651,16
0.412,0.626,6
0.642,0.401,3
0.439,0.576,34
0.209,0.586,33
0.261,0.602,17
