shannon,fisher,site
0.475,0.481,1
0.37,0.626,1
0.498,0.504,1
0.367,0.605,2
0.444,0.58,2
0.409,0.548,2
0.397,0.567,2
0.448,0.554,2
0.42,0.591,2
0.436,0.603,2
0.448,0.554,2
0.478,0.542,1
0.317,0.637,1
0.389,0.615,1
0.404,0.584,1
0.454,0.532,1
0.439,0.571,2
0.48,0.528,2
0.469,0.551,2
0.308,0.599,2
0.474,0.529,2
0.414,0.582,2
0.496,0.487,2
0.452,0.527,2
0.504,0.516,2
0.458,0.524,2
0.461,0.529,2
0.434,0.567,2
0.487,0.545,2
0.477,0.531,2
0.418,0.521,2
0.383,0.598,2
0.424,0.592,2
0.455,0.576,2
0.368,0.599,2
0.356,0.573,2
0.447,0.575,2
0.488,0.537,2
0.523,0.497,2
0.519,0.497,2
0.494,0.535,2
0.419,0.572,1
0.489,0.506,1
0.478,0.546,1
0.462,0.547,1
0.383,0.589,1
0.45,0.564,1
0.439,0.494,1
0.365,0.588,2
0.386,0.569,2
0.383,0.614,2
0.452,0.565,2
0.491,0.502,2
0.448,0.556,2
0.397,0.592,2
0.445,0.562,2
0.438,0.556,2
0.431,0.611,2
0.444,0.522,2
0.424,0.553,2
0.483,0.532,2
0.394,0.575,2
0.492,0.537,2
0.445,0.532,2
0.528,0.476,2
0.388,0.592,2
0.461,0.56,2
0.475,0.527,2
0.486,0.52,2
0.496,0.462,2
0.462,0.562,2
0.44,0.557,2
0.427,0.611,2
0.429,0.533,2
0.38,0.626,2
0.431,0.544,2
0.32,0.633,2
0.392,0.622,2
0.45,0.552,2
0.505,0.493,2
0.4,0.572,2
0.439,0.573,2
0.413,0.57,2
0.439,0.566,2
0.388,0.575,2
0.423,0.594,2
0.436,0.563,2
0.445,0.524,2
0.473,0.517,2
0.394,0.592,2
0.467,0.532,2
0.415,0.543,2
0.436,0.552,1
0.438,0.538,1
0.395,0.56,1
0.456,0.54,1
0.451,0.526,1
0.434,0.561,1
0.426,0.58,1
0.414,0.55,1
0.485,0.508,1
0.395,0.575,1
0.466,0.533,1
0.463,0.511,1
0.462,0.538,1
0.448,0.527,1
0.437,0.57,1
0.344,0.61,1
0.433,0.541,3
0.447,0.532,3
0.337,0.59,3
0.412,0.584,3
0.458,0.525,3
0.43,0.536,3
0.459,0.517,3
0.43,0.578,3
0.384,0.625,3
0.437,0.568,3
0.416,0.544,3
0.411,0.573,3
0.435,0.538,3
0.422,0.546,3
0.413,0.549,3
0.398,0.563,3
0.387,0.6,3
0.466,0.509,3
0.45,0.482,3
0.446,0.552,3
0.407,0.553,3
0.437,0.543,3
0.41,0.583,3
0.487,0.492,3
0.328,0.635,3
0.417,0.564,3
0.512,0.498,3
0.372,0.564,3
0.428,0.556,3
0.444,0.552,3
0.406,0.561,3
0.466,0.52,3
0.504,0.512,3
0.368,0.588,3
0.462,0.525,3
0.528,0.486,4
0.525,0.497,4
0.437,0.537,4
0.511,0.493,4
0.349,0.607,4
0.522,0.492,4
0.44,0.545,4
0.378,0.565,4
0.441,0.548,4
0.434,0.516,4
0.397,0.575,4
0.404,0.548,4
0.421,0.536,4
0.413,0.584,4
0.484,0.524,4
0.411,0.582,4
0.411,0.562,4
0.398,0.595,4
0.45,0.594,4
0.385,0.616,4
0.46,0.516,4
0.46,0.55,4
0.48,0.528,4
0.441,0.558,4
0.442,0.57,4
0.425,0.517,4
0.405,0.619,4
0.478,0.506,4
0.4,0.587,4
0.393,0.609,4
0.383,0.569,4
0.48,0.544,4
0.474,0.523,4
0.457,0.544,4
0.349,0.65,4
0.467,0.51,4
0.482,0.488,4
0.468,0.534,4
0.485,0.487,4
0.442,0.548,5
0.495,0.497,5
0.427,0.563,5
0.468,0.51,5
0.408,0.585,5
0.424,0.554,5
0.434,0.573,5
0.381,0.617,5
0.453,0.538,5
0.437,0.551,5
0.446,0.541,5
0.426,0.545,5
0.452,0.544,5
0.392,0.566,5
0.45,0.552,5
0.421,0.585,5
0.396,0.609,5
0.392,0.606,5
0.375,0.606,5
0.464,0.522,5
0.411,0.585,5
0.428,0.589,5
0.414,0.616,5
0.503,0.521,5
0.503,0.485,5
0.48,0.548,5
0.49,0.526,5
0.418,0.573,5
0.361,0.619,5
0.328,0.629,5
0.464,0.545,5
0.443,0.594,5
0.467,0.488,5
0.463,0.561,5
0.447,0.572,5
0.466,0.564,5
0.549,0.486,5
0.473,0.568,5
0.44,0.56,5
0.426,0.575,5
0.389,0.602,5
0.405,0.588,5
0.471,0.553,5
0.385,0.608,5
0.472,0.549,5
0.472,0.556,5
0.509,0.51,5
0.429,0.533,5
0.468,0.582,5
0.34,0.65,5
0.433,0.562,5
0.448,0.553,5
0.508,0.493,5
0.431,0.6,5
0.477,0.557,5
0.316,0.651,5
0.417,0.579,5
0.428,0.598,5
0.428,0.575,5
0.465,0.525,5
0.444,0.568,5
0.419,0.58,5
0.37,0.563,5
0.405,0.587,5
0.427,0.582,5
0.351,0.635,5
0.432,0.574,5
0.467,0.542,5
0.412,0.583,5
0.437,0.557,5
0.437,0.581,5
0.401,0.602,5
0.425,0.599,5
0.436,0.567,5
0.455,0.556,5
0.464,0.551,5
0.389,0.656,5
0.402,0.604,5
0.347,0.614,5
0.404,0.595,5
0.458,0.562,5
0.378,0.616,5
0.457,0.558,5
0.378,0.631,5
0.428,0.566,5
0.492,0.561,5
0.446,0.556,5
0.442,0.524,5
0.439,0.586,5
0.445,0.57,5
0.491,0.567,5
0.526,0.543,5
0.468,0.551,5
0.397,0.606,5
0.45,0.552,5
0.455,0.56,5
0.461,0.558,5
0.461,0.546,5
0.447,0.571,5
0.435,0.565,5
0.419,0.565,5
0.446,0.562,5
0.389,0.586,5
0.399,0.609,5
0.483,0.574,5
0.459,0.565,5
0.486,0.522,5
0.431,0.588,5
0.479,0.542,5
0.342,0.604,5
0.343,0.65,5
0.48,0.526,5
0.399,0.597,5
0.388,0.56,5
0.42,0.578,5
0.468,0.547,5
0.44,0.551,5
0.449,0.579,5
0.453,0.547,5
0.404,0.615,5
0.461,0.543,5
0.454,0.578,5
0.478,0.575,5
0.396,0.597,6
0.499,0.509,6
0.385,0.607,6
0.418,0.582,6
0.432,0.561,6
0.412,0.565,6
0.444,0.611,6
0.427,0.557,6
0.444,0.57,6
0.454,0.545,6
0.355,0.631,6
0.439,0.527,6
0.416,0.55,6
0.411,0.562,6
0.42,0.627,6
0.39,0.604,6
0.462,0.549,6
0.453,0.577,6
0.396,0.607,6
0.425,0.606,7
0.401,0.597,7
0.421,0.56,7
0.42,0.575,7
0.488,0.497,7
0.474,0.551,7
0.37,0.655,7
0.47,0.515,7
0.466,0.559,7
0.363,0.615,7
0.39,0.544,7
0.512,0.502,7
0.313,0.627,7
0.436,0.608,7
0.277,0.609,7
0.398,0.594,7
0.44,0.574,7
0.358,0.576,7
0.399,0.598,7
0.423,0.568,7
0.36,0.627,7
0.304,0.583,7
0.404,0.574,7
0.484,0.594,7
0.243,0.648,7
0.42,0.574,7
0.434,0.568,7
0.384,0.605,7
0.526,0.486,7
0.462,0.567,7
0.394,0.578,7
0.445,0.589,7
0.438,0.602,7
0.465,0.537,7
0.373,0.624,7
