shannon,fisher,site
0.481,0.48,1
0.38,0.619,1
0.492,0.523,1
0.378,0.608,2
0.46,0.571,2
0.421,0.553,2
0.398,0.565,2
0.455,0.561,2
0.427,0.586,2
0.448,0.605,2
0.453,0.548,2
0.479,0.539,1
0.319,0.627,1
0.389,0.605,1
0.402,0.59,1
0.46,0.524,1
0.453,0.56,2
0.483,0.531,2
0.469,0.555,2
0.31,0.608,2
0.462,0.542,2
0.411,0.584,2
0.48,0.497,2
0.457,0.537,2
0.512,0.512,2
0.473,0.519,2
0.466,0.518,2
0.441,0.573,2
0.481,0.552,2
0.477,0.533,2
0.424,0.538,2
0.378,0.618,2
0.442,0.571,2
0.465,0.574,2
0.38,0.596,2
0.377,0.569,2
0.456,0.561,2
0.479,0.542,2
0.514,0.519,2
0.5,0.51,2
0.483,0.559,2
0.43,0.574,1
0.472,0.517,1
0.476,0.541,1
0.46,0.558,1
0.405,0.59,1
0.455,0.557,1
0.448,0.492,1
0.391,0.583,2
0.391,0.569,2
0.374,0.621,2
0.461,0.562,2
0.476,0.522,2
0.452,0.562,2
0.404,0.59,2
0.449,0.565,2
0.453,0.562,2
0.442,0.598,2
0.449,0.519,2
0.434,0.551,2
0.482,0.539,2
0.41,0.568,2
0.481,0.568,2
0.434,0.543,2
0.522,0.488,2
0.397,0.582,2
0.473,0.554,2
0.477,0.538,2
0.481,0.537,2
0.495,0.464,2
0.46,0.55,2
0.442,0.572,2
0.424,0.616,2
0.44,0.525,2
0.393,0.597,2
0.435,0.554,2
0.339,0.615,2
0.402,0.619,2
0.458,0.545,2
0.508,0.506,2
0.409,0.584,2
0.455,0.564,2
0.413,0.558,2
0.448,0.562,2
0.4,0.557,2
0.426,0.602,2
0.438,0.573,2
0.438,0.541,2
0.468,0.517,2
0.41,0.585,2
0.481,0.529,2
0.42,0.543,2
0.44,0.552,1
0.441,0.525,1
0.397,0.564,1
0.45,0.541,1
0.445,0.528,1
0.441,0.558,1
0.431,0.574,1
0.414,0.57,1
0.477,0.521,1
0.395,0.588,1
0.475,0.532,1
0.464,0.516,1
0.468,0.543,1
0.438,0.529,1
0.437,0.559,1
0.342,0.609,1
0.423,0.539,3
0.439,0.542,3
0.336,0.607,3
0.4,0.603,3
0.453,0.54,3
0.419,0.546,3
0.466,0.505,3
0.432,0.582,3
0.367,0.641,3
0.434,0.572,3
0.41,0.543,3
0.407,0.574,3
0.43,0.544,3
0.415,0.563,3
0.403,0.556,3
0.386,0.555,3
0.391,0.602,3
0.46,0.518,3
0.447,0.5,3
0.435,0.568,3
0.397,0.577,3
0.432,0.552,3
0.409,0.589,3
0.47,0.519,3
0.323,0.635,3
0.416,0.573,3
0.511,0.498,3
0.368,0.569,3
0.428,0.573,3
0.44,0.571,3
0.412,0.561,3
0.455,0.526,3
0.496,0.525,3
0.354,0.608,3
0.452,0.539,3
0.526,0.501,4
0.523,0.5,4
0.439,0.541,4
0.512,0.49,4
0.354,0.595,4
0.512,0.517,4
0.441,0.549,4
0.391,0.571,4
0.44,0.558,4
0.434,0.514,4
0.403,0.581,4
0.414,0.549,4
0.424,0.545,4
0.422,0.58,4
0.484,0.536,4
0.415,0.581,4
0.415,0.571,4
0.404,0.606,4
0.465,0.591,4
0.39,0.621,4
0.461,0.523,4
0.452,0.552,4
0.481,0.538,4
0.448,0.566,4
0.446,0.56,4
0.422,0.52,4
0.404,0.623,4
0.476,0.518,4
0.406,0.599,4
0.396,0.592,4
0.392,0.568,4
0.48,0.55,4
0.482,0.511,4
0.47,0.539,4
0.356,0.652,4
0.47,0.496,4
0.474,0.511,4
0.47,0.536,4
0.482,0.495,4
0.451,0.552,5
0.505,0.505,5
0.416,0.565,5
0.476,0.506,5
0.406,0.586,5
0.416,0.574,5
0.428,0.592,5
0.372,0.603,5
0.469,0.537,5
0.449,0.535,5
0.438,0.534,5
0.43,0.543,5
0.466,0.531,5
0.391,0.568,5
0.431,0.551,5
0.415,0.595,5
0.367,0.623,5
0.376,0.61,5
0.374,0.616,5
0.451,0.52,5
0.403,0.592,5
0.421,0.583,5
0.394,0.603,5
0.481,0.531,5
0.514,0.475,5
0.488,0.549,5
0.464,0.527,5
0.41,0.574,5
0.331,0.629,5
0.314,0.643,5
0.468,0.519,5
0.432,0.582,5
0.461,0.483,5
0.448,0.575,5
0.418,0.581,5
0.419,0.586,5
0.565,0.464,5
0.457,0.572,5
0.424,0.563,5
0.407,0.593,5
0.365,0.612,5
0.387,0.601,5
0.456,0.55,5
0.363,0.612,5
0.446,0.561,5
0.437,0.569,5
0.485,0.523,5
0.426,0.538,5
0.442,0.597,5
0.326,0.653,5
0.428,0.561,5
0.452,0.562,5
0.516,0.488,5
0.422,0.578,5
0.481,0.547,5
0.304,0.673,5
0.413,0.577,5
0.432,0.592,5
0.428,0.57,5
0.448,0.529,5
0.439,0.575,5
0.409,0.588,5
0.349,0.591,5
0.393,0.578,5
0.404,0.6,5
0.349,0.618,5
0.427,0.573,5
0.462,0.544,5
0.393,0.595,5
0.417,0.554,5
0.412,0.583,5
0.385,0.6,5
0.421,0.599,5
0.438,0.558,5
0.45,0.56,5
0.436,0.568,5
0.337,0.67,5
0.381,0.619,5
0.353,0.609,5
0.393,0.601,5
0.457,0.547,5
0.346,0.616,5
0.445,0.547,5
0.357,0.636,5
0.408,0.576,5
0.471,0.567,5
0.442,0.547,5
0.411,0.528,5
0.426,0.583,5
0.42,0.597,5
0.467,0.584,5
0.528,0.525,5
0.458,0.56,5
0.379,0.603,5
0.431,0.545,5
0.46,0.537,5
0.428,0.568,5
0.448,0.54,5
0.42,0.588,5
0.42,0.568,5
0.41,0.564,5
0.446,0.581,5
0.364,0.597,5
0.392,0.625,5
0.464,0.575,5
0.453,0.566,5
0.481,0.52,5
0.4,0.583,5
0.469,0.537,5
0.327,0.623,5
0.322,0.663,5
0.471,0.53,5
0.398,0.603,5
0.397,0.561,5
0.391,0.593,5
0.46,0.543,5
0.427,0.552,5
0.423,0.572,5
0.431,0.548,5
0.372,0.619,5
0.483,0.546,5
0.427,0.595,5
0.443,0.603,5
0.377,0.618,6
0.499,0.51,6
0.372,0.621,6
0.391,0.604,6
0.427,0.568,6
0.407,0.56,6
0.405,0.642,6
0.414,0.573,6
0.448,0.568,6
0.443,0.562,6
0.345,0.633,6
0.444,0.521,6
0.41,0.553,6
0.393,0.58,6
0.37,0.633,6
0.385,0.62,6
0.464,0.573,6
0.455,0.576,6
0.365,0.6,6
0.411,0.599,7
0.403,0.61,7
0.417,0.565,7
0.418,0.583,7
0.493,0.493,7
0.468,0.546,7
0.365,0.642,7
0.468,0.529,7
0.461,0.559,7
0.368,0.622,7
0.386,0.56,7
0.505,0.503,7
0.309,0.648,7
0.431,0.61,7
0.282,0.599,7
0.391,0.613,7
0.433,0.582,7
0.362,0.58,7
0.401,0.595,7
0.418,0.572,7
0.346,0.624,7
0.303,0.592,7
0.407,0.572,7
0.459,0.594,7
0.247,0.662,7
0.42,0.581,7
0.417,0.574,7
0.39,0.613,7
0.517,0.502,7
0.461,0.563,7
0.393,0.577,7
0.438,0.594,7
0.424,0.598,7
0.453,0.548,7
0.373,0.627,7
0.477,0.543,7
0.401,0.577,7
0.447,0.569,7
0.484,0.536,7
0.454,0.555,7
0.404,0.572,9
0.405,0.604,9
0.48,0.548,9
0.506,0.511,9
0.449,0.526,9
0.467,0.521,9
0.413,0.589,9
0.441,0.586,9
0.455,0.538,9
0.404,0.56,9
0.388,0.596,9
0.378,0.578,9
0.389,0.561,9
0.457,0.555,9
0.416,0.586,9
0.475,0.505,9
0.399,0.57,9
0.474,0.518,9
0.441,0.508,9
0.436,0.582,9
0.488,0.507,9
0.448,0.546,9
0.467,0.548,9
0.444,0.57,9
0.435,0.572,9
0.401,0.553,9
0.467,0.493,9
0.488,0.518,9
0.446,0.556,9
0.422,0.586,9
0.444,0.546,9
0.51,0.488,9
0.499,0.532,9
0.366,0.606,9
0.487,0.492,9
0.396,0.585,9
0.475,0.519,9
0.462,0.527,9
0.467,0.522,9
0.446,0.532,9
0.444,0.584,9
0.376,0.598,9
0.474,0.542,9
0.39,0.603,9
0.471,0.534,9
0.437,0.555,9
0.468,0.514,9
0.445,0.531,9
0.365,0.633,9
0.337,0.602,9
0.414,0.572,9
0.391,0.561,9
0.45,0.566,9
0.434,0.59,9
0.361,0.584,9
0.452,0.526,9
0.371,0.551,9
0.498,0.506,9
0.414,0.547,9
0.341,0.647,9
0.419,0.59,9
0.384,0.569,9
0.287,0.611,9
0.455,0.528,9
0.449,0.541,9
0.426,0.542,9
0.427,0.6,9
0.41,0.553,9
0.44,0.527,9
0.484,0.532,9
0.426,0.56,9
0.428,0.555,9
0.356,0.579,9
0.446,0.524,9
0.42,0.552,9
0.42,0.554,9
0.521,0.479,9
0.448,0.568,9
0.374,0.589,9
0.418,0.579,9
0.406,0.578,9
0.471,0.549,9
0.439,0.544,9
0.434,0.574,9
0.524,0.523,9
0.44,0.576,9
0.441,0.532,9
0.396,0.547,9
0.537,0.449,9
0.396,0.619,9
0.413,0.589,9
0.488,0.495,9
0.372,0.56,9
0.424,0.581,9
0.409,0.572,9
0.466,0.549,9
0.399,0.604,9
0.466,0.553,9
0.491,0.519,9
0.392,0.557,9
0.371,0.589,9
0.475,0.535,9
0.456,0.505,9
0.392,0.596,9
0.46,0.571,9
0.436,0.571,9
0.417,0.567,9
0.422,0.574,9
0.402,0.592,9
0.42,0.564,9
0.455,0.582,9
0.44,0.538,9
0.451,0.549,9
0.409,0.596,9
0.446,0.574,9
0.537,0.447,9
0.462,0.554,9
0.331,0.593,9
0.436,0.502,9
0.429,0.567,9
0.498,0.504,9
0.485,0.511,9
0.436,0.557,9
0.38,0.616,9
0.437,0.572,9
0.443,0.591,9
0.469,0.556,9
0.564,0.47,9
0.442,0.537,9
0.365,0.601,9
0.379,0.586,9
0.447,0.548,9
0.359,0.586,9
0.475,0.504,9
0.376,0.621,9
0.45,0.563,9
0.419,0.59,9
0.481,0.563,9
0.536,0.498,9
0.514,0.496,9
0.42,0.538,9
0.444,0.549,9
0.356,0.603,9
0.406,0.544,9
0.394,0.567,9
0.431,0.551,9
0.419,0.57,9
0.328,0.642,9
0.416,0.604,9
0.446,0.562,9
0.356,0.588,9
0.451,0.57,9
0.419,0.571,9
0.48,0.54,9
0.446,0.544,9
0.442,0.596,9
0.494,0.52,9
0.449,0.557,9
0.399,0.551,9
0.452,0.571,9
0.369,0.592,9
0.407,0.581,9
0.471,0.522,9
0.425,0.552,9
0.491,0.505,9
