shannon,fisher,site
0.442,0.488,1
0.332,0.625,1
0.46,0.512,1
0.337,0.58,2
0.421,0.57,2
0.379,0.546,2
0.369,0.553,2
0.415,0.552,2
0.386,0.581,2
0.405,0.595,2
0.41,0.544,2
0.441,0.553,1
0.283,0.63,1
0.352,0.615,1
0.367,0.581,1
0.411,0.551,1
0.405,0.563,2
0.444,0.528,2
0.429,0.552,2
0.275,0.584,2
0.451,0.533,2
0.371,0.59,2
0.463,0.488,2
0.416,0.545,2
0.463,0.536,2
0.429,0.523,2
0.422,0.538,2
0.402,0.562,2
0.444,0.539,2
0.438,0.547,2
0.379,0.533,2
0.349,0.607,2
0.386,0.581,2
0.415,0.58,2
0.344,0.594,2
0.331,0.596,2
0.406,0.556,2
0.444,0.549,2
0.489,0.513,2
0.483,0.499,2
0.459,0.537,2
0.382,0.559,1
0.451,0.522,1
0.435,0.549,1
0.424,0.548,1
0.347,0.603,1
0.411,0.555,1
0.407,0.506,1
0.324,0.58,2
0.348,0.569,2
0.349,0.596,2
0.412,0.545,2
0.447,0.526,2
0.403,0.569,2
0.365,0.58,2
0.423,0.544,2
0.402,0.558,2
0.386,0.614,2
0.417,0.504,2
0.384,0.565,2
0.453,0.533,2
0.362,0.595,2
0.454,0.549,2
0.405,0.542,2
0.484,0.493,2
0.359,0.61,2
0.423,0.567,2
0.433,0.53,2
0.457,0.528,2
0.452,0.48,2
0.428,0.543,2
0.398,0.583,2
0.383,0.594,2
0.4,0.519,2
0.358,0.59,2
0.405,0.545,2
0.295,0.619,2
0.352,0.605,2
0.411,0.559,2
0.473,0.518,2
0.369,0.557,2
0.406,0.556,2
0.373,0.553,2
0.4,0.559,2
0.361,0.566,2
0.375,0.615,2
0.408,0.557,2
0.411,0.507,2
0.441,0.521,2
0.361,0.6,2
0.437,0.529,2
0.393,0.539,2
0.392,0.576,1
0.402,0.534,1
0.363,0.551,1
0.419,0.537,1
0.41,0.519,1
0.393,0.575,1
0.393,0.571,1
