shannon,fisher,site
0.436,0.493,1
0.34,0.612,1
0.459,0.502,1
0.339,0.589,2
0.418,0.557,2
0.377,0.548,2
0.37,0.541,2
0.416,0.553,2
0.384,0.575,2
0.404,0.603,2
0.417,0.538,2
0.448,0.541,1
0.292,0.61,1
0.357,0.615,1
0.375,0.573,1
0.418,0.544,1
0.408,0.556,2
0.453,0.504,2
0.43,0.548,2
0.274,0.589,2
0.438,0.544,2
0.377,0.564,2
0.47,0.485,2
0.421,0.522,2
0.468,0.519,2
0.423,0.531,2
0.43,0.516,2
0.403,0.555,2
0.449,0.536,2
0.444,0.518,2
0.381,0.497,2
0.347,0.589,2
0.39,0.577,2
0.42,0.561,2
0.343,0.579,2
0.333,0.571,2
0.414,0.557,2
0.449,0.53,2
0.491,0.501,2
0.494,0.489,2
0.465,0.53,2
0.386,0.557,1
0.454,0.509,1
0.44,0.543,1
0.424,0.541,1
0.346,0.574,1
0.415,0.577,1
0.402,0.48,1
0.318,0.575,2
0.355,0.538,2
0.355,0.614,2
0.413,0.548,2
0.455,0.514,2
0.408,0.555,2
0.369,0.583,2
0.421,0.535,2
0.406,0.547,2
0.388,0.596,2
0.417,0.495,2
0.38,0.54,2
0.45,0.507,2
0.361,0.575,2
0.46,0.533,2
0.404,0.547,2
0.492,0.492,2
0.355,0.586,2
0.426,0.551,2
0.436,0.533,2
0.454,0.521,2
0.449,0.484,2
0.419,0.555,2
0.4,0.568,2
0.39,0.582,2
0.389,0.528,2
0.355,0.592,2
0.408,0.553,2
0.295,0.614,2
0.361,0.601,2
0.407,0.556,2
0.47,0.512,2
0.364,0.549,2
0.405,0.554,2
0.379,0.553,2
0.406,0.546,2
0.36,0.552,2
0.386,0.599,2
0.405,0.57,2
0.403,0.51,2
0.438,0.527,2
0.352,0.568,2
0.439,0.525,2
0.393,0.539,2
0.398,0.543,1
0.409,0.531,1
0.356,0.566,1
0.416,0.531,1
0.42,0.514,1
0.394,0.557,1
0.392,0.573,1
0.378,0.522,1
0.448,0.516,1
0.362,0.573,1
0.437,0.54,1
0.431,0.497,1
0.427,0.544,1
0.406,0.538,1
0.41,0.559,1
0.308,0.6,1
0.454,0.515,3
0.462,0.517,3
0.354,0.559,3
0.44,0.542,3
0.479,0.508,3
0.447,0.501,3
0.474,0.492,3
0.442,0.553,3
0.403,0.587,3
0.441,0.543,3
0.437,0.519,3
0.426,0.563,3
0.45,0.525,3
0.431,0.522,3
